Date,^GSPC
2002-01-01,1164.8900146484375
2002-01-08,1138.4100341796875
2002-01-15,1127.5799560546875
2002-01-22,1133.06005859375
2002-01-29,1094.43994140625
2002-02-05,1111.93994140625
2002-02-12,1104.1800537109375
2002-02-19,1109.4300537109375
2002-02-26,1153.8399658203125
2002-03-05,1168.260009765625
2002-03-12,1165.550048828125
2002-03-19,1131.8699951171875
2002-03-26,1146.5400390625
2002-04-02,1125.2900390625
2002-04-09,1102.550048828125
2002-04-16,1107.8299560546875
2002-04-23,1065.449951171875
2002-04-30,1052.6700439453125
2002-05-07,1074.56005859375
2002-05-14,1091.8800048828125
2002-05-21,1083.8199462890625
2002-05-28,1040.6800537109375
2002-06-04,1030.739990234375
2002-06-11,1036.1700439453125
2002-06-18,992.719970703125
2002-06-25,968.6500244140625
2002-07-02,976.97998046875
2002-07-09,917.9299926757812
2002-07-16,819.8499755859375
2002-07-23,898.9600219726562
2002-07-30,834.5999755859375
2002-08-06,903.7999877929688
2002-08-13,950.7000122070312
2002-08-20,947.9500122070312
2002-08-27,916.0700073242188
2002-09-03,902.9600219726562
2002-09-10,891.0999755859375
2002-09-17,833.7000122070312
2002-09-24,815.280029296875
2002-10-01,785.280029296875
2002-10-08,841.4400024414062
2002-10-15,899.719970703125
2002-10-22,890.22998046875
2002-10-29,908.3499755859375
2002-11-05,876.1900024414062
2002-11-12,900.3599853515625
2002-11-19,932.8699951171875
2002-11-26,934.530029296875
2002-12-03,892.0
2002-12-10,910.4000244140625
2002-12-17,897.3800048828125
2002-12-24,879.3900146484375
