Date,^GSPC
2011-01-01,1271.5
2011-01-08,1293.239990234375
2011-01-15,1283.3499755859375
2011-01-22,1276.3399658203125
2011-01-29,1310.8699951171875
2011-02-05,1329.1500244140625
2011-02-12,1343.010009765625
2011-02-19,1319.8800048828125
2011-02-26,1321.1500244140625
2011-03-05,1304.280029296875
2011-03-12,1279.2099609375
2011-03-19,1313.800048828125
2011-03-26,1332.4100341796875
2011-04-02,1328.1700439453125
2011-04-09,1319.6800537109375
2011-04-16,1337.3800048828125
2011-04-23,1363.6099853515625
2011-04-30,1340.199951171875
2011-05-07,1337.77001953125
2011-05-14,1333.27001953125
2011-05-21,1331.0999755859375
2011-05-28,1300.1600341796875
2011-06-04,1270.97998046875
2011-06-11,1271.5
2011-06-18,1268.449951171875
2011-06-25,1339.6700439453125
2011-07-02,1343.800048828125
2011-07-09,1316.1400146484375
2011-07-16,1345.02001953125
2011-07-23,1292.280029296875
2011-07-30,1199.3800048828125
2011-08-06,1178.81005859375
2011-08-13,1123.530029296875
2011-08-20,1176.800048828125
2011-08-27,1173.969970703125
2011-09-03,1154.22998046875
2011-09-10,1216.010009765625
2011-09-17,1136.4300537109375
2011-09-24,1131.4200439453125
2011-10-01,1155.4599609375
2011-10-08,1224.5799560546875
2011-10-15,1238.25
2011-10-22,1285.0899658203125
2011-10-29,1253.22998046875
2011-11-05,1263.8499755859375
2011-11-12,1215.6500244140625
2011-11-19,1158.6700439453125
2011-11-26,1244.280029296875
2011-12-03,1255.18994140625
2011-12-10,1219.6600341796875
2011-12-17,1265.3299560546875
2011-12-24,1257.5999755859375
