Date,^GSPC
2019-01-01,2549.68994140625
2019-01-08,2582.610107421875
2019-01-15,2670.7099609375
2019-01-22,2643.85009765625
2019-01-29,2724.8701171875
2019-02-05,2709.800048828125
2019-02-12,2775.60009765625
2019-02-19,2796.110107421875
2019-02-26,2792.81005859375
2019-03-05,2783.300048828125
2019-03-12,2832.93994140625
2019-03-19,2798.360107421875
2019-03-26,2867.18994140625
2019-04-02,2895.77001953125
2019-04-09,2905.580078125
2019-04-16,2907.969970703125
2019-04-23,2943.030029296875
2019-04-30,2932.469970703125
2019-05-07,2811.8701171875
2019-05-14,2840.22998046875
2019-05-21,2826.06005859375
2019-05-28,2744.449951171875
2019-06-04,2886.72998046875
2019-06-11,2889.669921875
2019-06-18,2945.35009765625
2019-06-25,2964.330078125
2019-07-02,2975.949951171875
2019-07-09,3014.300048828125
2019-07-16,2985.030029296875
2019-07-23,3020.969970703125
2019-07-30,2844.739990234375
2019-08-06,2882.699951171875
2019-08-13,2923.64990234375
2019-08-20,2878.3798828125
2019-08-27,2926.4599609375
2019-09-03,2978.429931640625
2019-09-10,2997.9599609375
2019-09-17,2991.780029296875
2019-09-24,2976.739990234375
2019-10-01,2938.7900390625
2019-10-08,2966.14990234375
2019-10-15,3006.719970703125
2019-10-22,3039.419921875
2019-10-29,3078.27001953125
2019-11-05,3087.010009765625
2019-11-12,3122.030029296875
2019-11-19,3133.639892578125
2019-11-26,3113.8701171875
2019-12-03,3135.9599609375
2019-12-10,3191.449951171875
2019-12-17,3224.010009765625
2019-12-24,3221.2900390625
