Date,^GSPC
2004-01-01,1126.3299560546875
2004-01-08,1130.52001953125
2004-01-15,1147.6199951171875
2004-01-22,1128.47998046875
2004-01-29,1126.52001953125
2004-02-05,1157.760009765625
2004-02-12,1151.8199462890625
2004-02-19,1143.6700439453125
2004-02-26,1151.030029296875
2004-03-04,1123.8900146484375
2004-03-11,1123.75
2004-03-18,1091.3299560546875
2004-03-25,1126.2099609375
2004-04-01,1140.530029296875
2004-04-08,1128.1700439453125
2004-04-15,1124.0899658203125
2004-04-22,1122.4100341796875
2004-04-29,1121.530029296875
2004-05-06,1097.280029296875
2004-05-13,1088.6800537109375
2004-05-20,1114.93994140625
2004-05-27,1124.989990234375
2004-06-03,1131.3299560546875
2004-06-10,1133.56005859375
2004-06-17,1144.06005859375
2004-06-24,1140.8399658203125
2004-07-01,1118.3299560546875
2004-07-08,1111.469970703125
2004-07-15,1093.8800048828125
2004-07-22,1095.4200439453125
2004-07-29,1098.6300048828125
2004-08-05,1075.7900390625
2004-08-12,1095.1700439453125
2004-08-19,1104.9599609375
2004-08-26,1105.9100341796875
2004-09-02,1116.27001953125
2004-09-09,1120.3699951171875
2004-09-16,1113.56005859375
2004-09-23,1114.800048828125
2004-09-30,1142.050048828125
2004-10-07,1113.6500244140625
2004-10-14,1103.6600341796875
2004-10-21,1125.4000244140625
2004-10-28,1143.199951171875
2004-11-04,1162.9100341796875
2004-11-11,1181.93994140625
2004-11-18,1181.760009765625
2004-11-25,1191.3699951171875
2004-12-02,1182.81005859375
2004-12-09,1205.719970703125
2004-12-16,1209.5699462890625
2004-12-23,1213.449951171875
2004-12-30,1211.9200439453125
