Date,AAPL,AMZN,BRK-A,CVX,GOOGL,HD,JNJ,JPM,LLY,MA,META,MSFT,NVDA,PFE,PG,TSLA,UNH,V,WMT,XOM
2022-01-01,171.02883911132812,149.57350158691406,469805.0,110.67057800292969,134.1943817138672,329.48333740234375,152.43362426757812,132.51002502441406,236.00534057617188,376.2228088378906,310.82086181640625,300.2137145996094,24.437339782714844,42.194522857666016,143.04310607910156,312.239990234375,438.3025207519531,219.00379943847656,44.143497467041016,65.46408081054688
2022-02-01,161.57614135742188,153.56300354003906,476205.0,121.34746551513672,133.9499053955078,283.5596618652344,145.6033172607422,127.20423889160156,240.3909149169922,351.7958068847656,209.38682556152344,288.4457702636719,24.336538314819336,37.875675201416016,139.7281951904297,290.1433410644531,441.3631591796875,209.2722625732422,42.675315856933594,67.58415222167969
2022-03-01,171.08016967773438,162.99749755859375,528921.0,138.6559600830078,137.92755126953125,268.74554443359375,157.8108367919922,122.2883071899414,276.5678405761719,348.4417419433594,220.62863159179688,298.25152587890625,27.231773376464844,41.77299118041992,136.9585723876953,359.20001220703125,472.99053955078125,215.0925750732422,47.0198860168457,71.967041015625
2022-04-01,154.46298217773438,124.28150177001953,484340.0,133.41053771972656,113.17411041259766,271.3338928222656,160.68690490722656,107.07403564453125,282.1307067871094,354.291748046875,198.9090576171875,268.466064453125,18.513296127319336,39.594364166259766,143.90512084960938,290.2533264160156,473.06927490234375,206.7127685546875,48.49177932739258,74.28491973876953
2022-05-01,145.83114624023438,120.20950317382812,474050.0,148.7296905517578,112.82946014404297,273.4565124511719,159.8588104248047,119.49854278564453,302.7112731933594,349.40380859375,192.1322479248047,263.0004577636719,18.638071060180664,42.79773712158203,133.2922821044922,252.75332641601562,462.1204528808594,205.7816619873047,40.7706184387207,83.6521987915039
2022-06-01,134.1529541015625,106.20999908447266,408950.0,124.29996490478516,108.0698013305664,247.732177734375,159.07579040527344,101.76760864257812,314.1871337890625,308.0166320800781,159.9944305419922,249.0297393798828,15.131450653076172,42.65053939819336,129.605712890625,224.47332763671875,477.7948913574219,191.3264923095703,38.67613220214844,75.3891372680664
2022-07-01,159.4586944580078,134.9499969482422,451700.0,140.61227416992188,115.36649322509766,273.5383605957031,156.3963165283203,104.25281524658203,319.47796630859375,345.42034912109375,157.8611602783203,272.2135925292969,18.13382339477539,41.08866500854492,125.20713806152344,297.1499938964844,506.3009948730469,206.1163787841797,42.00676345825195,85.32775115966797
2022-08-01,154.26808166503906,126.7699966430664,421308.0,135.70138549804688,107.33290100097656,262.1582946777344,144.58505249023438,103.68891906738281,291.8995666503906,317.1817626953125,161.66136169433594,253.52879333496094,15.069755554199219,37.07900619506836,125.13999938964844,275.6099853515625,484.8199768066406,193.0950164794922,42.16581726074219,84.14816284179688
2022-09-01,135.7935028076172,113.0,406470.0,124.46770477294922,94.86593627929688,252.451171875,147.37889099121094,95.27381896972656,314.3573303222656,278.0388488769531,134.62353515625,226.30584716796875,12.119501113891602,35.87391662597656,114.53474426269531,265.25,471.4795837402344,172.9358673095703,41.43889617919922,77.60603332519531
2022-10-01,150.66990661621094,102.44000244140625,445050.0,156.72174072265625,93.73527526855469,270.92254638671875,156.95098876953125,114.7662124633789,352.0198974609375,320.90728759765625,92.43461608886719,225.55767822265625,13.479323387145996,38.1611328125,122.17342376708984,227.5399932861328,519.8859252929688,201.66282653808594,45.47415542602539,98.494140625
2022-11-01,145.4523468017578,96.54000091552734,480280.0,158.80960083007812,100.16215515136719,296.4109802246094,160.5867156982422,127.10738372802734,360.7599182128906,349.064208984375,117.18042755126953,247.91619873046875,16.900836944580078,41.095970153808594,136.2791748046875,194.6999969482422,512.9653930664062,211.24169921875,48.697879791259766,98.96524810791016
2022-12-01,127.87931823730469,84.0,468711.0,156.7030487060547,87.50678253173828,290.72125244140625,160.39744567871094,123.3543472290039,356.6576843261719,340.5726623535156,119.4029769897461,233.68666076660156,14.59859561920166,42.365970611572266,138.47193908691406,123.18000030517578,496.5020751953125,202.69891357421875,45.30162048339844,98.83009338378906
