Date,AIG,BMY,C,CSCO,GE,HD,IBM,INTC,JNJ,KO,LLY,MRK,MSFT,ORCL,PFE,PG,T,VZ,WMT,XOM
2000-01-01,815.13037109375,23.574865341186523,222.2900848388672,35.23513412475586,115.63127136230469,32.71920394897461,55.242610931396484,28.10127067565918,21.735336303710938,13.776823997497559,33.207725524902344,29.09755516052246,29.825687408447266,19.900236129760742,13.009264945983887,25.11126136779785,5.643214225769043,15.587339401245117,11.621180534362793,18.139930725097656
2000-02-01,690.6641845703125,20.456398010253906,201.81613159179688,42.53556442260742,114.22895050048828,33.22479248046875,50.567256927490234,32.09543991088867,18.183794021606445,11.663080215454102,29.514543533325195,22.783063888549805,27.235469818115234,29.579591751098633,11.54881477355957,21.894437789916992,5.004642963409424,12.395336151123047,10.347624778747559,16.4846248626709
2000-03-01,855.154541015625,20.411724090576172,234.15087890625,49.75557327270508,134.2918243408203,37.2695426940918,58.318260192871094,37.48550796508789,17.805763244628906,11.258313179016113,31.227636337280273,22.991233825683594,32.377838134765625,31.09840965270996,13.177430152893066,14.139506340026855,5.5846476554870605,15.4822998046875,11.992630004882812,17.16856575012207
2000-04-01,857.1034545898438,18.73680305480957,230.72897338867188,44.617103576660156,136.094482421875,32.671234130859375,54.931251525878906,36.0294189453125,20.910673141479492,11.37578010559082,38.457969665527344,25.84231185913086,21.255094528198242,31.845367431640625,15.18220043182373,14.886968612670898,5.808365821838379,15.197348594665527,11.768627166748047,17.099781036376953
2000-05-01,879.5692138671875,19.747787475585938,243.81846618652344,36.64293670654297,136.63539123535156,28.33434295654297,52.86825180053711,35.42569351196289,22.684907913208008,12.85041618347168,37.959327697753906,27.747949600219727,19.064830780029297,28.633438110351562,16.03817367553711,16.645954132080078,5.834155082702637,13.474759101867676,12.246811866760254,18.337900161743164
2000-06-01,918.554443359375,20.890972137451172,236.22218322753906,40.90654373168945,137.60899353027344,28.876440048217773,54.041866302490234,37.992122650146484,25.915218353271484,13.828489303588867,49.97035217285156,28.602205276489258,24.37859344482422,33.48867416381836,17.333419799804688,14.205387115478516,5.875887870788574,12.949153900146484,12.246811866760254,17.372406005859375
2000-07-01,1028.24365234375,18.514942169189453,276.40924072265625,42.11323165893555,134.2012176513672,29.950565338134766,55.36745834350586,37.9388313293457,23.673473358154297,14.80926513671875,51.97163772583008,26.74749183654785,21.274131774902344,29.953079223632812,15.663273811340332,14.267969131469727,5.683923244476318,11.913859367370605,11.75488567352295,17.745861053466797
2000-08-01,1045.2830810546875,19.09469985961914,305.24273681640625,44.164588928222656,152.61585998535156,27.816417694091797,65.11686706542969,42.55685043334961,23.391263961791992,12.714683532714844,36.531822204589844,26.088438034057617,21.274131774902344,36.227535247802734,15.578641891479492,15.570072174072266,5.618804931640625,11.183927536010742,10.132603645324707,18.06744384765625
2000-09-01,1122.5352783203125,20.70984649658203,283.3594055175781,35.55691146850586,150.50070190429688,30.66238784790039,55.61458969116211,23.630435943603516,23.975141525268555,13.31474781036377,40.726463317871094,27.919017791748047,18.37918472290039,31.37229347229004,16.256710052490234,16.872499465942383,6.709779739379883,12.448896408081055,10.238984107971191,19.82794189453125
2000-10-01,1149.6640625,21.947940826416016,275.8248596191406,34.67201614379883,143.02308654785156,24.906391143798828,48.6396484375,25.584819793701172,23.51255989074707,14.629312515258789,44.86815643310547,33.7325439453125,20.988449096679688,26.2929744720459,15.62905502319336,17.989980697631836,7.760807514190674,14.858366012573242,9.664636611938477,19.845327377319336
2000-11-01,1137.198974609375,25.072847366333008,261.0837097167969,30.81064224243164,129.3241424560547,22.698131561279297,46.17060852050781,21.6405029296875,25.522443771362305,15.174498558044434,47.033138275146484,34.76397705078125,17.48402214050293,21.114049911499023,16.036174774169922,18.946090698242188,7.439185619354248,14.554056167602539,11.115656852722168,19.581096649169922
2000-12-01,1156.7193603515625,26.74588966369629,268.36212158203125,24.61631965637207,125.08393096923828,26.490392684936523,42.02666091918945,17.09941291809082,26.905933380126953,14.8072509765625,46.853973388671875,35.11559295654297,13.217775344848633,23.15574073791504,16.681934356689453,19.84754180908203,6.465917587280273,12.983710289001465,11.315346717834473,19.43898582458496
