Date,AIG,BAC,C,CSCO,CVX,GE,GOOGL,IBM,INTC,JNJ,JPM,KO,MSFT,PFE,PG,T,VZ,WFC,WMT,XOM
2006-01-01,785.125,28.642345428466797,298.44036865234375,11.9509859085083,27.285598754882812,96.51472473144531,10.738572120666504,41.70685577392578,12.452584266662598,32.0443000793457,23.374942779541016,11.184331893920898,19.583797454833984,10.233572006225586,33.32416915893555,4.6772565841674805,9.961648941040039,17.96431541442871,10.22913646697998,31.58072853088379
2006-02-01,795.9192504882812,29.691404342651367,297.0950622558594,13.025736808776855,25.953035354614258,96.86840057373047,9.000188827514648,41.16307067871094,12.065999031066895,32.105560302734375,24.39874267578125,11.343798637390137,18.69331169128418,10.436811447143555,33.87974166870117,5.062308311462402,10.74105453491211,18.494375228881836,10.06275463104248,29.879657745361328
2006-03-01,792.6809692382812,29.49066162109375,305.8396911621094,13.94603157043457,26.851102828979492,103.26461029052734,9.679757118225098,42.41326904296875,11.452291488647461,33.16669464111328,24.695276260375977,11.316767692565918,18.99399185180664,10.026275634765625,32.57951354980469,4.961394309997559,10.855796813964844,18.55402374267578,10.479816436767578,30.792266845703125
2006-04-01,784.37890625,32.6834602355957,323.45318603515625,13.482671737670898,28.26384162902832,102.70043182373047,10.373223304748535,42.346431732177734,11.758316993713379,32.8250732421875,26.91333770751953,11.423893928527832,16.857942581176758,10.191240310668945,32.90739822387695,4.809100151062012,10.527511596679688,19.954221725463867,10.026534080505371,31.915477752685547
2006-05-01,730.8850708007812,31.68830108642578,322.5539855957031,12.665339469909668,27.694107055664062,101.72061157226562,9.228531837463379,41.0915641784668,10.604842185974121,33.72676086425781,25.495075225830078,11.987468719482422,15.810876846313477,9.51933479309082,30.838937759399414,4.860685348510742,10.065796852111816,19.2802677154541,10.788044929504395,30.817567825317383
2006-06-01,711.6094970703125,31.818571090698242,315.68426513671875,12.568805694580078,28.99260711669922,97.86088562011719,10.407723426818848,39.6504020690918,11.238953590393066,33.76704025268555,25.11240577697754,11.712483406066895,16.328035354614258,9.53256893157959,31.606365203857422,5.202016353607178,10.801140785217285,19.636920928955078,10.763319969177246,31.19631004333496
2006-07-01,731.1320190429688,34.08753967285156,316.0767517089844,11.506926536560059,30.730487823486328,97.7853012084961,9.595369338989258,39.95491027832031,10.647427558898926,35.249141693115234,27.2768497467041,12.202771186828613,16.860610961914062,10.5560941696167,31.947450637817383,5.593704700469971,10.907571792602539,21.176725387573242,9.943272590637207,34.44560241699219
2006-08-01,769.0925903320312,34.04784393310547,322.8812255859375,14.15197467803955,30.08580207824707,101.88330078125,9.395072937011719,41.79240417480469,11.576118469238281,36.43819808959961,27.523582458496094,12.287778854370117,18.009883880615234,11.193761825561523,35.38420867919922,5.899567604064941,11.485932350158691,20.345352172851562,9.992432594299316,34.4100227355957
2006-09-01,800.57373046875,35.82062911987305,328.2765197753906,14.789102554321289,30.5382137298584,105.59243774414062,9.975113868713379,42.46175765991211,12.23720932006836,36.80836486816406,28.30721092224121,12.252132415771484,19.236745834350586,11.625343322753906,35.429927825927734,6.1705708503723145,12.12258529663086,21.347387313842773,11.061994552612305,34.27847671508789
2006-10-01,811.5684204101562,36.0212287902832,331.5150451660156,15.529206275939941,31.639949798583984,105.77936553955078,11.823946952819824,47.84590148925781,12.695286750793457,38.202693939208984,28.5965518951416,12.90085506439209,20.19330406188965,10.924378395080566,36.23594284057617,6.490849494934082,12.080143928527832,21.412303924560547,11.053017616271973,36.48538589477539
2006-11-01,849.6278686523438,36.00786209106445,327.7477111816406,17.318307876586914,34.05061721801758,106.29151153564453,12.032931327819824,47.63344955444336,12.730987548828125,37.358158111572266,28.09737205505371,12.931221961975098,20.650480270385742,11.268718719482422,36.07258987426758,6.514193534851074,11.969868659973145,20.792762756347656,10.339780807495117,39.238895416259766
2006-12-01,867.8681640625,36.07250213623047,371.7662048339844,17.58860206604004,34.878021240234375,112.10617065429688,11.429064750671387,50.507022857666016,12.105381965637207,37.63185501098633,29.32375717163086,13.41240119934082,21.073957443237305,10.711141586303711,36.9228515625,6.8676557540893555,12.757813453674316,21.144718170166016,10.3577241897583,39.31666564941406
