Date,AAPL,BAC,CSCO,CVX,GOOGL,IBM,INTC,JNJ,JPM,KO,MRK,MSFT,ORCL,PFE,PG,T,VZ,WFC,WMT,XOM
2009-01-01,2.7005672454833984,5.050179958343506,9.634153366088867,35.45289993286133,8.402276039123535,49.163673400878906,8.076887130737305,34.695037841796875,16.538833618164062,12.532363891601562,14.97356128692627,12.458175659179688,13.409415245056152,6.72698450088501,32.72486114501953,5.2924604415893555,11.255529403686523,12.110783576965332,10.999013900756836,40.678897857666016
2009-02-01,2.675995349884033,3.0316433906555176,9.376729965209961,30.521060943603516,8.388875961303711,49.36750411987305,7.9767069816589355,30.070240020751953,14.995001792907715,11.98377799987793,12.692130088806152,11.76605224609375,12.381599426269531,5.679643154144287,29.1268367767334,5.209669589996338,10.907587051391602,7.753462314605713,11.493879318237305,36.11527633666992
2009-03-01,3.1497111320495605,5.234381198883057,10.792566299438477,34.11509704589844,8.638810157775879,52.257301330566406,9.507453918457031,31.896223068237305,17.44276237487793,12.893200874328613,14.029522895812988,13.475196838378906,14.397396087646484,6.419195652008057,28.47378921508789,5.523083209991455,11.546064376831055,9.295294761657715,12.161471366882324,36.40418243408203
2009-04-01,3.770244598388672,6.872645378112793,12.4336576461792,33.536705017089844,9.827930450439453,55.665977478027344,9.981876373291016,31.750690460205078,21.65580177307129,12.762797355651855,12.926203727722168,14.861586570739746,15.409271240234375,6.296655654907227,29.894756317138672,5.615133285522461,11.59958553314209,13.06171703338623,11.831011772155762,35.63973617553711
2009-05-01,4.06927490234375,8.673541069030762,11.905939102172852,33.82589340209961,10.355600357055664,57.321773529052734,9.943922996520996,33.448585510253906,24.258220672607422,14.574197769165039,14.707292556762695,15.323725700378418,15.64902400970459,7.159147262573242,31.677759170532227,5.54645299911499,11.34467887878418,16.64536476135254,11.676082611083984,37.07240676879883
2009-06-01,4.2676310539245605,10.158894538879395,12.002469062805176,33.93792724609375,10.463817596435547,56.61274337768555,10.557673454284668,34.747825622558594,22.4240665435791,14.227330207824707,14.90993595123291,17.54705810546875,17.11087989807129,7.1497063636779785,31.16547203063965,5.557641506195068,11.914628028869629,15.870038986206055,11.432232856750488,37.59477996826172
2009-07-01,4.895655632019043,11.392562866210938,14.164849281311035,35.58745574951172,10.996450424194336,63.9373779296875,12.280072212219238,37.249916076660156,25.40868377685547,14.902007102966309,16.226604461669922,17.362510681152344,17.67804718017578,7.592989921569824,33.855079650878906,5.868636608123779,12.434170722961426,16.000864028930664,11.772082328796387,37.852901458740234
2009-08-01,5.040076732635498,13.549370765686035,13.900986671447754,35.82820510864258,11.458598136901855,64.00242614746094,12.96265697479248,36.9746208190918,28.61274528503418,14.58207893371582,17.53510856628418,18.196678161621094,17.521095275878906,7.9600090980529785,33.26499938964844,5.961372375488281,12.224540710449219,18.00261878967285,12.005736351013184,37.186073303222656
2009-09-01,5.553644180297852,13.033275604248047,15.149503707885742,36.440284729003906,12.306941986083984,65.1506576538086,12.575332641601562,37.55180358886719,28.849750518798828,16.056129455566406,17.10254669189453,19.09331512451172,16.68828582763672,7.9678425788879395,35.60725402832031,6.181063175201416,11.921292304992676,18.46915626525879,11.649195671081543,37.12105178833008
2009-10-01,5.648025035858154,11.237628936767578,14.679696083068848,39.60157775878906,13.306439399719238,65.69537353515625,12.279744148254395,36.41706085205078,27.50009536743164,16.06978988647461,16.926376342773438,20.585451126098633,16.896484375,8.198933601379395,35.65645217895508,5.8744120597839355,11.653480529785156,18.03658676147461,11.789202690124512,38.77663040161133
2009-11-01,5.98990535736084,12.216489791870117,15.05940055847168,40.37767028808594,14.469995498657227,68.82190704345703,12.337577819824219,38.754390716552734,28.007978439331055,17.242387771606445,19.815853118896484,21.832597732543945,17.723857879638672,8.74777603149414,38.623016357421875,6.290820121765137,12.588132858276367,18.377399444580078,12.944866180419922,40.61619186401367
2009-12-01,6.314104080200195,11.60759162902832,15.406923294067383,40.18501281738281,15.387834548950195,71.6202392578125,13.208635330200195,40.0368766784668,27.46745491027832,17.304187774658203,19.996444702148438,22.7269344329834,19.690500259399414,8.841157913208008,37.55756378173828,6.545351505279541,13.256360054016113,17.721166610717773,12.683837890625,37.10853958129883
