Date,AAPL,BAC,BRK-A,C,CVX,GE,GOOGL,IBM,INTC,JNJ,JPM,KO,MSFT,ORCL,PFE,PG,T,WFC,WMT,XOM
2010-01-01,5.754695892333984,11.707446098327637,114600.0,24.506755828857422,37.643104553222656,55.707340240478516,13.153050422668457,66.96410369873047,12.561153411865234,39.07340621948242,25.667936325073242,16.469341278076172,21.01198387145996,18.510517120361328,9.069601058959961,38.1274528503418,5.921872138977051,18.666645050048828,12.743024826049805,35.06238555908203
2010-02-01,6.131030559539795,12.84887981414795,119800.0,25.0972843170166,37.737064361572266,55.63805389404297,13.075117111206055,69.57393646240234,13.292807579040527,39.16044235229492,27.698440551757812,16.004854202270508,21.377334594726562,19.826797485351562,8.530089378356934,39.4805793762207,5.9089789390563965,17.950971603393555,12.895665168762207,35.37257766723633
2010-03-01,7.04130744934082,13.766657829284668,121800.0,29.895282745361328,39.95835494995117,63.44544982910156,14.075854301452637,70.48417663574219,14.547820091247559,40.83803176879883,29.53312873840332,16.6970272064209,21.94175148010254,20.67938995361328,8.414392471313477,39.474327087402344,6.15429162979126,20.46841049194336,13.26056957244873,36.687870025634766
2010-04-01,7.823040962219238,13.759590148925781,115325.0,32.25737380981445,42.91452407836914,65.74618530273438,13.047815322875977,70.8963623046875,14.906785011291504,40.27432632446289,28.101003646850586,16.35927963256836,22.878162384033203,20.808082580566406,8.203421592712402,38.78179931640625,6.206685543060303,21.777273178100586,12.865220069885254,37.12057113647461
2010-05-01,7.696895122528076,12.146724700927734,105910.0,29.230939865112305,38.9255485534668,56.99633026123047,12.05328369140625,68.84092712402344,13.980005264282227,36.51622772216797,26.150354385375977,15.73184871673584,19.327322006225586,18.188589096069336,7.472373962402344,38.40756607055664,5.912476062774658,18.870126724243164,12.126496315002441,33.11658477783203
2010-06-01,7.536596775054932,11.0894775390625,120000.0,27.754629135131836,36.09248352050781,50.2682991027832,11.043609619140625,68.21049499511719,12.783795356750488,37.330135345458984,24.188095092773438,15.340071678161621,17.315052032470703,17.294071197509766,7.0701904296875,37.70970153808594,5.885711669921875,16.86336326599121,11.59626579284668,31.472017288208008
2010-07-01,7.707984447479248,10.841833114624023,117000.0,30.264358520507812,40.53355407714844,56.551307678222656,12.03392219543457,70.9283218383789,13.539651870727539,36.71702194213867,26.612844467163086,17.010038375854492,19.422060012817383,19.050874710083008,7.4370856285095215,38.451576232910156,6.311505317687988,18.266441345214844,12.34892463684082,32.91133499145508
2010-08-01,7.284008026123047,9.621739387512207,118675.0,27.385562896728516,39.400691986083984,50.797950744628906,11.169445991516113,68.01717376708984,11.61386489868164,36.040706634521484,24.055770874023438,17.247705459594727,17.661203384399414,17.63803482055664,7.888268947601318,37.80840301513672,6.730030536651611,15.512969017028809,12.09562873840332,32.59701156616211
2010-09-01,8.502004623413086,10.115958213806152,124500.0,28.86186408996582,43.51095199584961,57.007347106933594,13.050048828125,74.46627044677734,12.715747833251953,39.53247833251953,25.180482864379883,18.06256866455078,18.527061462402344,21.684125900268555,8.607806205749512,37.998497009277344,7.120936870574951,16.576637268066406,12.986357688903809,34.31875228881836
2010-10-01,9.018267631530762,8.84891128540039,119300.0,30.78107261657715,44.34305191040039,56.61628341674805,15.231965065002441,79.71791076660156,13.278684616088867,40.668182373046875,24.896005630493164,19.070186614990234,20.176267623901367,23.72735595703125,8.733139038085938,40.27952575683594,7.101016521453857,17.19694709777832,13.144076347351074,36.92918014526367
2010-11-01,9.322991371154785,8.46249771118164,120200.0,31.002517700195312,43.467987060546875,55.944801330566406,13.7926607131958,78.5298843383789,14.013813018798828,39.2708854675293,24.77574920654297,19.645519256591797,19.109573364257812,21.88581657409668,8.171652793884277,38.99294662475586,7.052845478057861,17.955825805664062,13.12466812133789,38.634281158447266
2010-12-01,9.66486930847168,10.309562683105469,120450.0,34.91474533081055,49.4058952331543,64.63871002197266,14.742268562316895,81.83415985107422,14.036750793457031,39.80189514160156,28.101268768310547,20.5954532623291,21.244089126586914,25.324440002441406,8.869019508361816,41.074440002441406,7.456366539001465,20.48969078063965,13.085847854614258,40.867244720458984
