Date,CSCO,CVX,GE,GOOGL,IBM,INTC,JNJ,JPM,KO,MSFT,ORCL,PEP,PFE,PG,PM,T,VZ,WFC,WMT,XOM
2008-01-01,15.767324447631836,40.615455627441406,110.61725616455078,14.005863189697266,56.4681510925293,12.860459327697754,36.91000747680664,29.653417587280273,16.821338653564453,23.320354461669922,16.373348236083984,39.463623046875,10.11245346069336,38.37504196166992,,7.763710021972656,13.856626510620117,20.965667724609375,11.64088249206543,44.698486328125
2008-02-01,15.69652271270752,42.279109954833984,103.67239379882812,11.694635391235352,60.02674102783203,12.171722412109375,36.22019958496094,25.653968811035156,16.667377471923828,19.457462310791016,14.979026794433594,40.33929443359375,9.644925117492676,39.016788482666016,,7.116432189941406,13.09076976776123,17.98198890686035,11.377045631408691,45.381752014160156
2008-03-01,15.503456115722656,41.944786071777344,116.83303833007812,10.932416915893555,60.93362808227539,12.98763370513916,38.172855377197266,27.10547637939453,17.3544921875,20.38045883178711,15.584563255310059,41.870296478271484,9.188581466674805,41.310142517089844,21.836172103881836,7.8254170417785645,13.13762378692627,18.086027145385742,12.08596134185791,44.30473709106445
2008-04-01,16.500974655151367,47.24685287475586,103.22725677490234,14.253815650939941,63.87606430053711,13.649894714355469,39.47921371459961,30.071632385253906,16.892213821411133,20.480995178222656,16.612377166748047,39.95590591430664,8.828591346740723,39.52970886230469,22.03044319152832,7.9091877937316895,13.933813095092773,18.490013122558594,13.36520004272461,48.75196838378906
2008-05-01,17.196027755737305,48.72100067138672,96.97683715820312,14.539490699768066,68.4960708618164,14.214037895202637,39.273250579833984,27.358224868774414,16.43023681640625,20.337371826171875,18.19792366027832,39.821807861328125,8.499327659606934,39.1631965637207,22.7341365814209,8.264525413513184,14.09221363067627,17.135107040405273,13.309873580932617,46.49430847167969
2008-06-01,14.969305038452148,49.0373420715332,84.25492858886719,13.06568431854248,62.98409652709961,13.250263214111328,38.1277961730957,21.829322814941406,14.915189743041992,19.828420639038086,16.73188591003418,37.07567596435547,7.791691780090332,36.05622482299805,21.322425842285156,6.978241920471191,12.967629432678223,14.908729553222656,13.009540557861328,46.370567321777344
2008-07-01,14.151978492736816,41.82989501953125,90.29805755615234,11.758423805236816,68.00556945800781,13.688246726989746,40.575233459472656,25.8503360748291,14.874897003173828,18.538236618041992,17.154176712036133,39.05485534667969,8.326895713806152,38.82524108886719,22.498004913330078,6.381707191467285,12.46943187713623,19.001577377319336,13.56973934173584,42.319114685058594
2008-08-01,15.4777193069458,42.70054626464844,89.69158935546875,11.498807907104492,64.68449401855469,14.107714653015137,41.736724853515625,24.763065338134766,15.039531707763672,19.66985511779785,17.472869873046875,40.18145751953125,8.523137092590332,41.627655029296875,23.39095687866211,6.7352681159973145,13.023110389709473,19.001577377319336,13.673906326293945,42.098148345947266
2008-09-01,14.518805503845215,41.1096076965332,81.3927230834961,9.940860748291016,62.39186096191406,11.626165390014648,41.32191467285156,30.045059204101562,15.27348518371582,19.314104080200195,16.18212890625,41.81854248046875,8.360045433044434,41.579925537109375,20.951683044433594,5.878360271453857,11.899529457092285,23.8156681060791,13.919642448425293,41.07034683227539
2008-10-01,11.436135292053223,37.182071685791016,63.10983657836914,8.91927719116211,49.59450912475586,9.950207710266113,36.58610534667969,26.538745880126953,12.816489219665527,16.159013748168945,14.572678565979004,33.657230377197266,8.029088020324707,38.507232666015625,19.123981475830078,5.636235237121582,11.002154350280762,21.607341766357422,12.97136402130127,39.198211669921875
2008-11-01,10.644552230834961,39.380088806152344,55.54054260253906,7.271234035491943,43.52920150756836,8.565996170043945,34.939910888671875,20.526042938232422,13.633885383605957,14.632119178771973,12.819818496704102,33.474205017089844,7.448782444000244,38.63935089111328,18.54767417907715,6.139425754547119,12.303080558776855,18.33293342590332,12.987635612487793,42.38718032836914
2008-12-01,10.490096092224121,37.18732452392578,52.402854919433594,7.635838508605957,45.14581298828125,9.178847312927246,35.982032775878906,20.44176483154297,13.280433654785156,14.162973403930664,14.126494407653809,32.33479309082031,8.171117782592773,37.120201110839844,19.141584396362305,6.126528739929199,12.7741060256958,18.890256881713867,13.029464721679688,42.46074295043945
