Date,AAPL,AMZN,AVGO,BAC,BRK-A,DIS,GOOGL,HD,JNJ,JPM,MA,META,MSFT,NVDA,PFE,PG,TSLA,UNH,V,WMT
2021-01-01,128.3367462158203,160.30999755859375,40.442474365234375,26.12916374206543,344100.0,164.3008270263672,90.61902618408203,238.17303466796875,140.78138732910156,111.92720031738281,306.47210693359375,256.3185119628906,222.06800842285156,12.952624320983887,27.666458129882812,111.49639892578125,264.510009765625,305.1012878417969,185.984375,43.66383743286133
2021-02-01,117.93048858642578,154.64649963378906,42.18137741088867,30.58831024169922,364580.0,184.69064331054688,100.26679229736328,227.19744873046875,136.75112915039062,128.94192504882812,343.3008117675781,255.61404418945312,222.47006225585938,13.675300598144531,26.089956283569336,108.074462890625,225.1666717529297,303.857421875,204.4048309326172,40.37871551513672
2021-03-01,118.97354888916016,154.70399475097656,41.62388610839844,34.095699310302734,385702.0,180.27464294433594,102.28065490722656,268.4525146484375,142.71865844726562,133.37521362304688,345.4350280761719,292.2366638183594,226.23538208007812,13.310098648071289,28.22452163696289,118.48558807373047,222.64332580566406,340.3052673339844,204.0859832763672,42.21553039550781
2021-04-01,128.04141235351562,173.37100219726562,41.27431106567383,35.894622802734375,412500.0,181.74012756347656,116.71039581298828,286.4358215332031,141.31185913085938,134.75953674316406,370.6696472167969,322.54876708984375,241.98170471191406,14.97176456451416,30.109783172607422,116.72704315185547,236.47999572753906,366.0491027832031,225.12786865234375,43.66513442993164
2021-05-01,121.36959838867188,161.15350341796875,42.73365783691406,37.5418815612793,436000.0,174.53968811035156,116.87651824951172,282.2232971191406,146.97373962402344,144.74520874023438,350.245361328125,326.1703796386719,239.58282470703125,16.203657150268555,30.172107696533203,118.73297882080078,208.4066619873047,378.0916748046875,219.09390258789062,44.3267707824707
2021-06-01,133.6250457763672,172.00799560546875,43.14169692993164,36.514556884765625,418601.0,171.72598266601562,121.08869934082031,282.2056579589844,143.94984436035156,137.07786560058594,354.6261901855469,345.0025939941406,260.5448913574219,19.952211380004883,30.80769157409668,118.80339050292969,226.56666564941406,367.55438232421875,225.7058868408203,44.18439865112305
2021-07-01,142.3083038330078,166.37950134277344,44.25992202758789,34.115806579589844,418900.0,171.97019958496094,133.6221160888672,291.9587707519531,150.46841430664062,133.76417541503906,374.87847900390625,353.52569580078125,274.0194396972656,19.45443344116211,33.67920684814453,125.23091125488281,229.06666564941406,379.7527770996094,237.83966064453125,44.66377639770508
2021-08-01,148.13296508789062,173.5395050048828,45.33678436279297,37.1307373046875,429900.0,177.12872314453125,143.51136779785156,290.170654296875,151.28103637695312,141.7767333984375,336.7029113769531,376.4259948730469,290.34075927734375,22.333839416503906,36.57215118408203,126.1602783203125,245.24000549316406,383.4837951660156,221.149658203125,46.40270233154297
2021-09-01,138.2613067626953,164.2519989013672,44.21705627441406,37.75327682495117,411379.0,165.27780151367188,132.5802001953125,292.0210266113281,141.95729064941406,145.091796875,338.1128845214844,336.7474060058594,271.6628112792969,20.67229652404785,34.143001556396484,123.86553192138672,258.49334716796875,359.96466064453125,215.3131561279297,43.83124923706055
2021-10-01,146.37132263183594,168.6215057373047,48.834224700927734,42.711326599121094,432902.0,165.18011474609375,146.8324432373047,332.3822937011719,143.17031860351562,150.5873565673828,326.2875671386719,321.0505676269531,319.55450439453125,25.513065338134766,34.72251510620117,126.69197845458984,371.3333435058594,425.6915283203125,204.69972229003906,46.98856735229492
2021-11-01,161.51657104492188,175.35350036621094,50.85584259033203,39.75246047973633,416876.0,141.56622314453125,140.73435974121094,358.1957702636719,137.06129455566406,141.63232421875,306.6413269042969,321.9336242675781,318.56201171875,32.60707092285156,42.65296173095703,128.8948516845703,381.586669921875,410.6688537597656,187.30072021484375,44.22434997558594
2021-12-01,173.75894165039062,166.7169952392578,61.11831283569336,39.77033996582031,450662.0,151.32635498046875,143.6646270751953,371.0711669921875,151.35423278808594,141.2042694091797,349.8741760253906,333.73101806640625,324.676513671875,29.348953247070312,47.28765106201172,145.8335418701172,352.260009765625,464.21429443359375,209.84356689453125,45.5011100769043
