Date,AAPL,AMZN,AVGO,BRK-A,COST,GOOGL,HD,JPM,LLY,MA,META,MSFT,NVDA,ORCL,PG,TSLA,UNH,V,WMT,XOM
2024-01-01,182.50405883789062,155.1999969482422,115.14751434326172,578020.0,686.3214111328125,138.95156860351562,333.9085998535156,165.16915893554688,635.614013671875,442.6680603027344,387.10223388671875,390.8471374511719,61.48942184448242,108.59639739990234,147.2147674560547,187.2899932861328,487.9478759765625,268.7204895019531,53.80441665649414,95.26409149169922
2024-02-01,178.8916015625,176.75999450683594,126.90524291992188,616561.0,734.7278442382812,137.3250274658203,360.0661926269531,177.33924865722656,742.0106811523438,468.5624694824219,486.31365966796875,406.6351318359375,79.06367492675781,108.9976806640625,149.84146118164062,201.8800048828125,470.6512756347656,277.94464111328125,57.249202728271484,96.84858703613281
2024-03-01,169.93345642089844,180.3800048828125,129.33697509765625,634440.0,724.6702880859375,149.69277954101562,362.8948059082031,190.9118194580078,767.2572021484375,475.2835693359375,482.3102722167969,414.360107421875,90.3008041381836,122.5931167602539,152.96200561523438,175.7899932861328,471.70013427734375,274.95550537109375,58.772987365722656,108.7093734741211
2024-04-01,168.79380798339844,175.0,127.42413330078125,599500.0,715.0460205078125,161.44564819335938,318.0711669921875,182.7530517578125,770.35400390625,445.30999755859375,427.2734069824219,383.444580078125,86.35326385498047,111.0179672241211,153.85760498046875,183.27999877929688,463.0296936035156,264.6402282714844,58.16946792602539,110.60787200927734
2024-05-01,190.51612854003906,176.44000244140625,130.19552612304688,627400.0,802.3766479492188,171.0859832763672,318.68975830078125,194.25918579101562,809.05419921875,441.8450927734375,463.6864929199219,408.8546447753906,109.57117462158203,114.74445343017578,156.12252807617188,178.0800018310547,474.2009582519531,268.4333801269531,64.45196533203125,109.66329956054688
2024-06-01,209.00355529785156,193.25,157.33908081054688,612241.0,842.1046752929688,180.65687561035156,329.8844299316406,193.90444946289062,894.4462280273438,436.004150390625,500.82476806640625,440.98760986328125,123.4703140258789,138.25338745117188,156.48309326171875,197.8800048828125,487.4974060058594,259.0695495605469,66.59288024902344,108.53641510009766
2024-07-01,220.3756103515625,186.97999572753906,157.9635009765625,659211.0,814.3743896484375,170.32911682128906,352.80694580078125,204.00906372070312,794.5573120117188,458.2905578613281,472.1009521484375,412.76910400390625,116.96359252929688,136.5399169921875,152.53590393066406,232.07000732421875,553.8782958984375,262.2281188964844,67.50753784179688,111.80796813964844
2024-08-01,227.2425079345703,178.5,160.0673370361328,715300.0,885.3599853515625,162.2266845703125,353.1328125,216.70748901367188,948.4264526367188,478.39874267578125,518.3137817382812,411.57525634765625,119.3124771118164,138.7321319580078,163.7433319091797,214.11000061035156,567.3753051757812,272.7894592285156,75.955810546875,111.19514465332031
2024-09-01,231.4794158935547,186.3300018310547,169.5836944580078,691180.0,879.5462036132812,164.67929077148438,390.6607971191406,203.26931762695312,876.4639282226562,488.75177001953125,569.14990234375,425.3249206542969,121.3814697265625,167.31512451171875,165.32789611816406,261.6300048828125,562.0687255859375,271.9320983886719,79.64411926269531,111.40606689453125
2024-10-01,224.4357147216797,186.39999389648438,167.44879150390625,676960.0,867.30322265625,170.12759399414062,379.62164306640625,213.9311981201172,820.8651733398438,494.48260498046875,564.856201171875,401.6518249511719,132.70736694335938,164.80145263671875,157.6724090576172,249.85000610351562,544.593505859375,286.6685791015625,80.82767486572266,110.9878921508789
2024-11-01,235.7811737060547,207.88999938964844,159.86395263671875,724040.0,964.234619140625,167.97999572753906,413.7321472167969,242.20562744140625,786.8429565429688,528.1930541992188,571.5638427734375,418.5640563964844,138.19520568847656,181.9018096923828,172.1185302734375,345.1600036621094,588.6820068359375,311.6216125488281,91.23319244384766,112.10935974121094
2024-12-01,249.05947875976562,219.38999938964844,228.6701202392578,680920.0,910.2700805664062,188.21315002441406,377.00732421875,232.49684143066406,765.007568359375,521.8797607421875,582.7001953125,417.4606018066406,134.2367706298828,163.99110412597656,160.9710693359375,403.8399963378906,488.0213317871094,313.16534423828125,89.11264038085938,103.07476806640625
