Date,AIG,BAC,C,CSCO,CVX,GE,IBM,INTC,JNJ,KO,LLY,MRK,MSFT,PEP,PFE,PG,VZ,WFC,WMT,XOM
2002-01-01,871.8850708007812,17.47073745727539,252.11114501953125,12.742569923400879,16.733430862426758,98.80026245117188,53.606197357177734,19.981895446777344,29.848054885864258,10.868717193603516,38.341678619384766,22.718563079833984,19.414506912231445,26.245988845825195,15.267772674560547,21.12381935119629,12.360085487365723,11.883079528808594,12.864500045776367,17.847946166992188
2002-02-01,869.7687377929688,17.72574234008789,241.48928833007812,9.183659553527832,16.861228942871094,102.39059448242188,48.75187301635742,16.28091049194336,31.607501983642578,11.773003578186035,38.66331100463867,23.543922424316406,17.778093338012695,26.46084213256836,15.007625579833984,22.033233642578125,12.576346397399902,12.082429885864258,13.29989242553711,18.876317977905273
2002-03-01,848.7421875,19.033327102661133,264.27734375,10.895541191101074,18.179838180541992,99.9293212890625,51.74155807495117,17.351806640625,33.81425476074219,12.982839584350586,39.06313705444336,22.104337692260742,18.378416061401367,26.984813690185547,14.60673713684082,23.410463333129883,12.388236045837402,12.726486206054688,13.147613525390625,20.15176010131836
2002-04-01,813.2113647460938,20.28131675720215,231.08255004882812,9.42821216583252,17.462873458862305,84.29866027832031,41.67186737060547,16.32473373413086,33.246768951416016,13.84782600402832,33.859832763671875,20.979328155517578,15.92531681060791,27.272884368896484,13.360713005065918,23.454647064208984,10.778571128845215,13.177319526672363,11.995017051696777,18.468992233276367
2002-05-01,787.916015625,21.21310806274414,230.442138671875,10.155442237854004,17.571632385253906,83.20316314697266,40.02507019042969,15.75984001159668,31.940013885498047,13.860299110412598,33.16776657104492,22.04489517211914,15.513923645019531,27.314918518066406,12.717494010925293,23.367504119873047,11.654461860656738,13.499342918395996,11.617079734802246,18.358659744262695
2002-06-01,802.7400512695312,19.68809700012207,207.65042114257812,8.977716445922852,17.96323585510254,77.61885833740234,35.89147186279297,10.432258605957031,27.30001449584961,13.970065116882324,29.052047729492188,19.55085563659668,16.668869018554688,25.32857894897461,12.909418106079102,23.302276611328125,10.882014274597168,12.967294692993164,11.81249713897705,18.92259407043457
2002-07-01,752.5340576171875,18.75927734375,179.7315673828125,8.48861026763916,15.223073959350586,86.57463073730469,35.09389114379883,10.729185104370117,27.477619171142578,12.504618644714355,30.092561721801758,19.27276039123535,14.621064186096191,22.630043029785156,11.931989669799805,23.40169906616211,8.944117546081543,13.174514770507812,10.574143409729004,16.99889373779297
2002-08-01,739.3478393554688,19.769174575805664,175.4981231689453,8.89405345916748,15.553937911987305,81.0628890991211,37.57637023925781,9.518655776977539,28.37091064453125,12.770030975341797,29.90196990966797,19.630247116088867,14.956277847290039,20.84345817565918,12.201245307922363,23.43052101135254,8.486062049865723,13.519038200378418,11.49868106842041,16.393110275268555
2002-09-01,643.9866943359375,17.997621536254883,171.3023681640625,6.744551181793213,14.1842679977417,66.27527618408203,29.131454467773438,7.940764904022217,28.354616165161133,12.00883960723877,28.659210205078125,17.76125717163086,13.329001426696777,19.47322654724121,10.747719764709473,23.62346076965332,7.511533737182617,12.54683780670166,10.587042808532715,14.84633731842041
2002-10-01,736.9854125976562,19.867780685424805,213.47801208496094,7.19504451751709,13.852446556091309,68.36355590820312,39.438133239746094,9.89022159576416,30.803136825561523,11.684107780456543,28.742069244384766,21.235395431518555,16.294042587280273,23.33246421813965,11.766192436218262,23.377649307250977,10.336569786071777,13.14864444732666,11.529667854309082,15.665451049804688
2002-11-01,767.619873046875,19.94746208190918,225.7242889404297,9.601975440979004,13.729541778564453,73.42654418945312,43.42488098144531,11.936874389648438,29.896074295043945,11.472946166992188,35.370872497558594,23.25949478149414,17.57696533203125,22.475360870361328,11.677311897277832,22.443361282348633,11.602258682250977,12.038813591003418,11.605024337768555,16.196008682250977
2002-12-01,681.6092529296875,19.80229377746582,204.3013916015625,8.430691719055176,13.761758804321289,65.92684173583984,38.789939880371094,8.910697937011719,28.256420135498047,11.069541931152344,33.05196762084961,22.16327476501465,15.75466251373291,22.337814331054688,11.3657865524292,22.817726135253906,10.735137939453125,12.279550552368164,10.87513256072998,16.368389129638672
