Date,AIG,BAC,C,CSCO,CVX,GE,HD,IBM,INTC,JNJ,KO,MRK,MSFT,PFE,PG,UPS,VZ,WFC,WMT,XOM
2003-01-01,638.1481323242188,20.12478256225586,199.4246368408203,8.604450225830078,13.331183433532715,63.12491989135742,12.250997543334961,39.140289306640625,8.962203025817871,28.203824996948242,10.216097831726074,21.819171905517578,14.462605476379395,11.287707328796387,22.719491958618164,29.798686981201172,10.60492992401123,12.410552024841309,10.306830406188965,15.998297691345215
2003-02-01,581.1959838867188,19.892066955566406,194.65591430664062,8.997023582458496,13.283567428588867,65.60735321044922,13.745732307434082,39.015159606933594,9.872159957885742,27.593544006347656,10.155498504638672,20.77923583984375,14.444317817687988,11.14080810546875,21.838558197021484,28.42063331604004,9.66520881652832,11.88132381439209,10.36289119720459,15.937396049499512
2003-03-01,583.08251953125,19.202564239501953,201.13677978515625,8.353463172912598,13.529696464538574,70.11843872070312,14.279155731201172,39.331783294677734,9.328960418701172,30.5703067779541,10.221147537231445,21.578887939453125,14.802592277526855,11.641443252563477,23.75669288635254,28.254499435424805,9.88042163848877,11.862677574157715,11.218923568725586,16.484163284301758
2003-04-01,683.9846801757812,21.47593116760254,229.16156005859375,9.653459548950195,13.144630432128906,80.97988891601562,16.534278869628906,42.576416015625,10.543785095214844,29.77263641357422,10.260886192321777,23.079195022583008,15.63412857055664,11.48825740814209,23.970125198364258,30.792463302612305,10.447813987731934,12.724889755249023,12.16490364074707,16.602073669433594
2003-05-01,683.15869140625,21.51943016052246,239.4957275390625,10.560887336730957,14.846050262451172,78.91761016845703,19.097002029418945,44.151092529296875,11.930521965026855,28.710832595825195,11.573983192443848,22.04781150817871,15.047155380249023,11.589131355285645,24.607831954956055,30.946107864379883,10.695566177368164,12.73543930053711,11.363556861877441,17.168052673339844
2003-06-01,651.29052734375,22.920223236083984,251.1681365966797,10.80544376373291,15.267308235168457,78.86260986328125,19.467309951782227,41.4486083984375,11.93734073638916,27.429712295532227,11.787320137023926,24.01934814453125,15.676931381225586,12.816254615783691,23.900320053100586,31.682388305664062,11.147697448730469,13.372049331665039,11.592514038085938,17.0576114654541
2003-07-01,758.3697509765625,24.15103530883789,262.905029296875,12.54306411743164,15.24828052520752,78.71382141113281,18.372623443603516,40.82060241699219,14.2777681350708,27.477453231811523,11.475765228271484,22.069934844970703,16.147724151611328,12.519777297973633,23.54923439025879,31.374034881591797,9.890220642089844,13.406547546386719,12.09611701965332,16.90085792541504
2003-08-01,703.6771850585938,23.179983139038086,256.3797302246094,12.317815780639648,15.408989906311035,81.84130859375,18.937944412231445,41.20244598388672,16.40022087097168,26.304931640625,11.105744361877441,20.089704513549805,16.214975357055664,11.228766441345215,23.514354705810547,31.214885711669922,10.077522277832031,13.303062438964844,12.80141544342041,17.907878875732422
2003-09-01,681.5875854492188,22.826061248779297,269.1543884277344,12.607420921325684,15.258749008178711,82.50556945800781,18.75539207458496,44.46674346923828,15.798995018005371,26.397321701049805,10.962834358215332,21.352619171142578,16.997600555419922,11.4536714553833,25.004026412963867,31.856849670410156,9.255800247192383,13.788601875305176,12.083133697509766,17.505207061767578
2003-10-01,719.353515625,22.375774383544922,280.3321838378906,13.46980094909668,15.867396354675293,80.78960418701172,21.876890182495117,45.04568099975586,18.916316986083984,26.8290958404541,11.89892292022705,18.801841735839844,15.982640266418457,11.913629531860352,26.47756004333496,36.210960388183594,9.586767196655273,15.079109191894531,12.75381851196289,17.495641708374023
2003-11-01,685.2954711914062,22.287113189697266,280.20477294921875,14.608902931213379,16.03824806213379,79.8427734375,21.69395637512207,45.57931137084961,19.255041122436523,26.280033111572266,11.924564361572266,17.250953674316406,15.807918548583984,12.656347274780273,26.049137115478516,36.335777282714844,9.478862762451172,15.349526405334473,12.056713104248047,17.31389617919922
2003-12-01,783.8031005859375,23.76445960998535,289.20123291015625,15.593561172485352,18.628849029541016,86.27583312988281,20.9444637298584,46.74113464355469,18.41057014465332,27.66999053955078,13.076211929321289,19.63039207458496,16.82857894897461,13.383011817932129,27.03436851501465,37.353607177734375,10.125409126281738,15.89499282836914,11.495485305786133,19.747093200683594
