Date,AAPL,BRK-A,CVX,GE,GOOGL,IBM,INTC,JNJ,JPM,KO,MSFT,ORCL,PFE,PG,PM,T,VZ,WFC,WMT,XOM
2011-01-01,10.167047500610352,122425.0,51.39838409423828,71.73784637451172,14.90086841583252,90.33207702636719,14.32375431060791,38.463356018066406,29.770652770996094,19.681081771850586,21.107070922851562,25.915071487426758,9.228638648986816,40.30824661254883,28.09469985961914,6.984315872192383,16.174158096313477,21.435161590576172,13.680346488952637,45.09257507324219
2011-02-01,10.583234786987305,131300.0,56.173828125,74.51619720458984,15.22452163696289,90.26515197753906,14.330440521240234,39.538047790527344,30.96547508239746,20.016141891479492,20.23172950744629,26.661733627319336,9.745278358459473,40.55561447143555,30.813854217529297,7.3420023918151855,16.98448371887207,21.329378128051758,12.682439804077148,47.803279876708984
2011-03-01,10.442407608032227,125300.0,58.63652038574219,71.91152954101562,14.563319206237793,91.28874969482422,13.583444595336914,38.473548889160156,30.574182510375977,20.773956298828125,19.440174102783203,27.09123992919922,10.39542293548584,39.622928619384766,32.212703704833984,7.918908596038818,17.72974395751953,20.99713134765625,12.69952392578125,47.268619537353516
2011-04-01,10.490948677062988,124750.0,59.70027542114258,73.34618377685547,13.504500389099121,95.4929428100586,15.582588195800781,42.6748046875,30.262460708618164,21.277849197387695,19.845977783203125,29.141517639160156,10.73323917388916,41.74558639526367,34.43281936645508,8.050846099853516,17.38011932373047,19.318513870239258,13.508423805236816,49.43174743652344
2011-05-01,10.422035217285156,118775.0,57.2291145324707,70.44098663330078,13.130217552185059,94.56920623779297,15.151805877685547,43.69428634643555,28.83289337158203,21.07282066345215,19.14922523498535,27.781158447265625,10.978914260864258,43.45378112792969,35.5782470703125,8.318953514099121,17.2078857421875,18.827423095703125,13.567390441894531,46.89779281616211
2011-06-01,10.057680130004883,116105.0,56.53370666503906,67.64344024658203,12.568293571472168,96.46539306640625,15.03334903717041,43.568904876708984,27.299240112304688,21.224227905273438,20.037721633911133,26.71763801574707,10.645925521850586,41.22920227050781,33.108848571777344,8.279411315917969,17.34767723083496,18.697717666625977,13.142727851867676,45.98284149169922
2011-07-01,11.699956893920898,111500.0,57.18238830566406,64.76445007324219,14.983518600463867,102.25726318359375,15.148677825927734,42.435787200927734,26.972503662109375,21.606624603271484,21.11666488647461,24.8260498046875,9.94825553894043,39.880184173583984,35.62068176269531,7.712687969207764,16.443714141845703,18.617755889892578,13.036380767822266,45.084434509277344
2011-08-01,11.53066349029541,109769.0,54.33479690551758,58.97867202758789,13.426568031311035,96.66783905029297,13.656197547912598,43.09733200073242,25.199295043945312,22.381813049316406,20.500131607055664,22.82868194580078,9.808719635009766,41.63887405395508,34.69475173950195,7.644688606262207,17.074064254760742,17.391681671142578,13.155094146728516,41.82416534423828
2011-09-01,11.425492286682129,106800.0,51.30680465698242,55.03712463378906,12.783234596252441,98.76050567626953,14.618393898010254,42.086978912353516,20.20773696899414,21.463651657104492,19.303327560424805,23.373580932617188,9.238751411437988,41.31195068359375,31.22126579284668,7.655423641204834,17.371456146240234,16.143583297729492,12.928909301757812,41.30976486206055
2011-10-01,12.128427505493164,116950.0,58.21126174926758,61.004634857177734,14.709258079528809,104.27259826660156,16.810468673706055,42.549537658691406,23.32074737548828,21.853151321411133,20.652782440185547,26.651100158691406,10.064383506774902,41.84158706665039,35.38951110839844,7.867480754852295,17.45642852783203,17.341638565063477,14.129626274108887,44.415245056152344
2011-11-01,11.451862335205078,118500.0,56.975555419921875,58.083984375,14.87679386138916,106.1759033203125,17.06393051147461,42.767608642578125,20.960914611816406,21.504501342773438,19.838455200195312,25.54721450805664,10.487655639648438,42.56505584716797,38.61593246459961,7.938543319702148,18.05851936340332,17.30817413330078,14.672696113586426,45.751861572265625
2011-12-01,12.13502025604248,114755.0,59.42544174194336,65.38558197021484,16.031166076660156,104.26653289794922,16.75937843322754,43.738067626953125,22.504056930541992,22.543506622314453,20.284767150878906,20.902263641357422,11.421883583068848,43.97576141357422,39.75052261352539,8.283696174621582,19.202428817749023,18.53579330444336,14.886923789978027,48.49620819091797
