Date,AAPL,AMZN,AVGO,BRK-A,COST,GOOGL,HD,JPM,LLY,MA,META,MSFT,NVDA,ORCL,PG,TSLA,UNH,V,WMT,XOM
2024-01-01,179.31716918945312,145.24000549316406,102.3915023803711,554300.0,647.9302368164062,134.6173858642578,324.4294738769531,163.18931579589844,608.972900390625,413.2934875488281,349.2095947265625,361.52227783203125,49.06700897216797,99.87562561035156,138.10873413085938,237.49000549316406,512.3958129882812,255.3759002685547,51.02384948730469,95.09729766845703
2024-01-08,184.00845336914062,154.6199951171875,108.09032440185547,551800.0,674.8248901367188,141.4806671142578,336.51019287109375,161.1265106201172,632.965576171875,422.8320617675781,371.5740661621094,381.89141845703125,54.676578521728516,103.63812255859375,141.08787536621094,218.88999938964844,497.263671875,259.7814636230469,52.52484130859375,92.6139907836914
2024-01-15,189.59042358398438,155.33999633789062,118.19207763671875,556710.0,686.4103393554688,145.18008422851562,342.8486022949219,162.3274383544922,618.84765625,431.0782775878906,380.46429443359375,391.918701171875,59.45465850830078,107.03596496582031,138.24923706054688,212.19000244140625,480.1481628417969,266.399658203125,52.86996078491211,89.83418273925781
2024-01-22,190.44158935546875,159.1199951171875,117.57535552978516,582300.0,678.4199829101562,150.94244384765625,336.1223449707031,164.20513916015625,629.3524169921875,432.80535888671875,391.0711364746094,397.0895690917969,60.993709564208984,111.8865966796875,147.20176696777344,183.25,479.804931640625,263.4888610839844,53.48534393310547,95.44014739990234
2024-01-29,183.93914794921875,171.80999755859375,119.47430419921875,589498.0,700.74169921875,141.21287536621094,337.9481201171875,166.54031372070312,657.3126831054688,454.5675354003906,471.2915344238281,404.2561340332031,66.11958312988281,113.00897216796875,149.04013061523438,187.91000366210938,486.508056640625,272.5753479003906,55.21098709106445,94.4857406616211
2024-02-05,186.90830993652344,174.4499969482422,125.24144744873047,599090.0,715.5406494140625,147.7786102294922,343.54864501953125,166.8071746826172,728.699951171875,451.9028015136719,464.46514892578125,413.4281005859375,72.08895111083984,113.83855438232422,148.40846252441406,193.57000732421875,494.1265563964844,271.8377990722656,55.11655807495117,94.30042266845703
2024-02-12,180.66578674316406,169.50999450683594,121.53721618652344,610086.0,716.1241455078125,139.36813354492188,342.79180908203125,170.63873291015625,769.951171875,462.0189514160156,469.634521484375,397.2173767089844,72.56863403320312,108.63656616210938,148.49334716796875,199.9499969482422,497.3017883300781,274.4432373046875,55.46820068359375,96.1165771484375
2024-02-19,180.87388610839844,174.99000549316406,126.50318908691406,628930.0,729.9126586914062,142.77992248535156,351.8830261230469,175.3662872314453,758.9530639648438,467.2399597167969,480.2611389160156,404.1369934082031,78.76885986328125,109.26119995117188,151.81182861328125,191.97000122070312,502.7272644042969,279.4086608886719,57.161293029785156,97.11270141601562
2024-02-26,178.03968811035156,178.22000122070312,136.53469848632812,613965.0,741.2976684570312,136.0158233642578,363.698974609375,176.60533142089844,771.3599853515625,470.4080505371094,498.9176940917969,409.21905517578125,82.22872924804688,111.0472412109375,149.7566375732422,202.63999938964844,466.77044677734375,278.9752197265625,57.395721435546875,98.98313903808594
2024-03-04,169.19020080566406,175.35000610351562,127.70832824707031,609748.0,717.6770629882812,134.30001831054688,353.19805908203125,179.3979949951172,751.6549072265625,463.1343078613281,502.5431213378906,400.079345703125,87.47452545166016,109.71990966796875,151.17076110839844,175.33999633789062,454.41302490234375,275.9013671875,58.724143981933594,101.35858917236328
