Date,AAPL,AMZN,BAC,BRK-A,CVX,GOOGL,INTC,JNJ,JPM,KO,META,MSFT,PFE,PG,UNH,V,VZ,WFC,WMT,XOM
2018-01-01,39.17408752441406,72.54450225830078,26.367891311645508,323375.0,87.88882446289062,58.62644958496094,40.413326263427734,109.93683624267578,92.04446411132812,36.837158203125,185.434814453125,87.18408203125,24.22279930114746,68.84410095214844,206.7279815673828,117.28881072998047,34.05303955078125,52.38852310180664,31.199556350708008,60.14432144165039
2018-02-01,41.67523956298828,75.62249755859375,26.450286865234375,310250.0,78.472412109375,54.7435417175293,41.378753662109375,103.32581329345703,92.38800048828125,33.454551696777344,176.93153381347656,86.04622650146484,23.74540138244629,63.086021423339844,197.45590209960938,116.07088470458984,30.40890121459961,46.51890563964844,26.344011306762695,52.18019485473633
2018-03-01,39.41603088378906,72.36699676513672,24.711654663085938,299100.0,80.75480651855469,51.43191146850586,44.01757049560547,102.60232543945312,87.96456909179688,33.61710739135742,158.54580688476562,84.14556884765625,23.424165725708008,63.696632385253906,186.83921813964844,113.1330337524414,30.459850311279297,41.989341735839844,26.039628982543945,51.92731857299805
2018-04-01,38.824012756347656,78.30650329589844,24.746490478515625,290650.0,88.59376525878906,50.51152420043945,43.62877655029297,101.27326965332031,87.01266479492188,33.74205780029297,170.66073608398438,86.2199478149414,24.16339111328125,58.12076187133789,207.0795440673828,119.99932098388672,31.434412002563477,41.628822326660156,26.044723510742188,54.11269760131836
2018-05-01,43.900779724121094,81.48100280761719,24.01865005493164,287200.0,88.02018737792969,54.54915237426758,46.654571533203125,95.77286529541016,86.03091430664062,33.57807922363281,190.28672790527344,91.12464141845703,23.714574813842773,59.33161926269531,211.5557861328125,123.63106536865234,30.746366500854492,43.25519561767578,24.301729202270508,56.54167938232422
2018-06-01,43.65500259399414,84.98999786376953,23.410886764526367,282040.0,90.30919647216797,55.99668884277344,42.25694274902344,97.87046813964844,83.77182006835938,34.24964141845703,192.8069610595703,91.30668640136719,24.179336547851562,63.29677963256836,214.9107666015625,125.46856689453125,32.44912338256836,44.75130844116211,25.376253128051758,58.16230392456055
2018-07-01,44.876617431640625,88.87200164794922,25.64484405517578,301550.0,90.19491577148438,60.858009338378906,40.888328552246094,106.8880386352539,92.41431427001953,36.73698043823242,171.23622131347656,98.22344207763672,26.6119327545166,65.58345794677734,222.5980224609375,129.5324249267578,33.30696105957031,46.24462890625,26.436933517456055,57.304595947265625
2018-08-01,53.682621002197266,100.635498046875,25.686372756958008,315800.0,84.6161880493164,61.08513259887695,41.168861389160156,108.63833618164062,92.617431640625,35.1140251159668,174.36167907714844,104.01055908203125,27.671600341796875,67.87242126464844,235.99501037597656,139.14743041992188,35.47431945800781,47.20519256591797,28.401262283325195,56.36253356933594
2018-09-01,53.4235954284668,100.1500015258789,24.465574264526367,320000.0,88.18225860595703,59.8592643737793,40.444252014160156,112.18792724609375,91.2109375,36.39033126831055,163.17945861816406,106.30699157714844,29.621183395385742,68.1015396118164,233.8677215576172,142.39242553710938,34.83490753173828,42.73703384399414,27.98511505126953,60.38875961303711
2018-10-01,51.79538345336914,79.90049743652344,22.948265075683594,307705.0,80.51642608642578,54.08201599121094,40.093597412109375,113.66566467285156,88.1231689453125,38.04264831542969,150.6081085205078,99.27996063232422,28.94232749938965,72.56089782714844,230.52003479003906,130.7801513671875,37.24901580810547,43.28181457519531,29.883371353149414,56.59584045410156
2018-11-01,42.262718200683594,84.50849914550781,23.699291229248047,326000.0,85.77361297607422,55.02769470214844,42.171836853027344,119.27632141113281,90.5066146850586,40.044898986816406,139.5151824951172,103.07232666015625,31.0730037689209,78.01448822021484,248.16957092285156,134.44223022460938,39.77939224243164,44.13557815551758,29.099626541137695,56.46796417236328
2018-12-01,37.460975646972656,75.09850311279297,20.561641693115234,306000.0,79.22065734863281,51.8197135925293,40.388954162597656,105.4501724243164,79.46088409423828,37.91903305053711,130.06927490234375,94.8172378540039,29.56529426574707,75.87654113769531,220.43487548828125,125.39804077148438,37.08784484863281,37.77122116088867,27.758642196655273,48.92560958862305
