Date,AAPL,BAC,BRK-A,CVX,GE,GOOGL,IBM,JNJ,JPM,KO,MSFT,ORCL,PFE,PG,PM,T,VZ,WFC,WMT,XOM
2012-01-01,13.677512168884277,5.54170560836792,117925.0,57.59351348876953,68.96897888183594,14.398265838623047,109.2110824584961,43.958160400390625,25.245147705078125,21.757368087768555,23.074312210083008,22.988412857055664,11.295207977294922,41.55646514892578,38.257972717285156,8.056336402893066,18.0250186920166,19.645511627197266,15.381024360656738,47.91260528564453
2012-02-01,16.25312614440918,6.194584846496582,117934.0,60.944583892822266,70.22230529785156,15.34489631652832,111.55292510986328,43.40460205078125,26.749353408813477,22.508073806762695,24.80118179321289,23.889135360717773,11.15269660949707,44.931644439697266,42.735137939453125,8.543293952941895,18.47765350341797,21.044437408447266,14.809494972229004,49.49177932739258
2012-03-01,17.964317321777344,7.447335243225098,121900.0,60.33679962158203,74.63658905029297,15.915505409240723,118.77264404296875,44.380096435546875,31.343902587890625,23.84514808654785,25.373451232910156,23.815635681152344,12.079154014587402,44.659217834472656,45.33956527709961,8.722031593322754,18.535839080810547,23.05595588684082,15.34090518951416,49.89497375488281
2012-04-01,17.497800827026367,6.3111701011657715,120800.0,59.97096252441406,72.81439208984375,15.012309074401855,117.87898254394531,43.801448822021484,29.29884910583496,24.769479751586914,25.18467903137207,24.011659622192383,12.21247673034668,42.28704833984375,46.20368576049805,9.191227912902832,19.57827377319336,22.636260986328125,14.865717887878418,49.670589447021484
2012-05-01,17.31052589416504,5.719738960266113,118850.0,55.327938079833984,70.99215698242188,14.416878700256348,109.80712890625,42.00498962402344,22.74580192565918,24.253459930419922,22.958803176879883,21.66261863708496,11.663183212280273,41.74011993408203,43.622745513916016,9.722537994384766,20.455595016479492,21.70831298828125,16.609434127807617,45.2351188659668
2012-06-01,17.498394012451172,6.374210834503174,124945.0,59.90876388549805,77.50007629394531,14.397274017333984,111.7990951538086,45.89914321899414,24.516050338745117,25.376386642456055,24.217817306518555,24.306001663208008,12.387365341186523,41.043216705322266,45.0422477722168,10.146491050720215,21.831096649169922,22.796924591064453,17.71296501159668,49.566768646240234
2012-07-01,18.300203323364258,5.719645977020264,127445.0,62.22563552856445,78.0412368774414,15.710244178771973,112.02771759033203,47.02694320678711,24.701318740844727,26.40251922607422,23.331127166748047,24.715192794799805,12.94748306274414,43.24782943725586,47.626277923583984,10.789543151855469,22.17496681213379,23.049163818359375,18.909589767456055,50.30820846557617
2012-08-01,19.932592391967773,6.226154327392578,126560.0,63.69068908691406,77.89082336425781,17.00385856628418,111.38179779052734,45.81083297729492,25.69601058959961,24.44193458557129,24.39990997314453,25.95545768737793,12.850540161132812,45.41413497924805,46.51166915893555,10.59793472290039,21.331815719604492,23.199140548706055,18.44466209411621,50.56886291503906
2012-09-01,20.074146270751953,6.8807172775268555,132700.0,66.71913146972656,85.41288757324219,18.726606369018555,119.09064483642578,47.24173355102539,28.006858825683594,24.78830337524414,23.716796875,25.799650192260742,13.507343292236328,46.8808479309082,46.84499740600586,10.904534339904785,22.63835906982422,23.693490982055664,18.85093116760254,53.3170280456543
2012-10-01,17.914167404174805,7.271637916564941,129505.0,63.101566314697266,79.81208801269531,16.88496971130371,111.67364501953125,48.551151275634766,28.837099075317383,24.463315963745117,22.744531631469727,25.48801612854004,13.518216133117676,46.799739837646484,46.555763244628906,10.004984855651855,22.176353454589844,23.117109298706055,19.16255760192871,53.153778076171875
2012-11-01,17.612035751342773,7.692955017089844,131916.0,60.49713897705078,80.07737731933594,17.333463668823242,109.11331176757812,47.80388259887695,28.63188362121582,24.950210571289062,21.214418411254883,26.441865921020508,13.599750518798828,47.58611297607422,47.249671936035156,10.024245262145996,22.159509658813477,22.650508880615234,18.396255493164062,51.387229919433594
2012-12-01,16.087017059326172,9.058341026306152,134060.0,62.4332389831543,79.54682159423828,17.55709457397461,110.44419860839844,48.48251724243164,30.64614486694336,24.015064239501953,21.4610595703125,27.37858772277832,13.754828453063965,46.26408386230469,43.96933364868164,9.900887489318848,21.732585906982422,23.604642868041992,17.428178787231445,50.77617263793945
