Date,AIG,AMGN,BAC,C,CSCO,CVX,GE,HD,IBM,INTC,JNJ,JPM,KO,MSFT,PEP,PFE,PG,WFC,WMT,XOM
2005-01-01,788.0565185546875,42.09843444824219,28.79939079284668,302.55987548828125,11.609895706176758,24.228612899780273,103.73074340820312,24.60588836669922,47.47811508178711,12.976546287536621,35.3330192565918,21.125165939331055,10.92813777923584,18.06231117248535,29.405839920043945,9.342679023742676,29.36043357849121,17.086206436157227,11.482012748718262,25.456314086914062
2005-02-01,794.1193237304688,41.67232131958008,28.97328758239746,294.35589599609375,11.210885047912598,27.649120330810547,101.06072235107422,23.86640167236328,47.05121994018555,13.866692543029785,35.82453918457031,20.864971160888672,11.273175239562988,17.292522430419922,29.49345588684082,10.166351318359375,29.414560317993164,16.551040649414062,11.308905601501465,31.233295440673828
2005-03-01,658.714599609375,39.37257766723633,27.389551162719727,279.68487548828125,11.513361930847168,26.149892807006836,104.17958068847656,22.80488395690918,46.52995681762695,13.475138664245605,36.835208892822266,19.751787185668945,10.975543022155762,16.663349151611328,29.03894805908203,10.234725952148438,29.364688873291016,16.79857635498047,10.980217933654785,29.547029495239258
2005-04-01,605.6430053710938,39.37257766723633,28.243310928344727,292.2563171386719,11.114351272583008,23.320093154907227,104.58401489257812,21.14634132385254,38.8920783996582,13.643360137939453,37.64143371582031,20.259851455688477,11.516617774963379,17.442386627197266,30.598899841308594,10.585365295410156,30.001842498779297,16.837902069091797,10.359879493713379,28.272930145263672
2005-05-01,661.6218872070312,42.328407287597656,29.045970916748047,295.9576110839844,12.485142707824707,24.118356704711914,105.39299774169922,23.525835037231445,38.46944808959961,15.638815879821777,36.802284240722656,20.612913131713867,11.83210277557373,17.7871036529541,30.939855575561523,10.869769096374512,30.71417999267578,16.96993064880371,10.379659652709961,27.861459732055664
2005-06-01,691.9932250976562,40.894466400146484,28.600740432739258,290.42926025390625,12.279204368591309,25.30349349975586,100.10599517822266,23.25679588317871,37.88240432739258,15.144386291503906,35.82524490356445,20.364978790283203,11.068574905395508,17.179580688476562,29.65848159790039,10.819417953491211,29.377574920654297,17.437437057495117,10.626751899719238,28.636178970336914
2005-07-01,718.6222534179688,53.955543518066406,27.60855484008789,273.2785339355469,12.32425308227539,26.24920082092285,100.29036712646484,26.078203201293945,42.61005401611328,15.796257019042969,35.25204849243164,20.26119041442871,11.67584228515625,17.712121963500977,30.128582000732422,10.395746231079102,30.981504440307617,17.36947250366211,10.880293846130371,29.27396583557129
2005-08-01,706.684814453125,54.043434143066406,27.24760627746582,277.727783203125,11.339597702026367,27.783166885375977,97.7031478881836,24.1662540435791,41.16007995605469,14.969782829284668,34.937896728515625,19.73038673400879,11.739879608154297,18.936277389526367,30.305383682250977,9.995606422424316,31.056413650512695,16.882421493530273,9.912418365478516,29.846988677978516
2005-09-01,741.5078735351562,53.88787841796875,26.971609115600586,288.83172607421875,11.532670021057129,29.50786590576172,97.87757873535156,22.91616439819336,41.054359436035156,14.388775825500488,35.05732345581055,19.753677368164062,11.523756980895996,17.847890853881836,31.33307456970215,9.865743637084961,33.28432846069336,16.726016998291016,9.691641807556152,31.8159122467041
2005-10-01,775.4957885742188,51.14853286743164,28.022266387939453,290.48150634765625,11.230196952819824,26.015966415405273,99.22589111328125,24.658620834350586,41.903926849365234,13.717493057250977,34.69169616699219,21.31975746154785,11.48704719543457,17.827089309692383,32.79703140258789,8.589561462402344,31.341894149780273,17.191492080688477,10.463521957397461,28.11055564880371
2005-11-01,803.5001831054688,54.740142822265625,29.399682998657227,308.0576171875,11.288115501403809,26.12537956237793,104.52225494384766,25.103239059448242,45.496543884277344,15.573738098144531,34.20970916748047,22.49286460876465,11.462882995605469,19.200531005859375,32.86363220214844,8.376202583312988,32.17640686035156,17.948272705078125,10.739990234375,29.05692481994629
2005-12-01,818.3483276367188,53.34001922607422,29.885692596435547,310.9342041015625,11.017820358276367,26.08629035949707,102.56172180175781,24.38068199157715,42.168548583984375,14.619773864746094,33.4699821472168,23.33965492248535,10.895125389099121,18.19240951538086,32.79703140258789,9.293102264404297,32.56462097167969,18.099708557128906,10.350728034973145,28.2691650390625
