Date,AIG,BAC,BMY,C,CSCO,GE,HD,IBM,INTC,JNJ,KO,LLY,MRK,MSFT,PFE,PG,T,VZ,WMT,XOM
1998-01-01,457.3681945800781,14.471224784851074,17.31852912902832,126.02603149414062,6.764126777648926,65.12773895263672,11.589123725891113,24.013568878173828,11.465370178222656,16.495832443237305,15.242834091186523,32.786529541015625,21.061840057373047,11.365564346313477,9.641742706298828,18.975440979003906,4.8470139503479,10.987058639526367,4.186649799346924,12.403448104858398
1998-02-01,498.31097412109375,16.555801391601562,17.4054012298584,141.4416046142578,7.065800189971924,65.33783721923828,12.235630989074707,25.39661979675293,12.6998872756958,18.575149536132812,16.15505027770996,31.90778160095215,22.889892578125,12.91303825378418,10.437848091125488,20.61349868774414,4.753429889678955,10.744828224182129,4.870185375213623,13.331419944763184
1998-03-01,522.1512451171875,17.628299713134766,18.122024536132812,152.92564392089844,7.333947658538818,72.42839050292969,12.953958511352539,25.31068229675293,11.053766250610352,18.155399322509766,18.229598999023438,28.999248504638672,23.002042770385742,13.636773109436035,11.784440994262695,20.492067337036133,5.450730800628662,12.241325378417969,5.343400001525879,14.235998153686523
1998-04-01,545.8084716796875,18.470285415649414,18.393478393554688,155.95230102539062,7.856845378875732,71.87053680419922,13.359379768371582,28.23466682434082,11.4431734085083,17.676410675048828,17.89875030517578,33.832462310791016,21.699594497680664,13.73200511932373,13.454204559326172,19.96078109741211,5.209130764007568,11.201257705688477,5.325184345245361,15.38066577911377
1998-05-01,513.6564331054688,18.34878158569336,18.745872497558594,156.4337615966797,8.111590385437012,70.34136962890625,15.060754776000977,28.630613327026367,10.119486808776855,17.07379722595215,18.488487243652344,29.850387573242188,21.069307327270508,12.922562599182129,12.390289306640625,20.432388305664062,4.921352386474609,11.053625106811523,5.805703639984131,14.841228485107422
1998-06-01,605.7049560546875,18.637371063232422,20.04281997680664,154.8374481201172,9.874689102172852,76.66891479492188,15.923423767089844,28.028099060058594,10.5001859664917,18.358043670654297,20.16925621032715,32.31850814819336,24.085647583007812,16.5126895904541,12.870247840881348,22.183307647705078,5.0637688636779785,11.00838565826416,6.398121356964111,15.11007308959961
1998-07-01,626.0506591796875,19.479949951171875,19.934083938598633,171.7578582763672,10.270208358764648,75.4561538696289,16.067201614379883,32.34598922729492,11.961002349853516,19.164306640625,19.02489471435547,32.80631637573242,22.338415145874023,16.75075912475586,13.003458976745605,19.33615493774414,5.18245267868042,10.940524101257324,6.6573028564453125,14.871907234191895
1998-08-01,481.4079284667969,14.04509449005127,17.123844146728516,113.5489273071289,8.781966209411621,67.71736145019531,14.628352165222168,27.494094848632812,10.08406925201416,17.117637634277344,15.391257286071777,32.074581146240234,20.959915161132812,14.61763858795166,11.012611389160156,18.6961669921875,4.85596227645874,10.734633445739746,6.222272872924805,13.853107452392578
1998-09-01,488.0238952636719,13.068052291870117,18.173568725585938,95.95685577392578,9.945076942443848,67.34703063964844,15.15591812133789,31.42319107055664,12.151371955871582,19.476665496826172,13.618746757507324,38.31694412231445,23.42313003540039,16.769807815551758,12.545154571533203,17.382553100585938,5.661301612854004,11.783767700195312,5.760876655578613,15.042496681213379
1998-10-01,531.605224609375,14.138737678527832,19.438451766967773,120.26592254638672,10.136134147644043,74.3343734741211,16.727846145629883,36.31395721435547,12.638490676879883,20.285608291625977,16.006771087646484,39.631893157958984,24.52557373046875,16.131772994995117,12.730515480041504,21.67473030090332,5.90848445892334,12.939340591430664,7.292590618133545,15.255489349365234
1998-11-01,585.7392578125,16.029029846191406,21.425107955932617,129.1066131591797,12.127163887023926,76.77679443359375,19.103816986083984,40.37939453125,15.251214027404785,20.223377227783203,16.599058151245117,43.88254928588867,28.168643951416016,18.588682174682617,13.279182434082031,21.48958396911621,6.155764579772949,13.633258819580078,7.952546119689941,15.97432804107666
1998-12-01,602.096435546875,14.784201622009277,23.499576568603516,127.6613998413086,14.932699203491211,86.652587890625,23.495771408081055,45.153446197509766,16.80856704711914,20.93874168395996,15.90604019165039,43.58621597290039,26.7840518951416,21.13128662109375,14.854622840881348,22.393924713134766,6.886106014251709,13.234987258911133,8.59931755065918,15.662342071533203
