Date,AAPL,AMD,AMZN,AVGO,BRK-A,COST,GOOGL,JNJ,JPM,LLY,MA,META,MSFT,MU,NVDA,ORCL,TSLA,V,WMT,XOM
2026-01-01,260.08660888671875,210.02000427246094,241.55999755859375,342.78094482421875,745000.0,881.3759155273438,321.7535095214844,206.39279174804688,323.86419677734375,1106.24365234375,578.0567626953125,648.1350708007812,482.3690185546875,339.40740966796875,189.09976196289062,191.6621856689453,431.4100036621094,355.14764404296875,112.48914337158203,117.7054443359375
2026-01-08,259.71697998046875,223.60000610351562,236.64999389648438,339.17852783203125,743438.0,949.6825561523438,335.603759765625,217.39430236816406,306.30242919921875,1071.501708984375,545.0631713867188,614.9934692382812,458.3338928222656,333.21002197265625,183.1300811767578,192.427490234375,439.20001220703125,328.4926452636719,119.79415130615234,129.33790588378906
2026-01-15,247.41848754882812,249.8000030517578,231.30999755859375,328.1116943359375,724080.0,981.5191040039062,328.1490173339844,216.85716247558594,300.50213623046875,1076.722900390625,526.6649169921875,612.4356689453125,443.0986328125,388.94659423828125,183.31008911132812,173.2748260498047,431.44000244140625,324.6106262207031,119.11553955078125,132.725341796875
2026-01-22,256.2002868652344,252.74000549316406,243.00999450683594,332.54241943359375,709500.0,959.46923828125,335.7736511230469,226.5158233642578,299.2385559082031,1022.0940551757812,520.4755859375,668.1578979492188,480.533203125,435.09722900390625,191.5096435546875,172.19857788085938,431.4599914550781,326.30712890625,116.33125305175781,136.66905212402344
2026-01-29,276.23150634765625,200.19000244140625,232.99000549316406,307.4051513671875,757890.0,977.0151977539062,332.80572509765625,233.23011779785156,315.654541015625,1105.2752685546875,552.5704345703125,668.417724609375,413.2467956542969,379.2406921386719,174.18057250976562,146.15951538085938,406.010009765625,329.2710266113281,127.73784637451172,146.61276245117188
2026-02-05,275.2424621582031,213.5800018310547,204.0800018310547,342.0425109863281,748456.0,978.1400146484375,310.7412414550781,239.58633422851562,309.2374267578125,1013.5184326171875,536.5379638671875,668.1179809570312,403.4491271972656,410.1676940917969,190.0397186279297,156.61302185058594,428.2699890136719,328.5624694824219,128.5062713623047,154.52999877929688
2026-02-12,264.3500061035156,200.1199951171875,204.7899932861328,332.8118591308594,747960.0,996.0800170898438,303.1166076660156,243.6945037841797,307.2077941894531,1018.8594970703125,527.07421875,642.6697387695312,398.69000244140625,420.77325439453125,187.96981811523438,155.62646484375,411.32000732421875,320.29998779296875,126.36067199707031,149.6822967529297
2026-02-19,274.2300109863281,210.86000061035156,210.63999938964844,331.6143798828125,742000.0,994.760009765625,312.67987060546875,243.87353515625,301.75567626953125,1028.8299560546875,508.5161437988281,653.1307983398438,399.687744140625,428.8198547363281,195.54940795898438,147.37527465820312,417.3999938964844,312.989990234375,125.4924545288086,149.05999755859375
2026-02-26,262.5199890136719,202.07000732421875,216.82000732421875,316.86529541015625,730707.0,1006.739990234375,302.9167785644531,245.3000030517578,297.8656311035156,1003.5700073242188,522.0228881835938,667.1587524414062,405.20001220703125,400.6016845703125,183.03009033203125,151.8396759033203,405.94000244140625,320.4700012207031,127.54823303222656,149.82000732421875
2026-03-05,260.80999755859375,204.8300018310547,212.64999389648438,340.85498046875,740000.0,992.22998046875,308.48284912109375,242.99000549316406,286.0560302734375,999.8400268554688,503.1353759765625,654.2998046875,404.8800048828125,418.5141906738281,186.01992797851562,162.55226135253906,407.82000732421875,308.9599914550781,123.2370834350586,151.5800018310547
2026-03-12,249.94000244140625,199.4600067138672,209.8699951171875,315.2686462402344,726540.0,979.9199829101562,307.69000244140625,237.27999877929688,286.27490234375,918.0499877929688,487.63201904296875,615.1533203125,391.7900085449219,461.5361328125,180.39999389648438,152.36782836914062,392.7799987792969,299.0199890136719,121.73017883300781,157.58999633789062
