Date,AAPL,AMZN,BAC,BRK-A,DIS,GOOGL,HD,JNJ,JPM,MA,META,MSFT,NVDA,PG,PYPL,TSLA,UNH,V,VZ,WMT
2020-01-01,71.92804718017578,95.34300231933594,29.712156295776367,338901.0,142.3477783203125,69.18370819091797,187.74818420410156,121.80645751953125,114.05708312988281,289.3312683105469,211.40103149414062,149.27853393554688,5.97125244140625,103.53025817871094,109.0867691040039,31.270666122436523,260.7584533691406,180.4849395751953,40.98177719116211,35.63165283203125
2020-01-08,75.37273406982422,93.47200012207031,30.31291961669922,340706.0,141.8592987060547,70.94316101074219,191.43406677246094,123.10032653808594,117.25604248046875,299.3832702636719,217.35430908203125,153.58885192871094,6.154175281524658,105.82164764404297,114.03034210205078,35.861331939697266,259.3636169433594,187.52487182617188,40.596710205078125,35.51549530029297
2020-01-15,76.31041717529297,94.5999984741211,29.403194427490234,342650.0,140.25701904296875,73.50498962402344,200.14617919921875,125.41075134277344,115.60030364990234,310.6781005859375,219.71578979492188,157.72866821289062,6.170599937438965,107.00980377197266,115.53231048583984,36.47999954223633,270.4224548339844,198.276123046875,41.908504486083984,35.335140228271484
2020-01-22,76.58041381835938,92.6624984741211,28.527790069580078,336000.0,135.1864471435547,71.93049621582031,200.9280242919922,125.60400390625,113.5643539428711,309.0761413574219,216.0941925048828,156.74343872070312,6.171347141265869,106.9588851928711,115.90033721923828,37.793331146240234,257.2311096191406,194.0291748046875,42.17251968383789,35.643890380859375
2020-01-29,76.86000061035156,102.4834976196289,28.853923797607422,337421.0,141.40011596679688,71.67808532714844,201.90748596191406,127.36831665039062,114.29087829589844,317.6168518066406,208.19618225097656,170.63113403320312,6.150441646575928,107.27848052978516,119.44141387939453,59.137332916259766,252.7049560546875,194.70831298828125,40.49812316894531,35.2373161315918
2020-02-05,77.04319763183594,107.54000091552734,29.840898513793945,340780.0,137.76568603515625,74.88408660888672,207.6124267578125,127.69597625732422,116.58026123046875,319.3539733886719,205.57672119140625,174.72360229492188,6.667106628417969,105.99787902832031,118.2080078125,51.62533187866211,261.6582336425781,195.07177734375,40.77602767944336,35.27705764770508
2020-02-12,77.07866668701172,107.78350067138672,29.411771774291992,339745.0,135.93873596191406,75.3492431640625,209.58856201171875,125.30155181884766,114.58656311035156,329.31329345703125,216.10411071777344,177.3665771484375,7.380877494812012,106.60404205322266,121.61976623535156,57.22666549682617,271.87115478515625,202.01608276367188,40.23411560058594,36.57014846801758
2020-02-19,69.60759735107422,98.63700103759766,26.67399787902832,328000.0,125.24066162109375,68.74781036376953,203.95233154296875,121.52920532226562,106.66248321533203,292.3036804199219,195.2378692626953,159.21595764160156,6.521762847900391,103.667236328125,109.07682800292969,53.32733154296875,237.00315856933594,180.4685516357422,39.685237884521484,34.96831130981445
2020-02-26,69.90718841552734,95.44950103759766,23.816070556640625,313914.0,113.77075958251953,66.33773040771484,195.84164428710938,114.64378356933594,98.80599212646484,281.79425048828125,184.44259643554688,156.2691650390625,6.617332458496094,100.88410949707031,109.17630004882812,49.70066833496094,235.2125244140625,177.9109344482422,38.698673248291016,34.51587677001953
2020-03-04,68.94551086425781,94.59100341796875,20.262977600097656,303561.0,108.89556884765625,63.23585891723633,193.91708374023438,119.75914764404297,85.06978607177734,270.7637634277344,176.80255126953125,152.85894775390625,6.501509189605713,102.91596984863281,109.15640258789062,43.02199935913086,251.94915771484375,174.91273498535156,39.268394470214844,36.619049072265625
