Date,AIG,BAC,C,CSCO,CVX,GE,HD,IBM,INTC,JNJ,JPM,KO,MSFT,PFE,PG,UPS,VZ,WFC,WMT,XOM
2004-01-01,810.8416137695312,23.591245651245117,297.36376953125,16.449499130249023,18.536128997802734,88.80342102050781,21.226821899414062,46.79155349731445,19.52497100830078,27.718196868896484,20.782880783081055,12.852056503295898,17.34505844116211,13.936062812805176,26.552581787109375,36.69721603393555,10.552597045898438,15.565707206726074,11.608997344970703,19.74709129333496
2004-01-08,824.1011352539062,23.662918090820312,297.89996337890625,17.633657455444336,18.458498001098633,89.700439453125,20.972583770751953,45.545860290527344,19.180307388305664,27.852092742919922,21.639150619506836,12.831439971923828,17.031484603881836,13.314833641052246,27.074981689453125,36.3063850402832,10.751449584960938,15.204022407531738,11.535187721252441,19.592966079711914
2004-01-15,829.073486328125,24.439241409301758,300.044921875,18.405933380126953,18.712947845458984,94.88623809814453,21.073102951049805,49.272857666015625,18.49673080444336,28.15205192565918,22.12468910217285,12.826290130615234,17.400390625,13.496651649475098,26.83679962158203,36.226219177246094,10.798123359680176,15.611587524414062,11.602486610412598,19.954200744628906
2004-01-22,806.224609375,24.03614616394043,293.3123779296875,17.234643936157227,18.702157974243164,94.63394165039062,20.60007667541504,49.111480712890625,18.025697708129883,28.47340965270996,21.583974838256836,12.725799560546875,17.037628173828125,13.579987525939941,26.816999435424805,36.29637145996094,10.7222900390625,15.401060104370117,11.563408851623535,19.65559196472168
2004-01-29,830.4943237304688,24.39444351196289,289.3800354003906,15.497025489807129,18.361461639404297,93.00814056396484,20.966670989990234,50.52863311767578,17.244478225708008,29.18042755126953,21.473630905151367,12.818557739257812,16.607227325439453,14.496688842773438,28.062395095825195,35.619937896728516,10.70186710357666,15.41185474395752,12.023600578308105,19.43402671813965
2004-02-05,880.21728515625,24.48103904724121,298.6582946777344,15.599996566772461,18.88330841064453,92.72785186767578,21.776714324951172,50.41264724731445,17.82437515258789,29.271493911743164,22.218482971191406,13.346758842468262,16.693307876586914,14.451236724853516,28.062395095825195,35.97068786621094,11.14231014251709,15.83167552947998,12.388278007507324,20.190196990966797
2004-02-12,880.3351440429688,24.355627059936523,297.6971740722656,15.503457069396973,18.678442001342773,91.80279541015625,21.220922470092773,49.71644592285156,17.600065231323242,28.864408493041992,22.33434295654297,13.202472686767578,16.45966911315918,14.234536170959473,27.994421005249023,35.67006301879883,11.116057395935059,15.491640090942383,12.416497230529785,20.257408142089844
2004-02-19,880.8091430664062,24.397441864013672,299.3792419433594,15.175239562988281,19.101028442382812,92.41949462890625,21.528390884399414,48.76676559448242,17.036401748657227,29.083187103271484,22.262622833251953,12.792795181274414,16.416622161865234,14.173646926879883,27.923715591430664,34.9986572265625,11.089808464050293,15.567814826965332,12.99825382232666,20.669343948364258
2004-02-26,884.3604736328125,24.669132232666016,299.25909423828125,14.608904838562012,19.533742904663086,92.08309936523438,21.906789779663086,48.91831588745117,16.702808380126953,28.631277084350586,23.22815704345703,12.661389350891113,16.21371841430664,14.06330394744873,27.861181259155273,34.68412780761719,11.375656127929688,15.70926570892334,13.10244369506836,20.305885314941406
2004-03-04,852.0795288085938,24.11773109436035,295.5948486328125,14.293556213378906,19.294553756713867,87.70967102050781,21.522470474243164,47.00885772705078,15.707768440246582,27.851219177246094,23.189538955688477,12.857209205627441,15.598862648010254,13.838811874389648,28.69598388671875,34.482887268066406,11.162728309631348,15.896957397460938,12.755133628845215,20.562726974487305
2004-03-11,865.1139526367188,24.256420135498047,305.2658386230469,15.123761177062988,19.335859298706055,86.75083923339844,21.62226104736328,47.175537109375,15.983846664428711,27.37241554260254,23.327465057373047,12.594392776489258,15.451297760009766,13.279472351074219,28.339750289916992,34.945674896240234,10.891467094421387,15.877920150756836,12.666131019592285,20.470653533935547
2004-03-18,821.3904418945312,23.611186981201172,299.07867431640625,14.58959674835205,18.6748104095459,82.29483032226562,21.320148468017578,46.35723114013672,15.259138107299805,26.71070098876953,22.477794647216797,12.556818008422852,15.008606910705566,13.005513191223145,28.013439178466797,34.3873291015625,10.5122709274292,15.388272285461426,12.744641304016113,19.433542251586914
2004-03-25,845.4443359375,24.416231155395508,310.5517578125,15.168808937072754,19.087982177734375,86.07392120361328,22.131710052490234,46.392601013183594,15.644501686096191,27.28633689880371,23.145397186279297,13.02552604675293,15.32833480834961,13.336542129516602,28.51921844482422,35.131805419921875,10.658113479614258,15.415482521057129,12.98613452911377,20.155641555786133
2004-04-01,903.5054321289062,24.55794334411621,310.61187744140625,15.599996566772461,19.516361236572266,88.5557632446289,21.616331100463867,47.01894760131836,15.886073112487793,27.641395568847656,22.825380325317383,13.227516174316406,15.734136581420898,13.572463035583496,28.946134567260742,35.373252868652344,10.882713317871094,15.43724250793457,12.614108085632324,20.305885314941406
2004-04-08,889.2860717773438,24.147878646850586,306.04669189453125,14.96929931640625,19.788177490234375,85.96109008789062,21.21942710876465,47.332149505615234,15.742283821105957,28.29774284362793,21.84247589111328,13.256006240844727,15.684945106506348,13.625732421875,28.772113800048828,35.63485336303711,10.927361488342285,15.026490211486816,12.492265701293945,20.98436164855957
