Date,AIG,BAC,BMY,C,CSCO,CVX,GE,HD,IBM,INTC,JNJ,KO,MRK,MSFT,PFE,PG,T,VZ,WMT,XOM
2001-01-01,997.7860717773438,14.345195770263672,22.387863159179688,294.15399169921875,24.09343147277832,16.149593353271484,120.36688995361328,27.947187423706055,55.37632751464844,21.045427322387695,23.85009765625,14.093464851379395,30.939844131469727,18.607723236083984,16.373682022094727,18.17812728881836,6.547163963317871,14.233510971069336,12.113241195678711,18.815702438354492
2001-02-01,959.9965209960938,13.513585090637207,23.026264190673828,258.46856689453125,15.244426727294922,16.611127853393555,121.72804260253906,24.642223358154297,49.393699645996094,16.2462158203125,24.925682067871094,12.88580322265625,30.194406509399414,17.97921371459961,16.319278717041016,17.926271438598633,6.502710819244385,12.912931442260742,10.682257652282715,18.12255859375
2001-03-01,945.1532592773438,14.7537260055542,21.570106506347656,236.98814392089844,10.176358222961426,17.15577507019043,109.58143615722656,24.990102767944336,47.608612060546875,14.974821090698242,22.475780487060547,10.973466873168945,28.575515747070312,16.665056228637695,14.886913299560547,15.917519569396973,6.0841898918151855,12.860755920410156,10.769696235656738,18.206363677978516
2001-04-01,960.4163818359375,15.090566635131836,20.3354434967041,258.9587707519531,10.927722930908203,18.867450714111328,127.49998474121094,27.335783004760742,56.99372482299805,17.59132194519043,24.790937423706055,11.264212608337402,28.72796630859375,20.645612716674805,15.741227149963379,15.26912784576416,5.623410224914551,14.365961074829102,11.050298690795898,19.914602279663086
2001-05-01,951.0235595703125,15.96635627746582,19.79440689086914,270.0231628417969,12.395042419433594,18.767805099487305,128.73475646972656,28.606809616088867,55.34043502807617,15.371776580810547,24.911718368530273,11.559298515319824,27.601076126098633,21.081388473510742,15.592177391052246,16.434734344482422,5.913903713226318,14.420737266540527,11.052430152893066,19.94832420349121
2001-06-01,998.5540161132812,16.329992294311523,19.0864200592041,279.17279052734375,11.712867736816406,17.804664611816406,128.73475646972656,27.41701889038086,56.24988555908203,16.657026290893555,25.766983032226562,10.974017143249512,24.280141830444336,22.245464324951172,14.597092628479004,16.322179794311523,5.50316047668457,14.065803527832031,10.42238998413086,19.730411529541016
2001-07-01,977.8807983398438,17.306577682495117,21.582632064819336,265.277587890625,12.369302749633789,17.97974967956543,114.28485107421875,29.25667953491211,52.14137268066406,16.97592544555664,27.90220832824707,10.919281005859375,25.826383590698242,20.170246124267578,15.02352523803711,18.169288635253906,6.185901641845703,14.236693382263184,11.955897331237793,18.86954116821289
2001-08-01,918.5619506835938,16.729875564575195,21.63712501525879,241.9779510498047,10.50940227508545,17.853845596313477,107.80247497558594,26.68937873840332,49.53459548950195,15.922404289245605,27.18531608581543,11.915726661682129,24.73224449157715,17.38498306274414,13.962913513183594,19.073694229125977,5.666428565979004,13.240008354187012,10.276935577392578,18.14204216003418
2001-09-01,916.6853637695312,15.886573791503906,21.41358184814453,214.6543426513672,7.8386101722717285,16.791746139526367,98.05012512207031,22.30485725402832,45.515804290771484,11.647236824035645,28.666690826416016,11.470144271850586,25.43470001220703,15.593159675598145,14.65456485748291,18.723852157592773,6.52657413482666,14.32833480834961,10.587058067321777,17.902978897094727
2001-10-01,923.736083984375,16.19355010986328,20.600358963012695,241.26080322265625,10.889104843139648,17.544660568237305,96.4024429321289,22.223468780517578,53.62948226928711,13.91515064239502,29.96548843383789,11.850111961364746,24.36918830871582,17.720197677612305,15.312376976013184,18.9785099029541,5.27860164642334,13.189697265625,11.010424613952637,17.92569923400879
2001-11-01,968.3954467773438,16.849637985229492,20.81854248046875,253.87501525878906,13.154452323913574,16.84326171875,101.93606567382812,27.118120193481445,57.36123275756836,18.61051368713379,30.141437530517578,11.622420310974121,25.873886108398438,19.56687355041504,15.827669143676758,20.032453536987305,5.216159820556641,12.533416748046875,11.813719749450684,16.994213104248047
2001-12-01,933.1384887695312,17.280620574951172,19.749740600585938,268.4932861328125,11.654950141906738,17.893579483032227,106.11942291259766,29.719491958618164,60.10019302368164,17.934661865234375,30.673267364501953,11.713379859924316,22.455862045288086,20.18852424621582,14.600918769836426,20.46434783935547,5.465943336486816,12.656086921691895,12.327818870544434,17.96221160888672
