Date,AIG,BMY,CVX,DIS,FNMA,GE,HD,IBM,INTC,JNJ,KO,MCD,MRK,MSFT,PEP,PFE,PG,VZ,WMT,XOM
1994-01-01,153.97120666503906,4.355597972869873,6.997426509857178,11.21291732788086,14.480759620666504,19.916790008544922,4.853245258331299,6.829658031463623,2.3076021671295166,5.115152359008789,4.768161296844482,7.260221004486084,6.024111747741699,1.6236528158187866,8.5857515335083,1.8565165996551514,6.351139545440674,5.520718574523926,2.4852633476257324,5.707103252410889
1994-01-08,154.8781280517578,4.373334884643555,6.882559776306152,11.500737190246582,15.392751693725586,20.36998748779297,4.7433013916015625,6.800657749176025,2.3995556831359863,5.0148539543151855,4.754184246063232,7.276109218597412,5.922698497772217,1.630793809890747,8.559002876281738,1.839516282081604,6.477039813995361,5.584539890289307,2.6127123832702637,5.796623229980469
1994-01-15,162.81491088867188,4.401492118835449,6.997426509857178,11.470549583435059,15.014603614807129,20.608501434326172,4.6961846351623535,6.409150123596191,2.2813303470611572,4.799933433532715,4.61435079574585,7.434975624084473,5.699578285217285,1.6426982879638672,8.559002876281738,1.7205088138580322,6.681249141693115,5.622185230255127,2.5744779109954834,5.919720649719238
1994-01-22,166.2163543701172,4.363951683044434,7.026144027709961,11.379995346069336,15.859877586364746,20.584657669067383,4.947486400604248,6.699157238006592,2.2813303470611572,4.871574878692627,4.61435079574585,7.7209367752075195,5.841564178466797,1.6165108680725098,8.5857515335083,1.7375104427337646,6.723446846008301,5.73513650894165,2.701927661895752,5.88615083694458
1994-01-29,159.86700439453125,4.24194860458374,7.093145847320557,10.866839408874512,15.010125160217285,20.322275161743164,4.6961846351623535,6.03214168548584,2.164764881134033,4.814261436462402,4.558420658111572,7.530296325683594,5.699578285217285,1.547469973564148,8.184547424316406,1.6865066289901733,6.512460708618164,5.4339423179626465,2.7911412715911865,5.863767623901367
1994-02-05,161.22747802734375,4.204408645629883,6.979681491851807,11.078137397766113,15.368577003479004,20.465391159057617,4.947486400604248,6.204968452453613,2.2348787784576416,4.799933433532715,4.642317295074463,7.73682165145874,5.659013271331787,1.4998551607131958,8.3450345993042,1.6151014566421509,6.610918998718262,5.571994781494141,2.7656519412994385,6.017961502075195
1994-02-12,160.54736328125,4.204408645629883,6.825011253356934,10.957393646240234,15.054939270019531,20.608501434326172,4.9003682136535645,6.132143020629883,2.3400490283966064,4.786141395568848,4.642317295074463,7.689162254333496,5.334484100341797,1.5236622095108032,8.3450345993042,1.5726194381713867,6.456197738647461,5.320998668670654,2.8293771743774414,5.984027862548828
1994-02-19,160.09378051757812,4.185641288757324,6.631664276123047,11.561108589172363,14.85330867767334,20.059911727905273,5.183079242706299,6.161271095275879,2.3926360607147217,4.685231685638428,4.698250770568848,7.6573872566223145,5.233068466186523,1.542708158493042,8.291535377502441,1.5726194381713867,6.399936199188232,5.4339423179626465,2.893099784851074,5.92746639251709
1994-02-26,155.5585174560547,4.063636779785156,6.825011253356934,11.138509750366211,14.315629005432129,20.012195587158203,5.277318000793457,6.132143020629883,2.4408390522003174,4.584318161010742,4.656300067901611,7.877852439880371,5.030236721038818,1.542708158493042,8.131054878234863,1.5349323749542236,6.399936199188232,5.320998668670654,2.8548684120178223,5.904842376708984
1994-03-05,151.87570190429688,4.110560894012451,6.805675029754639,11.349807739257812,14.830904006958008,20.221601486206055,5.296894550323486,6.5108489990234375,2.4057812690734863,4.5699005126953125,4.5724005699157715,7.830106735229492,5.2587995529174805,1.5569926500320435,7.729854106903076,1.5828986167907715,6.442134380340576,5.270802974700928,2.880357265472412,5.904842376708984
1994-03-12,153.9188690185547,4.044864177703857,7.173029899597168,11.349807739257812,14.786094665527344,20.07749366760254,5.296894550323486,6.6565093994140625,2.524099588394165,4.555484294891357,4.7066497802734375,7.750527858734131,5.197412490844727,1.614129662513733,8.084859848022461,1.5623412132263184,6.371800899505615,5.245704174041748,2.7274181842803955,5.9614081382751465
1994-03-19,151.64869689941406,3.8947088718414307,6.9216814041137695,10.866839408874512,14.629276275634766,19.621192932128906,5.45407772064209,6.292363166809082,2.445220470428467,4.454571723937988,4.692602157592773,7.4322357177734375,4.931402683258057,1.6665055751800537,8.004281997680664,1.5349323749542236,6.048292636871338,5.446499824523926,2.7825725078582764,5.92746639251709
1994-03-26,152.78372192382812,3.9218790531158447,6.496326446533203,10.142380714416504,13.934772491455078,19.21291160583496,5.124003887176514,6.365189552307129,2.3663413524627686,4.353658676147461,4.5661516189575195,7.2412543296813965,4.870016098022461,1.614129662513733,7.8699774742126465,1.4801135063171387,6.0201592445373535,5.195507526397705,2.642165184020996,5.689917087554932
1994-04-02,152.5567169189453,3.8552439212799072,6.564001560211182,10.082011222839355,14.427651405334473,18.684566497802734,5.359769344329834,6.117577075958252,2.432075262069702,4.310412406921387,4.622352123260498,7.289000511169434,4.910939693450928,1.6569830179214478,7.8699774742126465,1.4938172101974487,6.10455322265625,4.994714736938477,2.6294023990631104,5.520236015319824
