Date,AAPL,BAC,CSCO,CVX,GOOGL,IBM,INTC,JNJ,JPM,KO,MRK,MSFT,ORCL,PFE,PG,T,VZ,WFC,WMT,XOM
2009-01-01,2.726933002471924,10.522485733032227,11.146531105041504,37.18229293823242,7.992251873016357,47.09307098388672,9.041101455688477,35.56106185913086,18.211523056030273,13.180691719055176,15.466559410095215,14.213973999023438,14.06275463104248,8.069612503051758,36.675880432128906,5.849221229553223,12.020477294921875,16.5770320892334,12.964455604553223,41.620338439941406
2009-01-08,2.556743621826172,7.828542232513428,10.129698753356934,35.03562545776367,7.470041751861572,44.625484466552734,8.189587593078613,34.85140609741211,17.003087997436523,12.503029823303223,14.590699195861816,13.907990455627441,13.03493881225586,7.9542646408081055,34.74238967895508,5.569108486175537,11.683698654174805,14.782845497131348,12.03542423248291,39.94488525390625
2009-01-15,2.4818358421325684,5.126931667327881,10.103958129882812,35.80983352661133,7.5224127769470215,49.04030227661133,8.302286148071289,33.89517593383789,14.850625038146973,12.69958209991455,14.459587097167969,14.11925983428955,13.457220077514648,8.0649995803833,34.568260192871094,5.652392387390137,11.813691139221191,10.66901969909668,11.470534324645996,42.15753936767578
2009-01-22,2.8225152492523193,5.6718597412109375,10.86336612701416,37.09683609008789,8.653951644897461,50.8641471862793,8.771875381469727,35.21826171875,18.151493072509766,12.866801261901855,15.094191551208496,13.143013000488281,14.214143753051758,7.123773574829102,35.1795654296875,5.6786909103393555,11.821337699890137,13.578177452087402,11.374833106994629,42.152217864990234
2009-01-29,2.8030385971069336,3.6072709560394287,10.194055557250977,35.99583435058594,8.513221740722656,49.79666519165039,8.690474510192871,34.857418060302734,15.775927543640137,12.43848705291748,15.681591987609863,13.572851181030273,13.712178230285645,6.722370147705078,31.75714683532715,5.404730319976807,11.702815055847168,11.181648254394531,10.835616111755371,41.30653381347656
2009-02-05,2.9010181427001953,4.658752918243408,10.406429290771484,35.824920654296875,8.886512756347656,51.04652786254883,8.906515121459961,34.478538513183594,17.1212100982666,12.1069917678833,15.58719253540039,13.995408058166504,14.182266235351562,6.7773895263671875,30.934789657592773,5.356513977050781,11.461955070495605,11.423291206359863,11.258122444152832,39.668304443359375
2009-02-12,2.8276078701019287,3.5074970722198486,9.891580581665039,33.240848541259766,8.764152526855469,49.355613708496094,8.451070785522461,33.5764274597168,14.115650177001953,12.520625114440918,15.020759582519531,13.20129680633545,13.736082077026367,6.673706531524658,30.80781364440918,5.032143592834473,10.731720924377441,8.518508911132812,11.671282768249512,38.45692443847656
2009-02-19,2.7314271926879883,3.9603235721588135,9.505440711975098,32.21756362915039,8.479467391967773,46.32988357543945,8.24232292175293,32.45179748535156,14.260018348693848,12.42969036102295,14.637906074523926,12.440898895263672,12.939329147338867,6.164690017700195,30.185001373291016,5.196518898010254,10.915238380432129,8.773090362548828,11.486875534057617,38.51572799682617
2009-02-26,2.7317264080047607,2.755341053009033,9.814350128173828,30.076499938964844,7.915558338165283,48.266136169433594,8.071533203125,29.77385139465332,12.665359497070312,11.655218124389648,12.151926040649414,11.82472038269043,11.919477462768555,5.891330718994141,28.606821060180664,5.040908336639404,10.762309074401855,6.3056535720825195,11.318809509277344,35.11052322387695
2009-03-05,2.7769718170166016,3.794191598892212,9.66633129119873,31.060775756835938,7.890491485595703,47.796905517578125,8.830610275268555,29.046184539794922,13.387219429016113,11.608282089233398,11.699708938598633,12.550931930541992,12.222244262695312,6.028010368347168,27.25236701965332,5.117618083953857,10.490860939025879,7.754782199859619,11.07837963104248,35.15863800048828
2009-03-12,3.041844367980957,5.902931213378906,10.618807792663574,33.785316467285156,8.267505645751953,49.59294128417969,9.64029312133789,30.71981430053711,17.79056739807129,12.347744941711426,14.376667022705078,12.440898895263672,12.61265754699707,6.716121196746826,29.03614616394043,5.632666110992432,11.763986587524414,11.240516662597656,11.840401649475098,36.97616958618164
2009-03-19,3.1907601356506348,5.926021575927734,10.663857460021973,35.36320114135742,8.539779663085938,52.829002380371094,9.450523376464844,32.05389404296875,18.742107391357422,13.266790390014648,14.664628028869629,13.115762710571289,14.413328170776367,6.720836162567139,29.06032371520996,5.7378692626953125,11.526946067810059,10.718308448791504,12.131485939025879,37.50539016723633
2009-03-26,3.2566795349121094,5.4257731437683105,11.2366304397583,34.65290451049805,8.788475036621094,52.6456184387207,9.507453918457031,32.16302490234375,18.466493606567383,13.29940128326416,14.392671585083008,14.164724349975586,14.803741455078125,6.593577861785889,29.151031494140625,5.6808857917785645,11.936028480529785,9.451952934265137,12.399089813232422,37.008243560791016
2009-04-02,3.485297203063965,5.433467864990234,11.024249076843262,34.74421691894531,8.984798431396484,54.57649230957031,9.659272193908691,31.19886589050293,18.000566482543945,13.337940216064453,14.270018577575684,14.076693534851074,14.79577350616455,6.353212833404541,29.30824089050293,5.564723491668701,12.111897468566895,9.719589233398438,12.349796295166016,36.86391830444336
2009-04-09,3.5248477458953857,8.034761428833008,11.300984382629395,33.84112548828125,9.419147491455078,53.31441879272461,9.880666732788086,31.39292335510254,21.405088424682617,13.349794387817383,13.998059272766113,13.81262493133545,14.850199699401855,6.532308101654053,29.477537155151367,5.69412088394165,12.28684139251709,12.761445045471191,12.039937019348145,36.42557907104492
2009-04-16,3.640803575515747,6.357001781463623,11.223760604858398,32.34440231323242,9.527363777160645,55.31001281738281,9.912296295166016,31.035154342651367,20.97120475769043,12.72722053527832,12.248964309692383,13.775946617126465,15.457311630249023,6.145839214324951,29.99151611328125,5.759005546569824,11.984417915344238,11.867162704467773,11.492982864379883,34.61338806152344
2009-04-23,3.749570846557617,6.680239200592041,12.388612747192383,34.2774543762207,9.716242790222168,56.11363220214844,9.709875106811523,30.944194793701172,22.667301177978516,12.662002563476562,12.744894027709961,14.854254722595215,15.657013893127441,6.329646110534668,30.750741958618164,5.709784507751465,11.790553092956543,13.035605430603027,11.842752456665039,36.585941314697266
