Date,AIG,BA,BMY,DIS,FNMA,GE,IBM,JNJ,K,KO,LLY,MMM,MO,MRK,PEP,PFE,PG,VZ,WMT,XOM
1991-01-01,98.51889038085938,13.568327903747559,4.587913990020752,6.412347793579102,6.607144355773926,11.201987266540527,12.839686393737793,4.132745265960693,,2.6049351692199707,7.584364891052246,6.385262489318848,0.629855751991272,4.619650363922119,5.626739978790283,1.1412365436553955,4.138860702514648,4.166329860687256,1.6623122692108154,4.0226054191589355
1991-02-01,107.8944320678711,13.259169578552246,4.970239639282227,7.319414138793945,7.567752361297607,11.902115821838379,13.042277336120605,4.436622619628906,,2.798635482788086,7.6815996170043945,6.657978534698486,0.747334361076355,5.156081199645996,6.700939178466797,1.3332948684692383,4.269916534423828,4.257469654083252,1.7819489240646362,4.295323371887207
1991-03-01,114.74022674560547,12.977766036987305,5.20296049118042,7.059860706329346,7.630640506744385,12.276789665222168,11.646526336669922,5.201577663421631,,2.8988242149353027,7.658980846405029,6.7153754234313965,0.7699809074401855,5.326481342315674,7.007855415344238,1.367506504058838,4.47355842590332,4.463827610015869,1.9519588947296143,4.61868143081665
1991-04-01,108.3202896118164,12.632614135742188,5.003483772277832,6.829968452453613,7.630640506744385,12.475156784057617,10.53428840637207,5.126976013183594,,2.831679105758667,7.5121636390686035,6.762804985046387,0.7606548070907593,5.470037937164307,6.541731357574463,1.3930680751800537,4.407865524291992,4.344358921051025,2.0424294471740723,4.697634696960449
1991-05-01,107.87323760986328,13.530012130737305,5.410678863525391,6.89196252822876,8.641157150268555,13.62129020690918,10.853898048400879,4.916745185852051,,3.0732433795928955,7.781332015991211,7.227567195892334,0.7791721820831299,6.034808158874512,6.439113616943359,1.5048961639404297,4.499271869659424,4.145137786865234,2.162201404571533,4.598944187164307
1991-06-01,100.42344665527344,12.700169563293457,5.209661960601807,6.624599456787109,8.346091270446777,13.1358003616333,10.050783157348633,4.54988956451416,,2.9256210327148438,7.081366062164307,7.167796611785889,0.7236195802688599,5.895202159881592,5.951690196990967,1.426817774772644,4.08964204788208,4.156136989593506,2.1558969020843506,4.64190149307251
1991-07-01,99.6671371459961,12.87366771697998,5.679892063140869,7.174173831939697,9.737105369567871,13.00266170501709,10.477649688720703,4.992617607116699,,3.241755485534668,7.524722099304199,6.718015193939209,0.777094304561615,6.5670599937438965,6.567359924316406,1.5907089710235596,4.268031597137451,4.211112976074219,2.404143810272217,4.741727828979492
1991-08-01,100.56234741210938,13.810566902160645,5.87399959564209,7.06578254699707,10.377199172973633,13.291110038757324,10.02491283416748,5.060727596282959,,3.5450353622436523,8.275961875915527,6.651027679443359,0.8502152562141418,6.471419334411621,6.670373916625977,1.6839007139205933,4.441136360168457,4.4455342292785645,2.5555849075317383,4.651882648468018
1991-09-01,98.61985778808594,14.164523124694824,5.587053298950195,6.783155918121338,11.012537956237793,12.314807891845703,10.853445053100586,4.836496829986572,,3.4776408672332764,7.907129287719727,6.962625026702881,0.8272756338119507,6.669859409332275,5.871988296508789,1.6832388639450073,4.514267921447754,4.055577754974365,2.412510871887207,4.805595874786377
1991-10-01,105.19448852539062,13.745858192443848,5.891860485076904,7.06578254699707,10.588974952697754,12.338785171508789,10.290488243103027,5.205904006958008,,3.6055033206939697,7.622074604034424,7.0302252769470215,0.8101120591163635,7.03507661819458,5.8962836265563965,1.8512383699417114,4.447784900665283,4.189273834228516,2.336724281311035,4.9267449378967285
1991-11-01,103.25201416015625,12.350349426269531,5.3392333984375,6.242420196533203,9.534806251525879,11.578791618347168,9.688241004943848,5.274312973022461,,3.7543225288391113,7.287442684173584,6.701890468597412,0.7826750874519348,7.50279426574707,6.1290364265441895,1.7155463695526123,4.334199905395508,4.102019786834717,2.4693491458892822,4.734926223754883
1991-12-01,117.59675598144531,13.395035743713379,6.002382278442383,6.823454856872559,11.748248100280762,13.67995834350586,9.437744140625,6.291533470153809,,4.358053684234619,8.332778930664062,7.4243669509887695,0.9270797371864319,8.534351348876953,7.008302688598633,2.1816744804382324,5.0231242179870605,4.361930847167969,2.9745872020721436,4.970694065093994
