Date,AAPL,AMZN,BAC,BRK-A,CVX,GOOGL,INTC,JNJ,JPM,KO,META,MSFT,PFE,PG,T,V,VZ,WFC,WMT,XOM
2016-01-01,21.726150512695312,30.39699935913086,12.37951946258545,195580.0,53.59840774536133,36.74628829956055,25.163602828979492,74.82066345214844,45.546958923339844,30.187503814697266,97.1575698852539,45.57658004760742,19.037233352661133,57.774967193603516,12.149301528930664,68.6552505493164,26.016300201416016,37.8173713684082,18.029727935791016,48.865901947021484
2016-01-08,22.41769027709961,29.649999618530273,11.972193717956543,192250.0,55.18016815185547,36.26972961425781,25.874887466430664,74.57180786132812,44.277679443359375,30.37608528137207,97.60405731201172,46.397789001464844,18.86141014099121,57.00395202636719,12.66848373413086,68.66455078125,26.103599548339844,37.99745559692383,17.483539581298828,50.718475341796875
2016-01-15,21.692359924316406,28.750999450683594,10.6703462600708,189455.0,52.32658767700195,36.03567123413086,23.44072151184082,72.34724426269531,42.03337478637695,30.020687103271484,93.42683410644531,44.10015106201172,18.540082931518555,57.430641174316406,12.757122993469238,66.58041381835938,26.68535804748535,36.024051666259766,17.1563720703125,47.500492095947266
2016-01-22,21.194541931152344,31.767499923706055,10.806121826171875,188300.0,55.47068405151367,37.108306884765625,23.68571662902832,77.12063598632812,43.577762603759766,30.876550674438477,108.26042938232422,45.48048400878906,18.309694290161133,60.27200698852539,13.122772216796875,64.5055923461914,28.512088775634766,36.706851959228516,17.805158615112305,49.353092193603516
2016-01-29,21.75993537902832,26.812999725341797,10.58249282836914,192200.0,54.74115753173828,36.20228576660156,23.527660369873047,78.34980773925781,44.429847717285156,30.84754180908203,109.62968444824219,45.428062438964844,17.582157135009766,60.936500549316406,13.49211597442627,68.55290985107422,29.338191986083984,36.20413589477539,18.415109634399414,51.17362594604492
2016-02-05,21.22121810913086,25.19099998474121,8.913254737854004,190000.0,53.57904815673828,35.02848815917969,22.49896240234375,76.69080352783203,40.374855041503906,30.760498046875,101.11650085449219,43.410011291503906,17.838525772094727,60.33244323730469,13.373929977416992,63.7054557800293,28.73316192626953,34.14780044555664,18.11012840270996,51.02619552612305
2016-02-12,21.801008224487305,26.25,9.775825500488281,196025.0,55.993621826171875,35.5814208984375,23.455692291259766,78.60617065429688,43.980979919433594,31.63087272644043,102.66434478759766,45.59405517578125,18.095727920532227,61.90303039550781,13.662016868591309,66.28267669677734,29.6348819732666,36.09111785888672,17.777423858642578,53.33283233642578
2016-02-19,21.914249420166016,27.75749969482422,9.8397216796875,198899.0,55.7689094543457,36.15716552734375,23.615148544311523,80.21996307373047,43.372344970703125,32.02980422973633,107.22852325439453,45.842220306396484,18.73259925842285,62.17485427856445,13.802366256713867,68.30594635009766,29.733781814575195,36.10625457763672,18.864255905151367,53.048221588134766
2016-02-26,22.98776626586914,28.874500274658203,10.782161712646484,206000.0,57.22688293457031,36.27964782714844,24.380525588989258,81.00638580322266,45.616668701171875,31.884735107421875,108.72677612304688,46.06217956542969,18.303939819335938,62.552406311035156,14.031362533569336,68.90259552001953,30.18755531311035,37.63367462158203,18.33747100830078,53.300498962402344
2016-03-04,22.91303062438965,27.946500778198242,10.6387939453125,209120.0,61.41771697998047,36.308406829833984,24.914695739746094,81.3785629272461,44.58960723876953,32.80589294433594,106.484375,45.79822540283203,18.120223999023438,62.129573822021484,14.149550437927246,65.46258544921875,30.437719345092773,36.680904388427734,18.68958854675293,53.15818405151367
