Date,AAPL,AMZN,BAC,BRK-A,CVX,GOOGL,INTC,JNJ,JPM,KO,META,MSFT,PFE,PG,T,V,VZ,WFC,WMT,XOM
2016-01-01,21.926631927490234,29.350000381469727,11.293313980102539,194360.0,55.82577133178711,37.75545883178711,24.51554298400879,78.75699615478516,44.96506118774414,31.130403518676758,111.33629608154297,48.127540588378906,18.485519409179688,61.151065826416016,13.07382583618164,69.3065414428711,28.717363357543945,37.68981170654297,18.398475646972656,49.90436935424805
2016-02-01,21.780216217041016,27.625999450683594,9.999457359313965,202555.0,53.86956787109375,35.56703567504883,23.385400772094727,79.33763122558594,42.832183837890625,31.28272247314453,106.08748626708984,44.44961166381836,17.98836898803711,60.62690734863281,13.647244453430176,67.3526840209961,29.512727737426758,35.2061767578125,18.392921447753906,51.37874984741211
2016-03-01,24.684110641479492,29.68199920654297,10.798133850097656,213450.0,62.372249603271484,37.832313537597656,25.791683197021484,82.18368530273438,45.05367660522461,33.647254943847656,113.21158599853516,48.596275329589844,18.15083885192871,62.152225494384766,14.467187881469727,71.29844665527344,31.46161460876465,36.56749725341797,18.98902130126953,54.07023239135742
2016-04-01,21.230283737182617,32.97949981689453,11.673009872436523,219000.0,66.80501556396484,35.10386657714844,24.141342163085938,85.13076782226562,48.08161544799805,32.74740219116211,116.66448974609375,43.88006591796875,20.030839920043945,60.49854278564453,14.337923049926758,72.00697326660156,29.634883880615234,37.79246139526367,18.6771183013916,57.18161392211914
2016-05-01,22.616334915161133,36.13949966430664,11.857403755187988,211695.0,66.03352355957031,37.13557815551758,25.185771942138672,85.59407806396484,50.024070739746094,32.60121536254883,117.8849105834961,46.634117126464844,21.249462127685547,61.69449996948242,14.698152542114258,73.59180450439453,29.924192428588867,38.352012634277344,19.76919937133789,57.582637786865234
2016-06-01,21.78335952758789,35.78099822998047,10.6387939453125,216975.0,69.26206970214844,34.888145446777344,26.376352310180664,92.79163360595703,47.62518310546875,33.134830474853516,113.39017486572266,45.33883285522461,21.754865646362305,64.45796203613281,16.2224063873291,69.26740264892578,32.82842254638672,36.062747955322266,20.544178009033203,61.14536666870117
2016-07-01,23.74523162841797,37.94049835205078,11.656296730041504,216000.0,67.70939636230469,39.24265670776367,28.032913208007812,95.79798889160156,49.02772903442383,32.13673400878906,122.97496795654297,50.22093963623047,22.792875289916992,65.15836334228516,16.2524356842041,72.89096069335938,32.57562255859375,36.55038070678711,20.53010368347168,58.02093505859375
2016-08-01,24.175878524780273,38.45800018310547,12.983617782592773,225760.0,66.45407104492188,39.16877365112305,28.861204147338867,91.29229736328125,52.13589859008789,31.98942756652832,125.13798522949219,50.912052154541016,21.501548767089844,66.98863220214844,15.575997352600098,75.55255126953125,31.075481414794922,38.706687927246094,20.099639892578125,56.840274810791016
2016-09-01,25.8990421295166,41.865501403808594,12.648035049438477,216220.0,68.71660614013672,39.873443603515625,30.587038040161133,90.96949768066406,51.43303680419922,31.171829223632812,127.27124786376953,51.354190826416016,21.10089683532715,68.8606948852539,15.473119735717773,77.36762237548828,30.867624282836914,34.00975036621094,20.429859161376953,57.41708755493164
2016-10-01,26.01130485534668,39.49100112915039,13.334991455078125,215700.0,69.93846130371094,40.163047790527344,28.253503799438477,89.3215560913086,53.49529266357422,31.485912322998047,129.9700469970703,53.4226188659668,19.755224227905273,66.59732818603516,14.017632484436035,77.18988800048828,28.563547134399414,35.338504791259766,19.834985733032227,54.8120002746582
2016-11-01,25.319448471069336,37.528499603271484,17.068788528442383,237000.0,74.48528289794922,38.47599792480469,28.11576271057129,85.70986938476562,62.37213897705078,29.963592529296875,117.4979248046875,53.72574234008789,20.023109436035156,63.75592041015625,14.956937789916992,72.33451080322266,29.97039222717285,40.64579391479492,19.95112419128418,57.43024444580078
2016-12-01,26.669862747192383,37.493499755859375,17.927074432373047,244121.0,79.37152099609375,39.29771041870117,29.610368728637695,89.3339614868164,67.13348388671875,31.048160552978516,114.15418243408203,55.776161193847656,20.43674087524414,65.00846862792969,16.466957092285156,73.14295959472656,32.06051254272461,42.68049621582031,19.58003044128418,59.90327072143555
