Date,AAPL,AMZN,BAC,BRK-A,CVX,GOOGL,HD,INTC,JNJ,JPM,META,MSFT,PFE,PG,UNH,V,VZ,WFC,WMT,XOM
2017-01-01,27.151132583618164,39.79949951171875,18.39755630493164,245394.0,78.79156494140625,40.922271728515625,106.75668334960938,29.781810760498047,90.17915344238281,67.00123596191406,122.44908142089844,56.40446853637695,21.065950393676758,65.74299621582031,139.6858673095703,77.07106018066406,31.988441467285156,42.626304626464844,19.47480583190918,58.735172271728516
2017-01-08,27.411334991455078,40.856998443603516,18.66524314880371,242500.0,78.4813461303711,41.20643615722656,107.96392822265625,30.034889221191406,88.86096954345703,67.82567596435547,127.3406753540039,56.27881622314453,20.461910247802734,64.95433807373047,139.1612091064453,76.09606170654297,31.89944839477539,42.83539962768555,19.152420043945312,57.30828857421875
2017-01-15,27.63239860534668,40.416500091552734,18.365102767944336,240280.0,77.95537567138672,41.069061279296875,108.41166687011719,30.1573429107666,88.51203918457031,65.455322265625,126.05082702636719,56.314720153808594,19.990001678466797,67.61405181884766,136.4605712890625,76.72420501708984,32.00264358520508,42.649532318115234,19.166683197021484,57.00300216674805
2017-01-22,28.081422805786133,41.78850173950195,18.949155807495117,247000.0,76.73477172851562,41.905155181884766,110.59426879882812,31.006397247314453,87.91499328613281,68.00563049316406,131.15078735351562,59.043392181396484,19.769779205322266,67.58102416992188,140.18475341796875,78.5335464477539,30.10871696472168,43.82670974731445,18.73301887512207,56.75079345703125
2017-01-29,29.723247528076172,40.5099983215332,18.892372131347656,245646.0,76.58642578125,40.67036437988281,110.31448364257812,29.814464569091797,88.1165771484375,68.2011947631836,129.9601287841797,57.15845489501953,20.191349029541016,68.1187744140625,139.22142028808594,80.69916534423828,29.489534378051758,44.35335159301758,18.972673416137695,55.443355560302734
2017-02-05,30.42326545715332,41.37300109863281,18.72203254699707,246000.0,76.23576354980469,41.400325775146484,111.80950927734375,29.057092666625977,89.3572006225586,68.06037139892578,133.1451416015625,57.445682525634766,20.562314987182617,68.55516815185547,138.2581024169922,80.5303955078125,29.732349395751953,44.334903717041016,19.40633773803711,54.76640319824219
2017-02-12,31.387723922729492,42.253501892089844,19.890127182006836,252838.0,74.4015121459961,41.980533599853516,114.32797241210938,29.994413375854492,92.16419219970703,70.58722686767578,132.4902801513672,58.00218963623047,21.369558334350586,70.98657989501953,135.56610107421875,81.99288177490234,29.85982322692871,45.2939567565918,19.79149627685547,54.758216857910156
2017-02-19,31.605121612548828,42.262001037597656,19.654876708984375,255040.0,74.970703125,42.04301452636719,116.68644714355469,30.035531997680664,95.16497039794922,70.66545104980469,134.38540649414062,58.353816986083984,21.77635383605957,70.95542907714844,140.2449493408203,83.0600814819336,30.71573829650879,45.07563781738281,20.653114318847656,54.30278015136719
2017-02-26,32.326690673828125,42.49399948120117,20.636411666870117,263160.0,77.305908203125,42.10599136352539,118.17349243164062,29.517536163330078,96.6220474243164,72.59773254394531,136.10194396972656,58.019691467285156,21.94161605834961,70.52678680419922,144.66574096679688,83.39818572998047,30.406150817871094,45.9177360534668,19.979795455932617,55.22701644897461
2017-03-05,32.178672790527344,42.62300109863281,20.593538284301758,262491.0,75.30430603027344,42.717437744140625,117.40599060058594,29.525758743286133,98.51095581054688,71.40864562988281,137.70932006835938,58.633758544921875,21.68100929260254,70.97102355957031,146.19668579101562,84.28112030029297,29.956941604614258,45.88653564453125,19.999765396118164,54.657737731933594
