Date,AAPL,BAC,CSCO,CVX,GOOGL,IBM,INTC,JNJ,JPM,KO,MRK,MSFT,ORCL,PFE,PG,T,VZ,WFC,WMT,XOM
2009-01-01,2.7005655765533447,5.0501790046691895,9.634156227111816,35.45288848876953,8.402276992797852,49.16367721557617,8.076885223388672,34.69505310058594,16.538835525512695,12.532366752624512,14.973564147949219,12.458175659179688,13.409411430358887,6.72698450088501,32.724853515625,5.292459964752197,11.255532264709473,12.110784530639648,10.999015808105469,40.67888641357422
2009-02-01,2.6759963035583496,3.0316433906555176,9.376729011535645,30.52105712890625,8.388875961303711,49.36751937866211,7.9767045974731445,30.070240020751953,14.99499797821045,11.983776092529297,12.692127227783203,11.766056060791016,12.381595611572266,5.679640769958496,29.126846313476562,5.209669589996338,10.907590866088867,7.753466606140137,11.493882179260254,36.11527633666992
2009-03-01,3.1497116088867188,5.2343831062316895,10.792570114135742,34.11509704589844,8.638811111450195,52.25730514526367,9.507452964782715,31.89623260498047,17.44276237487793,12.893195152282715,14.029515266418457,13.475192070007324,14.397390365600586,6.419196605682373,28.473800659179688,5.523081302642822,11.546069145202637,9.29529094696045,12.16147518157959,36.40418243408203
2009-04-01,3.77024507522583,6.872647285461426,12.433660507202148,33.53670120239258,9.82793140411377,55.665992736816406,9.981877326965332,31.75069808959961,21.655797958374023,12.762799263000488,12.926203727722168,14.861595153808594,15.409274101257324,6.296654224395752,29.89475440979004,5.615132808685303,11.599589347839355,13.061716079711914,11.831010818481445,35.639747619628906
2009-05-01,4.069277286529541,8.673540115356445,11.905933380126953,33.825904846191406,10.355603218078613,57.321773529052734,9.943924903869629,33.44858932495117,24.258222579956055,14.574198722839355,14.707294464111328,15.32372760772705,15.649026870727539,7.1591477394104,31.677770614624023,5.546453475952148,11.344676971435547,16.645360946655273,11.676078796386719,37.072391510009766
2009-06-01,4.267630100250244,10.158891677856445,12.00246810913086,33.93793487548828,10.463817596435547,56.61274337768555,10.557672500610352,34.7478141784668,22.424060821533203,14.227333068847656,14.90992546081543,17.547069549560547,17.11087989807129,7.1497063636779785,31.16546058654785,5.557643413543701,11.914623260498047,15.870039939880371,11.432235717773438,37.59477615356445
2009-07-01,4.895655155181885,11.392560005187988,14.16484260559082,35.58745574951172,10.996450424194336,63.937381744384766,12.280071258544922,37.24989700317383,25.408679962158203,14.902007102966309,16.226598739624023,17.362512588500977,17.678043365478516,7.592989444732666,33.855079650878906,5.86863899230957,12.434171676635742,16.000869750976562,11.772088050842285,37.8529052734375
2009-08-01,5.0400776863098145,13.549371719360352,13.900983810424805,35.828224182128906,11.458598136901855,64.0024185180664,12.962650299072266,36.9746208190918,28.61273765563965,14.582070350646973,17.535112380981445,18.196678161621094,17.521093368530273,7.960011005401611,33.26499938964844,5.961372375488281,12.224540710449219,18.00261878967285,12.005733489990234,37.18606948852539
2009-09-01,5.553642272949219,13.03327751159668,15.149497985839844,36.44028091430664,12.306941032409668,65.15068817138672,12.575335502624512,37.55179214477539,28.849750518798828,16.05613136291504,17.10254669189453,19.09331512451172,16.68828582763672,7.967843532562256,35.60725784301758,6.1810622215271,11.921289443969727,18.46915054321289,11.64919376373291,37.12104415893555
2009-10-01,5.648027420043945,11.237627983093262,14.679697036743164,39.601593017578125,13.306439399719238,65.69538116455078,12.279745101928711,36.417049407958984,27.50008201599121,16.069782257080078,16.926376342773438,20.585445404052734,16.896484375,8.198935508728027,35.65645217895508,5.874411106109619,11.65347957611084,18.036590576171875,11.789204597473145,38.77664566040039
2009-11-01,5.989903926849365,12.21649169921875,15.05939769744873,40.37767028808594,14.469996452331543,68.82192993164062,12.337580680847168,38.75440216064453,28.00797462463379,17.242385864257812,19.815845489501953,21.83260726928711,17.72385597229004,8.747775077819824,38.62303161621094,6.290820121765137,12.588134765625,18.377395629882812,12.944869041442871,40.61620330810547
2009-12-01,6.3141045570373535,11.60759162902832,15.406923294067383,40.18500900268555,15.387834548950195,71.6202621459961,13.208637237548828,40.03688049316406,27.46746253967285,17.304195404052734,19.996440887451172,22.726926803588867,19.690505981445312,8.84115982055664,37.55756378173828,6.545348644256592,13.256356239318848,17.72116470336914,12.68383502960205,37.10855484008789
