Date,AIG,BMY,CVX,DIS,FNMA,GE,IBM,INTC,JNJ,KO,LLY,MCD,MRK,MSFT,PEP,PFE,PG,VZ,WMT,XOM
1995-01-01,189.77418518066406,4.869541168212891,7.125502586364746,12.353500366210938,13.106377601623535,20.25360870361328,8.503478050231934,2.4391026496887207,6.828929424285889,5.976172924041748,7.443314075469971,8.359667778015137,6.763350486755371,2.261685848236084,8.046746253967285,2.290391206741333,7.459715366363525,5.664273262023926,2.3481380939483643,5.862768173217773
1995-02-01,189.0906982421875,4.89923620223999,7.6045241355896,12.981715202331543,14.275413513183594,21.53175926208496,8.871912002563477,2.806244373321533,6.667388916015625,6.260752201080322,7.570435047149658,8.519811630249023,7.120419979095459,2.3997676372528076,8.537736892700195,2.3254120349884033,7.66037130355835,5.6767730712890625,2.437954902648926,5.991750717163086
1995-03-01,189.98355102539062,4.978415489196777,7.740900993347168,13.012117385864258,15.062066078186035,21.23678970336914,9.715015411376953,2.9865829944610596,7.025681018829346,6.417269229888916,8.343276023864746,8.759885787963867,7.1624274253845215,2.7092621326446533,8.537736892700195,2.417792320251465,7.631575584411621,5.597377777099609,2.6304264068603516,6.325314044952393
1995-04-01,194.7730712890625,5.15656852722168,7.640109062194824,13.468153953552246,16.334592819213867,22.18952178955078,11.193704605102539,3.602372169494629,7.67511510848999,6.6428046226501465,8.528680801391602,8.984501838684082,7.255960464477539,3.1139845848083496,9.125530242919922,2.4424631595611572,8.049148559570312,5.782636642456055,2.4428658485412598,6.5982584953308105
1995-05-01,207.54507446289062,5.3181352615356445,7.922332763671875,13.520933151245117,17.329282760620117,22.982011795043945,11.001474380493164,3.9523112773895264,7.807952404022217,7.042801380157471,8.514421463012695,9.722514152526855,7.9540557861328125,3.2258803844451904,10.742365837097168,2.4847567081451416,8.322375297546387,5.952601909637451,2.558580160140991,6.776273727416992
1995-06-01,208.23414611816406,5.458347797393799,7.549659729003906,13.520933151245117,17.632490158081055,22.338109970092773,11.386560440063477,4.458455562591553,8.01005744934082,7.2856597900390625,9.034636497497559,10.062259674072266,8.313679695129395,3.4425241947174072,9.975053787231445,2.613091230392456,8.322375297546387,6.006231307983398,2.7514376640319824,6.776524543762207
1995-07-01,205.4942169189453,5.548487663269043,8.038053512573242,14.282244682312012,17.469228744506836,23.55066680908203,12.91366958618164,4.5772881507873535,8.514394760131836,7.52742862701416,9.005859375,9.933666229248047,8.79259204864502,3.4472851753234863,10.32088851928711,2.8719191551208496,7.975007057189941,6.140296459197998,2.743988275527954,6.956432819366455
1995-08-01,220.9064483642578,5.568583011627197,7.875253677368164,13.726110458374023,17.926298141479492,23.500782012939453,12.261316299438477,4.324532508850098,8.18805980682373,7.3697099685668945,9.423067092895508,9.387158393859863,8.494535446166992,3.523468494415283,9.96310043334961,2.8010079860687256,8.0794038772583,6.461316108703613,2.524984121322632,6.596615314483643
1995-09-01,232.8933868408203,5.902699947357178,8.018332481384277,14.000630378723145,19.476940155029297,25.446706771850586,11.234437942504883,4.236456871032715,8.837749481201172,7.914553642272949,10.431461334228516,9.855653762817383,9.537729263305664,3.4472851753234863,11.229127883911133,3.043325185775757,8.967408180236816,6.664926052093506,2.555860757827759,7.006589412689209
1995-10-01,232.113037109375,6.1760663986206055,7.689375877380371,14.061635971069336,19.711881637573242,25.40926170349121,11.561379432678223,4.923447608947754,9.717048645019531,8.272488594055176,11.214905738830566,10.564224243164062,9.859915733337402,3.809157609939575,11.637248992919922,3.2713983058929443,9.43324089050293,6.89569091796875,2.23315167427063,7.406617641448975
1995-11-01,246.1700897216797,6.564719200134277,8.121129035949707,14.695358276367188,20.71712875366211,26.965959548950195,11.487066268920898,4.291831970214844,10.328092575073242,8.71848201751709,11.548595428466797,11.498260498046875,10.610129356384277,3.3187272548675537,12.245368003845215,3.3070321083068848,10.124398231506348,6.920162677764893,2.478410005569458,7.503595352172852
1995-12-01,253.712890625,7.024857044219971,8.704533576965332,14.389837265014648,23.436840057373047,28.924379348754883,10.890503883361816,4.001007080078125,10.2354736328125,8.570854187011719,13.149954795837402,11.645040512084961,11.253166198730469,3.3425345420837402,12.355929374694824,3.6078200340270996,9.714743614196777,7.345809459686279,2.3023924827575684,7.94502592086792
