Date,AAPL,BAC,BRK-A,C,CVX,DIS,GOOGL,INTC,JNJ,JPM,KO,META,MSFT,ORCL,PFE,PG,VZ,WFC,WMT,XOM
2014-01-01,15.512835502624512,13.121084213256836,169511.0,35.11434555053711,66.56890106201172,65.28670501708984,29.31154441833496,18.249231338500977,63.0459098815918,39.66790771484375,25.77507972717285,62.08280563354492,31.323820114135742,30.717344284057617,17.229093551635742,53.838077545166016,25.187999725341797,32.22840881347656,19.652782440185547,55.54327392578125
2014-02-01,16.30738639831543,12.948741912841797,173708.0,36.010223388671875,68.77534484863281,72.65966796875,30.172298431396484,18.41282844543457,65.64698791503906,40.9803466796875,26.034055709838867,67.92694091796875,31.712890625,32.66062545776367,18.198226928710938,55.68964385986328,25.22843360900879,32.99607849121094,19.65804672241211,58.020301818847656
2014-03-01,16.732322692871094,13.473587036132812,187350.0,35.247528076171875,71.54010009765625,71.99430847167969,27.662012100219727,19.376699447631836,70.50484466552734,43.785919189453125,26.347551345825195,59.77095031738281,34.18583297729492,34.163818359375,18.355693817138672,57.06311798095703,25.223129272460938,35.59450912475586,20.11331558227539,59.28702926635742
2014-04-01,18.395450592041016,11.866983413696289,193275.0,35.477073669433594,75.51687622070312,71.3379135131836,26.52477264404297,20.037351608276367,72.70115661621094,40.37449645996094,28.019445419311523,59.31453323364258,33.69376754760742,34.13874816894531,17.875661849975586,58.443687438964844,24.777727127075195,35.52294158935547,21.11180877685547,62.15791702270508
2014-05-01,19.733135223388672,11.866983413696289,192000.0,35.22531509399414,73.87440490722656,75.53691864013672,28.34819984436035,20.51032066345215,72.82318115234375,40.331398010253906,28.10188102722168,62.807125091552734,34.144134521484375,35.19539260864258,16.932727813720703,57.654632568359375,26.785396575927734,36.338748931884766,20.333126068115234,61.01683807373047
2014-06-01,20.392255783081055,12.047262191772461,189900.0,34.88455581665039,79.21356201171875,77.09243774414062,28.993867874145508,23.397308349609375,75.61461639404297,41.81924057006836,29.097900390625,66.76605224609375,35.0233154296875,33.9473762512207,17.112478256225586,56.084617614746094,26.233173370361328,37.88263702392578,20.005966186523438,61.522769927978516
2014-07-01,20.97814178466797,11.960898399353027,188124.0,36.22512435913086,78.41868591308594,77.21829986572266,28.739967346191406,25.66132926940918,72.34053039550781,41.855533599853516,27.19203758239746,72.08433532714844,36.249542236328125,33.83011245727539,16.547443389892578,55.178287506103516,27.032018661499023,36.68618392944336,19.60888671875,60.459537506103516
2014-08-01,22.49225616455078,12.61972427368164,205880.0,38.26216506958008,78.54608917236328,80.81488037109375,28.879310607910156,26.441238403320312,74.97137451171875,43.44904708862305,28.873807907104492,74.23741912841797,38.156089782714844,34.886226654052734,17.09477996826172,59.7840461730957,26.997953414916992,37.075382232666016,20.12056541442871,60.77729034423828
2014-09-01,22.218204498291016,13.372669219970703,206900.0,38.38808822631836,73.01490020751953,80.05061340332031,29.17933464050293,26.5408935546875,77.55952453613281,44.026424407958984,29.524377822875977,78.424560546875,39.180389404296875,32.15614318847656,17.199474334716797,60.237220764160156,27.090078353881836,37.6467399597168,20.513320922851562,57.87172317504883
2014-10-01,23.817041397094727,13.500435829162598,210000.0,39.65486145019531,73.40040588378906,82.16358184814453,28.16075325012207,25.923490524291992,78.42542266845703,44.20182418823242,29.195701599121094,74.40608978271484,39.679019927978516,32.80295944213867,17.420507431030273,62.77649688720703,27.230976104736328,38.532203674316406,20.459672927856445,59.50849914550781
2014-11-01,26.2274169921875,13.406030654907227,223065.0,39.988407135009766,66.62027740478516,83.17962646484375,27.228952407836914,28.393117904663086,78.76741027832031,44.264183044433594,31.252233505249023,77.0949935913086,40.40581512451172,35.73572540283203,18.118486404418945,65.54851531982422,27.722131729125977,39.54106521606445,23.482877731323242,55.71190643310547
2014-12-01,24.447450637817383,14.074756622314453,226000.0,40.09214401245117,69.2823486328125,84.690185546875,26.315500259399414,27.842750549316406,76.58524322509766,46.04475784301758,29.63616943359375,77.41250610351562,39.50403594970703,37.89284133911133,18.275407791137695,66.02690124511719,25.63433837890625,40.050968170166016,23.037580490112305,57.29793167114258
