Date,AAPL,AMZN,AVGO,BRK-A,COST,GOOGL,HD,JNJ,JPM,LLY,MA,META,MSFT,NVDA,PG,TSLA,UNH,V,WMT,XOM
2023-01-01,142.01266479492188,103.12999725341797,55.81645965576172,473000.0,489.9095153808594,98.02979278564453,298.3699035644531,148.3846435546875,128.74478149414062,335.51214599609375,362.9719543457031,147.81004333496094,241.4722900390625,19.516408920288086,130.08465576171875,173.22000122070312,468.921630859375,224.60203552246094,46.139461517333984,103.94631958007812
2023-02-01,145.08340454101562,94.2300033569336,56.70186996459961,463525.0,464.0693664550781,89.3217544555664,272.9389343261719,139.159423828125,132.83714294433594,303.40863037109375,348.5417785644531,173.57785034179688,243.04115295410156,23.191524505615234,126.46956634521484,205.7100067138672,447.0814208984375,214.5822296142578,45.58143615722656,98.48065185546875
2023-03-01,162.54519653320312,103.29000091552734,61.21004104614258,465600.0,477.061279296875,102.87970733642578,271.6318664550781,141.75161743164062,120.75344848632812,335.8836669921875,356.5075988769531,210.2897491455078,281.63043212890625,27.747716903686523,136.70220947265625,207.4600067138672,443.9345703125,220.3986053466797,47.28757858276367,99.01272583007812
2023-04-01,167.25689697265625,105.44999694824219,60.205299377441406,502880.0,483.1581726074219,106.46009826660156,278.62371826171875,149.70794677734375,128.10189819335938,387.1728515625,372.8119201660156,238.4487762451172,300.15185546875,27.724458694458008,143.77223205566406,164.30999755859375,463.8985290527344,227.50537109375,48.61489486694336,106.84992980957031
2023-05-01,174.71881103515625,120.58000183105469,77.6432113647461,488024.0,491.1656494140625,121.86280822753906,262.77996826171875,141.80645751953125,126.7444076538086,420.0354919433594,358.64874267578125,262.6588439941406,320.7929992675781,37.800537109375,131.83151245117188,203.92999267578125,459.3264465332031,216.06802368164062,47.29462432861328,92.25897216796875
2023-06-01,191.46450805664062,130.36000061035156,83.35814666748047,517810.0,517.9945678710938,118.71878814697266,290.0604553222656,152.51451110839844,135.83160400390625,459.8813781738281,386.4352111816406,284.7454833984375,333.38916015625,42.26457977294922,140.3797607421875,261.7699890136719,453.1045227050781,232.60134887695312,50.806884765625,97.67698669433594
2023-07-01,193.91249084472656,133.67999267578125,86.81839752197266,535400.0,539.4406127929688,131.632080078125,311.7235412597656,154.36656188964844,147.52444458007812,445.7313232421875,387.3980407714844,316.1192932128906,328.8661193847656,46.692501068115234,144.59837341308594,267.42999267578125,479.32000732421875,232.84622192382812,51.67317581176758,97.66789245605469
2023-08-01,185.44329833984375,138.00999450683594,89.16020965576172,546725.0,528.4818725585938,135.0537872314453,308.4179992675781,148.97622680664062,137.60133361816406,543.4481201171875,406.0239562988281,293.58612060546875,320.87750244140625,49.31644821166992,143.6847381591797,258.0799865722656,451.12139892578125,240.63287353515625,52.56208801269531,101.26531982421875
2023-09-01,169.2267303466797,127.12000274658203,80.24217224121094,531477.0,544.5951538085938,129.7873077392578,283.9439697265625,144.5541534423828,136.36949157714844,527.8383178710938,389.56219482421875,297.8724365234375,309.7741394042969,43.465023040771484,135.79019165039062,250.22000122070312,477.2565002441406,225.70843505859375,51.879573822021484,107.96278381347656
2023-10-01,168.7918243408203,133.08999633789062,81.72730255126953,517825.0,532.5265502929688,123.0628890991211,267.52716064453125,137.6768035888672,130.76498413085938,544.3475952148438,370.3157653808594,298.9241943359375,331.71099853515625,40.75149917602539,139.6722869873047,200.83999633789062,508.9241943359375,230.70323181152344,53.00845718383789,97.19219207763672
2023-11-01,187.74961853027344,146.08999633789062,89.92169189453125,545900.0,571.3736572265625,131.44361877441406,294.5909423828125,143.54249572753906,147.85272216796875,580.8156127929688,407.78515625,324.6026916503906,371.73876953125,46.73731994628906,143.8234405517578,240.0800018310547,525.4683837890625,251.8796844482422,50.5041618347168,94.33658599853516
2023-12-01,190.5504608154297,151.94000244140625,108.42803955078125,542625.0,637.4542236328125,138.544921875,327.8446044921875,146.637939453125,161.13369750976562,573.8946533203125,420.2798767089844,351.20391845703125,369.67193603515625,49.487396240234375,137.28428649902344,248.47999572753906,500.2863464355469,256.0249328613281,51.13996887207031,92.64180755615234
