Date,AIG,BMY,C,CSCO,GE,HD,IBM,INTC,JNJ,KO,MRK,MSFT,ORCL,PFE,PG,QCOM,T,VZ,WMT,XOM
1999-01-01,641.826904296875,22.522706985473633,144.04049682617188,17.94940948486328,89.40277099609375,23.245792388916016,44.877960205078125,19.980663299560547,21.250791549682617,15.505427360534668,26.73983383178711,26.66408348083496,7.3534016609191895,15.285412788391113,22.28663444519043,2.5317306518554688,6.934264659881592,14.705540657043457,9.090417861938477,15.046560287475586
1999-02-01,710.4131469726562,22.189359664916992,151.4503631591797,15.737159729003906,85.5133285522461,22.933605194091797,41.5717887878418,17.003501892089844,21.31321144104004,15.164158821105957,29.700803756713867,22.873971939086914,7.419800281524658,15.679057121276855,22.022016525268555,2.8082261085510254,6.829660892486572,14.223018646240234,9.103629112243652,14.256750106811523
1999-03-01,752.1103515625,22.596799850463867,164.66200256347656,17.627620697021484,94.30442810058594,23.918193817138672,43.46615219116211,16.86038589477539,23.411386489868164,14.570647239685059,29.1997127532959,27.31165885925293,5.25361442565918,16.517650604248047,24.09813117980957,4.784562587738037,6.095033168792725,12.75751781463623,9.744451522827148,15.20042610168457
1999-04-01,729.8677978515625,22.476301193237305,193.0186309814453,18.351633071899414,90.14852905273438,22.969165802001953,51.298030853271484,17.3568058013916,24.412940979003906,16.199506759643555,25.734012603759766,24.778566360473633,5.390557289123535,13.697745323181152,23.0831356048584,7.693772315979004,7.201014518737793,14.223018646240234,9.734777450561523,17.89314842224121
1999-05-01,713.1024169921875,24.310653686523438,171.26673889160156,17.53712272644043,86.99385070800781,21.74382209777832,56.89219665527344,15.335676193237305,23.192291259765625,16.30364227294922,24.728425979614258,24.588098526000977,4.942380905151367,12.737936019897461,23.04403305053711,7.48219108581543,6.645683765411377,13.612995147705078,9.020537376403809,17.206504821777344
1999-06-01,731.427001953125,24.907379150390625,184.1925506591797,20.734834671020508,96.67171478271484,24.771162033081055,63.462486267089844,16.886327743530273,24.610475540161133,14.756582260131836,26.922433853149414,27.483068466186523,7.3948974609375,13.00107192993164,21.74839210510254,11.040557861328125,7.539359092712402,16.254793167114258,10.210926055908203,16.69664192199707
1999-07-01,724.7701416015625,23.588729858398438,172.8016357421875,19.990713119506836,93.2497329711914,24.54720687866211,61.713294982910156,19.58245849609375,22.8682804107666,14.449399948120117,24.82682228088379,26.149864196777344,7.581633567810059,12.121410369873047,22.349939346313477,12.002277374267578,7.425620079040527,15.912903785705566,8.95170783996582,17.183744430541992
1999-08-01,723.1121215820312,24.963266372680664,172.82583618164062,21.82084846496582,96.3829116821289,23.657657623291016,61.16089630126953,23.325124740600586,25.677757263183594,14.270462989807129,24.66619873046875,28.206783294677734,7.27040433883667,13.507999420166016,24.580711364746094,14.786459922790527,6.283854961395264,15.339438438415527,9.388700485229492,17.07549285888672
1999-09-01,678.2528686523438,23.943450927734375,171.1241912841797,22.062183380126953,101.74642181396484,26.41554832458496,59.469642639160156,21.098852157592773,23.140705108642578,11.51180648803711,23.79428482055664,27.59733772277832,9.063106536865234,12.86723518371582,23.218576431274414,14.555647850036621,6.676085472106934,16.840538024902344,10.077290534973145,16.536603927612305
1999-10-01,803.5120849609375,27.333498001098633,210.9883270263672,23.811874389648438,116.6218032836914,29.158153533935547,48.28837203979492,21.986108779907227,26.383533477783203,14.11758041381836,29.335994720458984,28.206783294677734,9.473930358886719,14.234668731689453,25.973833084106445,17.137866973876953,6.942965507507324,16.24634552001953,11.94392204284668,16.11502456665039
1999-11-01,809.8544921875,25.97682762145996,210.1031494140625,28.69894027709961,111.99566650390625,30.481332778930664,50.65362548828125,21.773164749145508,26.13169288635254,16.106599807739258,29.01335906982422,27.744930267333984,13.507511138916016,13.136232376098633,26.835023880004883,27.875486373901367,6.928568363189697,16.051326751708984,12.222301483154297,17.257360458374023
1999-12-01,844.4168701171875,22.840946197509766,217.17152404785156,34.47090530395508,133.1898956298828,39.72532272338867,53.089481353759766,23.379255294799805,23.550561904907227,13.97170639038086,24.77312660217285,35.577518463134766,22.321636199951172,11.66115665435791,27.2232666015625,54.20262908935547,6.416483402252197,15.492950439453125,14.66146469116211,17.633752822875977
