Date,AIG,BMY,CVX,DIS,FNMA,GE,IBM,INTC,JNJ,KO,MCD,MMM,MRK,PEP,PFE,PG,T,VZ,WMT,XOM
1993-01-01,136.81103515625,4.442773818969727,5.043282508850098,10.338963508605957,13.282105445861816,15.944873809814453,5.279346942901611,1.7384529113769531,5.105016708374023,4.4719977378845215,6.1462812423706055,8.025859832763672,6.5348711013793945,8.214762687683105,1.778337001800537,5.604319095611572,1.821746826171875,4.881713390350342,3.051466464996338,5.273867130279541
1993-01-08,140.42323303222656,4.508531093597412,5.116775035858154,10.68160629272461,13.912515640258789,15.75920581817627,5.475917339324951,1.9674828052520752,5.1749491691589355,4.760955810546875,6.3038787841796875,8.056074142456055,6.613602161407471,8.5833740234375,1.7385964393615723,5.5223069190979,1.8833986520767212,5.089373588562012,3.057807683944702,5.166888236999512
1993-01-15,136.96151733398438,4.338901519775391,5.015725135803223,10.801623344421387,13.716864585876465,15.503899574279785,5.209141254425049,1.9543956518173218,5.146973609924316,4.609598159790039,6.240836143493652,8.00572681427002,6.613602161407471,8.66236400604248,1.722038984298706,5.412956714630127,1.836470603942871,5.053022861480713,3.0197463035583496,4.974334239959717
1993-01-22,141.6272735595703,4.240697383880615,5.328060626983643,11.041662216186523,13.8255615234375,15.875251770019531,5.644407272338867,1.9020456075668335,4.909209251403809,4.540801048278809,6.1462812423706055,7.884881019592285,6.37739896774292,8.820341110229492,1.7518432140350342,5.470081806182861,1.7832846641540527,5.053022861480713,3.286193370819092,5.273867130279541
1993-01-29,152.91526794433594,4.142490386962891,5.50260066986084,11.401714324951172,14.463990211486816,16.084123611450195,5.77077579498291,1.9081010818481445,5.105016708374023,4.595839023590088,6.508752822875977,8.398456573486328,5.983735084533691,8.741353034973145,1.705480694770813,5.593778133392334,1.770769715309143,5.174196720123291,3.3813533782958984,5.305953502655029
1993-02-05,150.80828857421875,4.249624729156494,5.707314968109131,11.281697273254395,13.939620971679688,16.037700653076172,5.803996562957764,1.9626795053482056,5.035082817077637,4.4719977378845215,6.3038787841796875,8.680418968200684,6.416764736175537,8.557050704956055,1.705480694770813,5.744958877563477,1.7457420825958252,5.210549831390381,3.2417850494384766,5.4002580642700195
1993-02-12,141.7777862548828,4.008574962615967,5.595769882202148,10.89163875579834,13.174909591674805,15.202168464660645,5.733044624328613,1.9211994409561157,4.667389869689941,4.540801048278809,6.130516052246094,8.297754287719727,5.964052200317383,8.425397872924805,1.576864242553711,5.4425950050354,1.795799970626831,5.210549831390381,3.1402814388275146,5.356971740722656
1993-02-19,145.2394561767578,4.088923454284668,5.707314968109131,10.771617889404297,13.677434921264648,15.689565658569336,6.1020026206970215,2.0609233379364014,4.6814494132995605,4.650876998901367,6.38267707824707,8.408524513244629,6.042787551879883,8.346413612365723,1.523524522781372,5.593778133392334,1.839599370956421,5.416547775268555,3.2290964126586914,5.508479595184326
1993-02-26,148.4001007080078,4.0175018310546875,5.818858623504639,10.771617889404297,14.114412307739258,15.782411575317383,6.229717254638672,2.0718390941619873,4.653328895568848,4.74719762802124,6.521730899810791,8.597405433654785,5.944366931915283,8.60970401763916,1.6135350465774536,5.909886360168457,1.8833986520767212,5.368075370788574,3.336944103240967,5.573410511016846
1993-03-05,149.1732177734375,4.1067795753479,5.763087749481201,10.771617889404297,14.463990211486816,16.367185592651367,6.229717254638672,2.0412747859954834,4.962615489959717,4.705918788909912,6.6164774894714355,8.851173400878906,6.219935417175293,8.846674919128418,1.6635420322418213,5.854912281036377,1.8239564895629883,5.113610744476318,3.362323045730591,5.486835479736328
1993-03-12,150.22781372070312,4.053213119506836,5.911810398101807,10.861634254455566,14.311050415039062,16.530864715576172,6.201333522796631,2.0216269493103027,4.526801586151123,4.738088607788086,6.711222171783447,8.922228813171387,5.764335632324219,8.768909454345703,1.583531379699707,5.7724504470825195,1.8051844835281372,5.149964332580566,3.438448667526245,5.616699695587158
1993-03-19,150.37857055664062,4.1067795753479,6.023353576660156,10.531584739685059,14.048860549926758,16.85822105407715,5.733044624328613,2.0150763988494873,4.611154556274414,4.710461139678955,6.6796417236328125,8.87147331237793,5.625673294067383,8.927376747131348,1.5901991128921509,5.511316299438477,1.8646283149719238,5.283255100250244,3.378225803375244,5.681633949279785
1993-03-26,154.89898681640625,4.19605827331543,6.079128265380859,10.68160629272461,13.939620971679688,16.764684677124023,5.889144420623779,1.9473984241485596,4.583040237426758,4.738088607788086,6.758599758148193,8.89177131652832,5.4473958015441895,9.033026695251465,1.6302037239074707,5.483822822570801,1.9490996599197388,5.416547775268555,3.162324905395508,5.670812606811523
1993-04-02,154.59764099121094,4.158855438232422,6.311507701873779,9.781471252441406,13.852217674255371,17.208938598632812,5.704662322998047,1.973596453666687,4.3299880027771,4.392746448516846,6.379609107971191,9.003427505493164,5.249309062957764,8.240657806396484,1.5668632984161377,5.1402268409729,1.9146839380264282,5.271137237548828,2.9337196350097656,5.887254238128662
1993-04-09,158.21397399902344,4.303511142730713,6.227849960327148,10.005642890930176,14.463990211486816,17.88700294494629,5.534373760223389,1.9495806694030762,4.358104228973389,4.378936290740967,6.23748779296875,9.247032165527344,5.249309062957764,8.187833786010742,1.620202660560608,5.401363372802734,2.0061349868774414,5.371906280517578,2.8067216873168945,5.887254238128662
1993-04-16,151.58399963378906,4.240224838256836,6.125604629516602,9.675125122070312,13.939620971679688,17.25570297241211,5.5059919357299805,1.6766836643218994,4.568977355957031,4.296051979064941,5.921667575836182,9.318092346191406,5.566246032714844,7.738823413848877,1.7068806886672974,5.195202827453613,1.968105435371399,5.20020055770874,2.7178196907043457,5.703280448913574
1993-04-23,150.0771942138672,4.330636501312256,6.348690509796143,9.94554615020752,13.458943367004395,17.138797760009766,5.54856538772583,1.6723179817199707,4.765798091888428,4.392746448516846,5.984834671020508,9.054173469543457,5.86337947845459,7.976537704467773,1.796892523765564,5.335328102111816,1.9427502155303955,5.053023338317871,2.7178196907043457,5.714102745056152
