Date,AIG,BMY,CVX,DIS,FNMA,GE,IBM,INTC,JNJ,KO,MCD,MMM,MRK,PEP,PFE,PG,T,VZ,WMT,XOM
1993-01-01,142.68081665039062,4.221960067749023,5.346432209014893,10.938326835632324,13.869039535522461,15.991296768188477,5.784815788269043,1.8627831935882568,4.923192977905273,4.664640426635742,6.130519390106201,7.894950866699219,6.357719421386719,8.820337295532227,1.7485319375991821,5.440290451049805,1.7013273239135742,4.941537857055664,3.305227279663086,5.231076240539551
1993-02-01,147.0455322265625,4.053213119506836,5.658767223358154,10.651601791381836,13.677428245544434,15.619946479797363,6.107752323150635,2.0347254276275635,4.755357265472412,4.664640426635742,6.382673740386963,8.499153137207031,6.06247091293335,8.399070739746094,1.546524167060852,5.717475891113281,1.8646273612976074,5.3923139572143555,3.298882007598877,5.445022106170654
1993-03-01,153.818359375,4.222840785980225,6.181373119354248,10.68160343170166,13.917769432067871,16.548311233520508,5.775618076324463,2.00852632522583,4.793914794921875,4.692155361175537,6.679640293121338,8.89177131652832,5.570385932922363,9.030972480773926,1.6602078676223755,5.483827114105225,1.9553557634353638,5.428665637969971,3.222754716873169,5.724922180175781
1993-04-01,152.63882446289062,4.348719120025635,6.4044623374938965,9.781471252441406,13.568188667297363,16.951732635498047,5.5201826095581055,1.6614010334014893,4.906379222869873,4.351305961608887,6.0795793533325195,9.033876419067383,5.863379955291748,7.950120449066162,1.8202275037765503,5.401361465454102,1.9334560632705688,4.980315685272217,2.717819929122925,5.714100360870361
1993-05-01,154.89895629882812,4.339674949645996,6.553184986114502,10.576531410217285,13.362080574035645,17.349225997924805,5.988478660583496,1.9385716915130615,5.018847942352295,4.586139678955078,6.28486442565918,9.16583251953125,6.06146764755249,7.65958833694458,1.9135723114013672,5.432084560394287,1.9459197521209717,5.322847366333008,2.8321211338043213,5.670809745788574
1993-06-01,155.6692657470703,4.176938056945801,6.592772006988525,9.795315742492676,14.570821762084961,17.910388946533203,5.6673102378845215,1.9232726097106934,4.694587707519531,4.7519025802612305,6.205913066864014,8.834853172302246,5.625674247741699,7.8180623054504395,1.7977744340896606,5.749994277954102,1.9649362564086914,5.825695514678955,2.6670193672180176,5.788675785064697
1993-07-01,166.30372619628906,3.9998269081115723,6.639729022979736,9.014091491699219,14.48291015625,18.549102783203125,5.107752799987793,1.827109932899475,4.128974914550781,4.799614906311035,6.519965171813965,8.589448928833008,4.885167598724365,7.932549953460693,1.5965317487716675,5.390614032745361,2.053675889968872,5.837957382202148,2.581221342086792,5.744904518127441
1993-08-01,175.35433959960938,4.10966157913208,6.996602535247803,9.449125289916992,14.121869087219238,18.502023696899414,5.251229286193848,2.248905658721924,4.609744071960449,4.8134870529174805,6.80481481552124,8.967792510986328,5.084563255310059,8.357037544250488,1.690445065498352,5.382188320159912,2.3367433547973633,6.3643341064453125,2.6193666458129883,5.723019599914551
1993-09-01,177.8020782470703,4.127968788146973,7.416489601135254,9.0880126953125,13.9229736328125,18.05476951599121,4.8481125831604,2.4764208793640137,4.486158847808838,4.688643455505371,6.580299377441406,8.480411529541016,4.9051103591918945,8.3305082321167,1.6078811883926392,5.2848381996154785,2.208350419998169,6.327116012573242,2.508030891418457,5.798440456390381
1993-10-01,163.07960510253906,4.364863872528076,7.359585285186768,10.351906776428223,13.768270492553711,18.383922576904297,5.309837341308594,2.2139029502868652,4.799479961395264,4.832536697387695,7.309682369232178,8.552543640136719,5.169854640960693,8.418105125427246,1.6821942329406738,6.03584098815918,2.272547483444214,6.314709663391113,2.686265468597412,5.787374019622803
1993-11-01,156.0581817626953,4.439002513885498,6.591381549835205,9.61538314819336,13.435294151306152,18.644506454467773,6.218860149383545,2.154343366622925,4.9703803062438965,4.6793413162231445,7.436529159545898,8.985319137573242,5.511829853057861,8.577942848205566,1.797043800354004,6.351140975952148,2.2078614234924316,5.954931735992432,2.9154250621795654,5.554991722106934
1993-12-01,159.18670654296875,4.318531036376953,6.671963691711426,10.278511047363281,13.969146728515625,19.87642478942871,6.554150104522705,2.1718602180480957,5.143810272216797,4.99188756942749,7.244335651397705,9.035971641540527,5.531947135925293,8.711140632629395,1.8769181966781616,6.379115581512451,2.155911922454834,5.880495548248291,2.548987865447998,5.651149749755859
