Date,AAPL,AMZN,BRK-A,CVX,GOOGL,HD,JNJ,JPM,LLY,MA,META,MSFT,NVDA,PFE,PG,TSLA,UNH,V,WMT,XOM
2022-01-01,171.02883911132812,149.57350158691406,469805.0,110.67058563232422,134.1943817138672,329.4833679199219,152.43359375,132.510009765625,236.00535583496094,376.22283935546875,310.8208312988281,300.2137451171875,24.437335968017578,42.19452667236328,143.0431365966797,312.239990234375,438.302490234375,219.00379943847656,44.143497467041016,65.46408081054688
2022-02-01,161.57618713378906,153.56300354003906,476205.0,121.34749603271484,133.9499053955078,283.5597229003906,145.6033172607422,127.20423889160156,240.3909454345703,351.7958068847656,209.38685607910156,288.44580078125,24.336538314819336,37.87568664550781,139.7282257080078,290.1433410644531,441.3632507324219,209.27224731445312,42.67531204223633,67.58416748046875
2022-03-01,171.08016967773438,162.99749755859375,528921.0,138.65599060058594,137.9275360107422,268.7455749511719,157.810791015625,122.28826141357422,276.56781005859375,348.4418029785156,220.62860107421875,298.2515869140625,27.231773376464844,41.77299499511719,136.9585723876953,359.20001220703125,472.9905090332031,215.09262084960938,47.01988983154297,71.967041015625
2022-04-01,154.4630126953125,124.28150177001953,484340.0,133.41050720214844,113.17411804199219,271.33392333984375,160.68692016601562,107.07402038574219,282.13067626953125,354.29180908203125,198.9090576171875,268.46600341796875,18.513294219970703,39.59437561035156,143.90513610839844,290.2533264160156,473.06927490234375,206.71279907226562,48.49176788330078,74.284912109375
2022-05-01,145.83111572265625,120.20950317382812,474050.0,148.72967529296875,112.82946014404297,273.4565124511719,159.85882568359375,119.49854278564453,302.7112121582031,349.40380859375,192.1322479248047,263.0003662109375,18.6380672454834,42.7977409362793,133.2922821044922,252.75332641601562,462.1205139160156,205.78163146972656,40.7706184387207,83.65221405029297
2022-06-01,134.1529541015625,106.20999908447266,408950.0,124.29993438720703,108.06980895996094,247.732177734375,159.0758056640625,101.76761627197266,314.18707275390625,308.0166320800781,159.9944305419922,249.02975463867188,15.131451606750488,42.650543212890625,129.6057586669922,224.47332763671875,477.7948913574219,191.3264617919922,38.67612838745117,75.38914489746094
2022-07-01,159.45872497558594,134.9499969482422,451700.0,140.6122589111328,115.36650085449219,273.538330078125,156.39633178710938,104.25282287597656,319.47796630859375,345.4203796386719,157.86119079589844,272.2135314941406,18.133827209472656,41.08866500854492,125.20714569091797,297.1499938964844,506.3011169433594,206.1163787841797,42.006771087646484,85.3277587890625
2022-08-01,154.26808166503906,126.7699966430664,421308.0,135.70138549804688,107.33290100097656,262.1583251953125,144.58506774902344,103.68891906738281,291.8995361328125,317.1817626953125,161.66134643554688,253.52877807617188,15.069755554199219,37.079017639160156,125.13997650146484,275.6099853515625,484.8199768066406,193.0950469970703,42.16582489013672,84.14816284179688
2022-09-01,135.79354858398438,113.0,406470.0,124.46772003173828,94.8659439086914,252.4511260986328,147.37889099121094,95.27381896972656,314.3573303222656,278.0389099121094,134.62355041503906,226.30584716796875,12.119499206542969,35.873924255371094,114.53473663330078,265.25,471.4796142578125,172.93585205078125,41.43889617919922,77.60604095458984
2022-10-01,150.66993713378906,102.44000244140625,445050.0,156.7217254638672,93.73528289794922,270.9225158691406,156.9510040283203,114.76618957519531,352.0198669433594,320.9073791503906,92.43463134765625,225.5576629638672,13.479324340820312,38.1611328125,122.17342376708984,227.5399932861328,519.8859252929688,201.6627960205078,45.474151611328125,98.49415588378906
2022-11-01,145.4523468017578,96.54000091552734,480280.0,158.80960083007812,100.16216278076172,296.4109191894531,160.58668518066406,127.10740661621094,360.7598571777344,349.064208984375,117.18043518066406,247.9161834716797,16.900835037231445,41.095977783203125,136.27915954589844,194.6999969482422,512.96533203125,211.24168395996094,48.6978874206543,98.9652328491211
2022-12-01,127.87930297851562,84.0,468711.0,156.7030792236328,87.50676727294922,290.7212829589844,160.39743041992188,123.35433959960938,356.65771484375,340.5726318359375,119.40299224853516,233.6866912841797,14.598597526550293,42.365962982177734,138.47190856933594,123.18000030517578,496.50201416015625,202.69891357421875,45.30161666870117,98.83009338378906
