Date,AIG,BA,BMY,DIS,GE,IBM,JNJ,KO,LLY,MCD,MMM,MRK,PEP,PFE,PG,SLB,T,VZ,WMT,XOM
1989-01-01,64.53199005126953,7.104953289031982,2.724215507507324,3.972806692123413,7.33091926574707,11.30275821685791,2.214974880218506,1.1531778573989868,4.032654285430908,2.85894775390625,4.273795127868652,2.7992498874664307,2.603905200958252,0.686333954334259,2.1282973289489746,3.6676385402679443,0.7586917877197266,2.7847509384155273,0.7725266814231873,3.1324520111083984
1989-01-08,65.59181213378906,7.148805618286133,2.7473020553588867,4.02411413192749,7.392527103424072,11.441872596740723,2.1858718395233154,1.1403650045394897,4.067418575286865,2.8816370964050293,4.343855857849121,2.9013683795928955,2.554464101791382,0.6833757758140564,2.152970790863037,3.7759039402008057,0.7889577746391296,2.7649991512298584,0.7943317890167236,3.1324520111083984
1989-01-15,67.12266540527344,7.002618312835693,2.724215507507324,4.030063152313232,7.4746623039245605,11.465049743652344,2.227909803390503,1.1531778573989868,4.073214530944824,2.85894775390625,4.361369609832764,2.9013683795928955,2.4967844486236572,0.665626049041748,2.1852588653564453,3.81650710105896,0.8204188346862793,2.839062213897705,0.7943317890167236,3.1676487922668457
1989-01-22,70.06661224365234,7.397336959838867,2.8088676929473877,4.360396862030029,7.782688617706299,11.766461372375488,2.3475494384765625,1.1788043975830078,4.206474781036377,3.070720672607422,4.755472183227539,3.099600076675415,2.5791850090026855,0.6774588823318481,2.2848730087280273,3.81650710105896,0.8422001004219055,2.9773130416870117,0.8161367177963257,3.229241371154785
1989-01-29,69.59558868408203,7.441197395324707,2.8396494388580322,4.353055477142334,7.864831924438477,11.847607612609863,2.3410837650299072,1.2044302225112915,4.426649570465088,3.169044256210327,4.702924728393555,3.135640859603882,2.653345823287964,0.6931111812591553,2.25996994972229,3.9789133071899414,0.8300994634628296,2.918060779571533,0.8348270654678345,3.238039970397949
1989-02-05,67.12266540527344,7.309625148773193,2.8396494388580322,4.309011936187744,7.597876071929932,11.69178295135498,2.2893447875976562,1.2012274265289307,4.322357177734375,3.093411684036255,4.685408592224121,2.9974794387817383,2.6203866004943848,0.6781735420227051,2.2195029258728027,3.897712230682373,0.8373596668243408,2.9427502155303955,0.8317121863365173,3.1324520111083984
1989-02-12,69.59558868408203,7.400001049041748,2.862736463546753,4.411779403686523,7.700552463531494,11.71517276763916,2.33784818649292,1.2556828260421753,4.422660827636719,3.116101026535034,4.799261093139648,3.1236255168914795,2.7192673683166504,0.6662237644195557,2.29110050201416,3.884176254272461,0.8518804311752319,2.972374200820923,0.8566325902938843,3.1881701946258545
1989-02-19,65.9450912475586,7.194036483764648,2.778083562850952,4.272307872772217,7.433593273162842,11.329334259033203,2.243746757507324,1.1916166543960571,4.311800003051758,3.040468215942383,4.597834587097168,2.9974794387817383,2.570946455001831,0.6512855291366577,2.2070508003234863,3.789442300796509,0.8446196913719177,2.87856388092041,0.7974463701248169,3.090208053588867
1989-02-26,69.12457275390625,7.664813995361328,2.778083562850952,4.485186576843262,7.3514604568481445,11.30595874786377,2.266509532928467,1.246073603630066,4.510180950164795,3.079070568084717,4.659724712371826,3.063558578491211,2.678067922592163,0.6617419123649597,2.1977109909057617,3.9518468379974365,0.861561119556427,2.883497953414917,0.7943317890167236,3.1525485515594482
1989-03-05,71.11032104492188,7.826644420623779,2.8088676929473877,4.485186576843262,7.459373474121094,11.06042766571045,2.2762653827667236,1.2492765188217163,4.621038436889648,3.071486234664917,4.756985187530518,3.10152530670166,2.702789068222046,0.6542734503746033,2.191485643386841,4.163215160369873,0.8664004802703857,2.947685956954956,0.8192520141601562,3.170358419418335
