Date,AIG,BA,BMY,DIS,FNMA,GE,IBM,JNJ,K,KO,LLY,MMM,MO,MRK,PEP,PFE,PG,VZ,WMT,XOM
1991-01-01,87.20856475830078,12.263016700744629,4.122473239898682,5.768152236938477,5.544164180755615,9.407917976379395,11.168246269226074,3.5992703437805176,,2.371157646179199,6.733557224273682,6.187780380249023,0.5505930781364441,4.190503120422363,4.961759090423584,0.9682259559631348,4.282482624053955,4.187804698944092,1.4608217477798462,3.9641644954681396
1991-01-08,87.80381774902344,12.194314002990723,4.155718803405762,5.612656116485596,5.710906028747559,9.473559379577637,10.813697814941406,3.673550844192505,,2.371157646179199,6.709246635437012,6.1501641273498535,0.5534237027168274,4.1841912269592285,4.987339496612549,0.9475920796394348,4.151920318603516,4.257470607757568,1.467117190361023,3.8959851264953613
1991-01-15,93.90547180175781,13.327873229980469,4.47155237197876,6.0513081550598145,6.1902875900268555,10.042404174804688,12.117926597595215,3.896394968032837,,2.5648584365844727,7.474972248077393,6.422876358032227,0.5944706201553345,4.424007892608643,5.473283290863037,1.0412390232086182,4.269915580749512,4.691905975341797,1.5867528915405273,3.9933836460113525
1991-01-22,94.79833984375,12.881326675415039,4.54635763168335,6.0587239265441895,6.377872943878174,10.611262321472168,12.586432456970215,4.038203716278076,,2.544818639755249,7.560053825378418,6.187780380249023,0.6227789521217346,4.5060529708862305,5.396556377410889,1.1142535209655762,4.072844505310059,4.268331527709961,1.5993462800979614,4.09078311920166
1991-01-29,100.75112915039062,14.186630249023438,4.654403209686279,6.904125213623047,7.190409183502197,11.398900032043457,12.902992248535156,4.1259918212890625,,2.5782155990600586,7.462821960449219,6.328839302062988,0.6581642031669617,4.771113395690918,5.524433612823486,1.1507600545883179,4.217364311218262,4.203166961669922,1.7063896656036377,3.9933836460113525
1991-02-05,107.15040588378906,14.11792278289795,5.011796474456787,7.000532150268555,7.861232280731201,11.683324813842773,13.538603782653809,4.315073013305664,,2.771915912628174,7.7666850090026855,6.817848205566406,0.6977953910827637,5.067728519439697,6.266145706176758,1.2682164907455444,4.453851699829102,4.507271766662598,1.8575085401535034,4.246622562408447
1991-02-12,106.7039566040039,13.530014038085938,4.995175361633301,6.993119239807129,7.5677490234375,12.186538696289062,14.04997444152832,4.3758463859558105,,2.805314302444458,8.03825855255127,6.846057891845703,0.7020412683486938,5.1497721672058105,6.547483444213867,1.3317078351974487,4.466991424560547,4.420384407043457,1.8701016902923584,4.214055061340332
1991-02-19,107.89448547363281,12.943253517150879,5.086599349975586,7.326827049255371,7.546786308288574,12.25217342376709,13.66645336151123,4.462371349334717,,2.8587467670440674,7.879209518432617,6.677435874938965,0.7770581841468811,5.212882995605469,6.854393482208252,1.3332946300506592,4.401296615600586,4.214028358459473,1.9078811407089233,4.253527641296387
1991-02-26,110.12680053710938,13.668074607849121,5.0616655349731445,7.23784065246582,7.58870792388916,11.94587516784668,13.359625816345215,4.4013352394104,,2.7652368545532227,8.099433898925781,6.772284507751465,0.7402573227882385,5.200262069702148,6.5219035148620605,1.3483364582061768,4.3684515953063965,4.170583248138428,1.8071351051330566,4.312744617462158
1991-03-05,111.44921875,13.357430458068848,5.111534595489502,7.475144863128662,7.58870792388916,12.05638599395752,13.20621109008789,4.7878923416137695,,2.7785961627960205,8.148369789123535,6.829197883605957,0.7629041075706482,5.419271945953369,6.59303617477417,1.3659093379974365,4.466991424560547,4.18144416809082,1.8386186361312866,4.381828308105469
1991-03-12,107.42628479003906,13.253885269165039,5.0367326736450195,7.311995029449463,7.609671592712402,12.122505187988281,13.078376770019531,5.032032012939453,,2.8987793922424316,7.732389450073242,6.876623630523682,0.7635035514831543,5.374849796295166,6.79826545715332,1.319580316543579,4.5195393562316895,4.279191970825195,1.8763983249664307,4.450911998748779
1991-03-19,110.1081771850586,13.150341033935547,5.119846343994141,6.852215766906738,7.253295421600342,11.791888236999512,11.608173370361328,5.154104232788086,,2.8518097400665283,7.499929428100586,6.620528221130371,0.7620792388916016,5.298704147338867,6.721304416656494,1.341946005821228,4.348744869232178,4.387803077697754,1.9037452936172485,4.668026447296143
1991-03-26,113.3861312866211,12.943253517150879,5.111534595489502,6.96345329284668,7.46293306350708,12.298834800720215,11.480326652526855,5.120197772979736,,2.9390413761138916,7.756860256195068,6.686923027038574,0.7592305541038513,5.355814456939697,6.977845191955566,1.3802872896194458,4.447280406951904,4.442103862762451,1.9541773796081543,4.539731025695801
1991-04-02,120.23994445800781,13.495497703552246,5.243163585662842,7.045029163360596,8.028938293457031,12.629446983337402,11.557031631469727,5.255829811096191,,2.885359764099121,8.050500869750977,6.743833065032959,0.7805972099304199,5.482731342315674,6.669998645782471,1.456969976425171,4.466991424560547,4.333497524261475,2.1243793964385986,4.549598217010498
1991-04-09,116.81305694580078,12.874222755432129,5.201287746429443,6.914239883422852,8.175682067871094,13.004137992858887,10.930606842041016,5.262612819671631,,2.9054908752441406,7.989319324493408,6.601562023162842,0.7962660789489746,5.565222263336182,6.875230312347412,1.4729448556900024,4.5983734130859375,4.431010723114014,2.2315433025360107,4.697636604309082
1991-04-16,115.02513122558594,12.874222755432129,5.125903129577637,6.951376914978027,8.112792015075684,12.93801498413086,11.096797943115234,5.235486030578613,,2.912201404571533,7.695685863494873,6.64898157119751,0.7706258296966553,5.577914237976074,6.669998645782471,1.4250191450119019,4.552123546600342,4.299074649810791,2.1306822299957275,4.746980667114258
