Date,AIG,BMY,CSCO,CVX,DIS,FNMA,GE,IBM,INTC,JNJ,JPM,KO,LLY,MRK,MSFT,PEP,PFE,PG,WMT,XOM
1996-01-01,265.9559326171875,7.239596843719482,2.9764842987060547,8.621437072753906,15.727396965026855,26.1092529296875,31.03047752380371,12.931550025939941,3.8941538333892822,11.492452621459961,9.524749755859375,8.700718879699707,13.383734703063965,12.089680671691895,3.5234692096710205,13.231313705444336,3.92279052734375,9.831785202026367,2.1083686351776123,7.8593316078186035
1996-02-01,265.9559326171875,7.0250468254089355,3.3965885639190674,9.244668960571289,16.033388137817383,24.07644271850586,30.525110244750977,14.615031242370605,4.149470806121826,11.193171501159668,10.269649505615234,9.321168899536133,14.17273235321045,11.42161750793457,3.759160280227661,14.035723686218262,3.7724626064300537,9.641146659851074,2.19891357421875,7.78588342666626
1996-03-01,257.03350830078125,7.063725471496582,3.316143274307251,9.411620140075684,15.63560676574707,24.26676368713379,31.48533821105957,13.288252830505371,4.012770652770996,11.080989837646484,10.108345031738281,9.552032470703125,15.276985168457031,10.73200798034668,3.9281909465789795,14.035723686218262,3.8683371543884277,9.964484214782715,2.3800008296966553,8.055887222290039
1996-04-01,251.07269287109375,6.787779331207275,3.709432363510132,9.726035118103027,15.176640510559082,23.31513023376465,31.420656204223633,12.870198249816895,4.780047416687012,11.111015319824219,9.893271446228027,9.436779022216797,13.896180152893066,10.482053756713867,4.313869476318359,14.133550643920898,3.9618093967437744,9.935087203979492,2.475994348526001,8.401843070983887
1996-05-01,258.9725341796875,7.106588840484619,3.9150149822235107,10.019495964050293,14.896407127380371,23.652204513549805,33.657737731933594,12.750755310058594,5.329921245574951,11.696598052978516,10.062429428100586,10.652562141418457,15.100716590881348,11.196736335754395,4.523373126983643,14.801288604736328,4.069662094116211,10.380533218383789,2.683407783508301,8.37713623046875
1996-06-01,270.99359130859375,7.491570949554443,4.049091339111328,9.977926254272461,15.417474746704102,25.66310691833496,35.284698486328125,11.864276885986328,5.184319972991943,11.939929962158203,10.152274131774902,11.347296714782715,15.370229721069336,11.196736335754395,4.575747966766357,15.802875518798828,4.124760150909424,10.705387115478516,2.6315531730651855,8.669076919555664
1996-07-01,258.85711669921875,7.210636615753174,3.7004928588867188,9.787668228149414,13.639713287353516,24.32250213623047,33.454341888427734,12.88293170928955,5.30344820022583,11.517816543579102,9.990555763244629,10.884137153625488,13.242047309875488,11.189299583435059,4.490041732788086,14.182415962219238,4.038072109222412,10.54296588897705,2.4939463138580322,8.207552909851074
1996-08-01,261.26348876953125,7.36549186706543,3.7719998359680176,9.956787109375,14.003666877746582,23.88980484008789,33.990501403808594,13.706835746765137,5.63823127746582,11.879631996154785,10.775876998901367,11.609743118286133,13.537620544433594,11.42876148223877,4.666214942932129,12.842355728149414,4.120716571807861,10.554872512817383,2.7407429218292236,8.132716178894043
1996-09-01,277.0769348144531,8.089451789855957,4.437910079956055,10.689859390258789,15.539166450500488,26.876022338867188,37.21062088012695,14.968009948730469,6.742033004760742,12.406426429748535,11.60897159576416,11.812917709350586,15.342853546142578,12.255986213684082,5.023326396942139,12.619009017944336,4.592281341552734,11.57918643951416,2.746056318283081,8.387540817260742
1996-10-01,299.0494079589844,8.876355171203613,4.424501895904541,11.22329044342041,16.184064865112305,30.151247024536133,39.761775970458984,15.50902271270752,7.761946678161621,11.922271728515625,12.423954963684082,11.75389289855957,16.77009391784668,12.945026397705078,5.228067398071289,13.286585807800293,4.802664756774902,11.757330894470215,2.7590701580047607,8.9290771484375
1996-11-01,316.60015869140625,9.621869087219238,4.853545665740967,11.436661720275879,18.180923461914062,31.95182228088379,42.7413215637207,19.160856246948242,8.967184066772461,12.890572547912598,13.786873817443848,11.899365425109863,18.197349548339844,14.543983459472656,5.975614547729492,13.566885948181152,5.2016801834106445,12.975293159484863,2.6549549102783203,9.508395195007324
1996-12-01,298.0169982910156,9.220080375671387,4.549641132354736,11.186624526977539,17.16574478149414,29.143936157226562,40.63505554199219,18.263158798217773,9.254313468933105,12.088457107543945,13.03917121887207,12.278363227844238,17.44392967224121,13.952587127685547,6.294630527496338,13.118401527404785,4.834039211273193,12.841055870056152,2.3686370849609375,9.96242618560791
