Date,AAPL,AMZN,BAC,BRK-A,CVX,DIS,GE,GOOGL,JNJ,JPM,KO,META,MSFT,PFE,PG,V,VZ,WFC,WMT,XOM
2015-01-01,25.949121475219727,17.726499557495117,11.953941345214844,215865.0,63.322513580322266,82.82544708251953,97.64840698242188,26.65717887878418,73.34080505371094,40.01139831542969,28.89912986755371,75.3189468383789,34.35874938964844,18.334075927734375,61.097904205322266,58.8795280456543,25.048009872436523,37.93225860595703,22.92350959777832,54.180458068847656
2015-02-01,28.451894760131836,19.007999420166016,12.474709510803223,221180.0,65.88557434082031,94.77214813232422,106.23200225830078,27.90089988708496,75.07649993896484,45.378292083740234,30.394264221191406,78.35511779785156,37.2928352355957,20.13521385192871,62.145668029785156,62.667606353759766,27.418014526367188,40.029048919677734,22.640268325805664,54.87461471557617
2015-03-01,27.668071746826172,18.604999542236328,12.143315315246582,217500.0,65.47262573242188,95.50968170166016,102.341064453125,27.507648468017578,74.19342041015625,44.859947204589844,28.463918685913086,81.57979583740234,34.825950622558594,20.59102439880371,59.816925048828125,60.54389190673828,26.96336555480957,40.00608825683594,22.18709373474121,53.0771598815918
2015-04-01,27.828166961669922,21.089000701904297,12.6087007522583,213400.0,69.2645263671875,98.99717712402344,111.7048110961914,27.213579177856445,73.160888671875,46.8444938659668,28.707178115844727,78.15666961669922,41.660945892333984,20.082014083862305,58.04301452636719,61.13629150390625,27.9669189453125,40.520877838134766,21.18058204650879,54.55707550048828
2015-05-01,28.968868255615234,21.46150016784668,13.059856414794922,214800.0,64.23775482177734,100.4996109008789,112.48853302001953,27.04249382019043,73.85417175292969,49.03435516357422,28.990291595458984,78.5733871459961,40.136356353759766,20.567346572875977,57.685699462890625,63.57062530517578,27.7219295501709,41.1533203125,20.154804229736328,53.20201873779297
2015-06-01,28.00693130493164,21.704500198364258,13.471442222595215,204850.0,60.76472473144531,103.9324722290039,109.60107421875,26.780658721923828,72.40178680419922,50.51030731201172,27.76584243774414,85.10215759277344,38.06094741821289,20.00947380065918,57.57530975341797,62.2631950378418,26.13509178161621,41.63947296142578,19.369901657104492,52.38283920288086
2015-07-01,27.08475112915039,26.8075008392334,14.194583892822266,214000.0,55.73197937011719,109.2684097290039,108.57809448242188,32.60551452636719,74.44471740722656,51.08428955078125,29.31510353088379,93.27799987792969,40.25926208496094,21.519285202026367,56.442047119140625,69.857177734375,26.23603057861328,42.8463249206543,19.656644821166992,49.87074661254883
2015-08-01,25.177879333496094,25.644500732421875,12.972005844116211,202531.0,51.01414108276367,93.30841064453125,103.253173828125,32.12548065185547,69.8165512084961,48.09433364868164,28.059141159057617,88.7336654663086,37.5178337097168,19.22771453857422,52.430511474609375,66.1112060546875,26.10249900817871,39.48493957519531,17.676773071289062,47.3712272644043
2015-09-01,24.740076065063477,25.594499588012695,12.368657112121582,195240.0,50.31113815307617,93.60149383544922,104.91719055175781,31.656858444213867,69.87903594970703,45.745880126953125,28.630023956298828,89.20000457763672,38.407386779785156,18.890817642211914,53.37275314331055,64.69635772705078,24.684192657470703,38.26715087890625,17.82771873474121,47.24885940551758
2015-10-01,26.80361557006836,31.295000076293945,13.364204406738281,204596.0,57.96495056152344,104.17057800292969,121.38621520996094,36.5672721862793,75.62806701660156,48.20688247680664,30.48321533203125,101.17601776123047,45.679283142089844,20.340259552001953,56.666812896728516,72.05204010009766,26.596067428588867,40.34632873535156,15.738105773925781,52.580665588378906
2015-11-01,26.53445816040039,33.2400016784668,13.881888389587402,201360.0,58.24561309814453,103.9233169555664,125.66744995117188,37.82984161376953,75.78526306152344,50.39109802246094,30.677553176879883,103.42833709716797,47.163169860839844,19.708757400512695,56.02330780029297,73.3801498413086,26.1197509765625,41.06174087524414,16.178020477294922,51.894325256347656
2015-12-01,23.710681915283203,33.794498443603516,13.404026985168457,197800.0,58.078948974609375,96.23918914794922,130.74615478515625,38.581626892089844,77.45996856689453,49.89987564086914,31.15943145751953,103.8450927734375,48.46824264526367,19.570756912231445,59.44430923461914,72.15363311767578,26.562253952026367,40.788734436035156,16.854402542114258,49.96847152709961
