Date,AAPL,AIG,BAC,C,CSCO,CVX,GE,GOOGL,IBM,INTC,JNJ,JPM,KO,MSFT,PFE,PG,T,VZ,WMT,XOM
2007-01-01,2.5687286853790283,828.9925537109375,35.52524948120117,367.9618835449219,17.131675720214844,34.56969451904297,109.41435241699219,12.447175025939941,51.546791076660156,12.529816627502441,38.076454162597656,30.920473098754883,13.309548377990723,21.77972412109375,10.851749420166016,37.267539978027344,7.228813171386719,13.196317672729492,10.73591136932373,38.018592834472656
2007-02-01,2.535170078277588,812.763427734375,34.34284973144531,336.1916198730469,16.694055557250977,32.501590728759766,105.95436096191406,11.155298233032227,48.318302154541016,11.872241973876953,35.87053680419922,30.198078155517578,12.975975036621094,19.8812313079834,10.322395324707031,36.64955139160156,7.168581485748291,12.952966690063477,10.875487327575684,36.7769660949707
2007-03-01,2.783862590789795,816.1129150390625,34.855464935302734,346.0554504394531,16.430192947387695,35.33428192138672,108.16356658935547,11.371479988098145,49.15222930908203,11.497040748596191,34.54861068725586,29.58055305480957,13.342907905578613,19.737709045410156,10.560606002807617,36.459041595458984,7.680903434753418,13.133058547973633,10.569321632385254,38.87607955932617
2007-04-01,2.9903087615966797,848.7716674804688,34.77348327636719,361.423583984375,17.208898544311523,37.164039611816406,112.7519302368164,11.699599266052246,53.297794342041016,12.92139720916748,36.81896209716797,31.85502815246582,14.61124038696289,21.203697204589844,11.062305450439453,37.174827575683594,7.542597770690918,13.223109245300293,10.839319229125977,40.90105438232422
2007-05-01,3.6312155723571777,878.2738037109375,34.64369201660156,367.287841796875,17.324745178222656,38.931697845458984,114.95435333251953,12.358070373535156,55.58695983886719,13.330077171325684,36.274330139160156,31.914899826049805,14.835212707519531,21.73485565185547,11.492919921875,36.88674545288086,8.15062141418457,15.238324165344238,10.766940116882324,42.85386276245117
2007-06-01,3.6566848754882812,852.184814453125,33.769752502441406,349.1910095214844,17.923261642456055,40.5367546081543,117.09564971923828,12.973356246948242,55.09663391113281,14.341525077819824,35.55958938598633,29.833616256713867,14.644827842712402,20.938446044921875,10.804778099060059,35.516910552978516,8.182165145874023,14.4121732711792,10.932808876037598,43.40631103515625
2007-07-01,3.9479260444641113,780.9966430664062,32.75436782836914,317.0564880371094,18.605440139770508,41.02758026123047,119.41976165771484,12.658143997192383,57.923439025878906,14.269034385681152,34.91327667236328,27.099647521972656,14.686477661132812,20.59740447998047,9.934317588806152,35.90581512451172,7.720811367034912,14.91977596282959,10.44195556640625,44.053157806396484
2007-08-01,4.14927864074707,803.14404296875,35.00615692138672,319.16705322265625,20.542566299438477,42.2306022644043,119.75867462158203,12.78844928741455,61.085262298583984,15.555788040161133,35.657711029052734,27.627288818359375,15.157145500183105,20.412675857543945,10.496313095092773,38.12117004394531,7.9520487785339355,14.803546905517578,9.914748191833496,44.363643646240234
2007-09-01,4.598422527313232,823.2227172851562,34.72294616699219,321.44232177734375,21.3212833404541,45.3502197265625,127.55357360839844,14.079577445983887,61.88438415527344,15.695232391357422,38.16911697387695,28.434019088745117,16.19711685180664,21.00470542907715,10.447489738464355,41.057167053222656,8.438700675964355,15.651883125305176,9.969344139099121,48.08953094482422
2007-10-01,5.691473007202148,770.4124145507812,33.77153396606445,288.5885925292969,21.27623176574707,44.34709167480469,127.66996765136719,17.547664642333984,61.00183868408203,16.326431274414062,37.86119079589844,29.166271209716797,17.51317596435547,26.245193481445312,10.524467468261719,40.57853317260742,8.334989547729492,16.28459358215332,10.325634002685547,47.79337692260742
2007-11-01,5.459859371185303,709.5069580078125,32.267608642578125,229.35568237304688,18.03266716003418,42.53462219238281,118.767822265625,17.200185775756836,55.25468826293945,15.828750610351562,39.35428237915039,28.539859771728516,17.60959243774414,23.956497192382812,10.16096305847168,43.408042907714844,7.707231044769287,15.41964054107666,10.940014839172363,46.32304763793945
2007-12-01,5.9350714683532715,711.582275390625,28.861082077026367,205.41712951660156,17.421283721923828,45.533233642578125,114.98363494873047,17.162456512451172,56.99006271362305,16.249284744262695,38.99109649658203,27.30741310119629,17.497041702270508,25.46639633178711,9.839730262756348,43.067806243896484,8.382952690124512,15.590937614440918,10.855506896972656,48.8658447265625
