Date,AIG,BMY,DIS,FNMA,GE,HD,IBM,INTC,JNJ,KO,LLY,MCD,MMM,MRK,PEP,PFE,PG,VZ,WMT,XOM
1992-01-01,109.83616638183594,5.47662878036499,8.134515762329102,11.024622917175293,13.569934844970703,3.852914571762085,9.543785095214844,1.0432603359222412,5.906895160675049,4.20871114730835,7.87123441696167,5.435835361480713,7.093092918395996,8.088623046875,7.010252952575684,1.8959788084030151,5.551522254943848,4.169824123382568,2.724240303039551,4.756352424621582
1992-02-01,104.74845886230469,5.536624431610107,9.175995826721191,10.646450996398926,14.178563117980957,4.001405715942383,9.21240520477295,1.106421947479248,5.563473224639893,4.439507484436035,7.472056865692139,5.060949802398682,7.093092918395996,8.11436653137207,6.698683738708496,1.9349371194839478,5.467329502105713,3.9842731952667236,2.7305612564086914,4.664490222930908
1992-03-01,103.85060119628906,5.228084564208984,9.049171447753906,10.967132568359375,13.660102844238281,4.04829740524292,8.973509788513184,0.9626744389533997,5.3776164054870605,4.439507484436035,7.135837554931641,4.993818759918213,6.978398323059082,7.573835372924805,7.114104747772217,1.8142708539962769,5.5009541511535645,3.80108642578125,2.6926372051239014,4.5214762687683105
1992-04-01,99.50350952148438,5.1442389488220215,8.69854736328125,10.731966972351074,13.914162635803223,3.901636838912964,9.752641677856445,0.932182252407074,5.232835292816162,4.523449897766113,6.909701824188232,5.557384014129639,7.371546268463135,7.4972615242004395,7.610220909118652,1.866481065750122,5.554749965667725,4.064413070678711,2.6446595191955566,4.955041885375977
1992-05-01,101.3017578125,5.005908489227295,9.083600044250488,11.00444221496582,13.868764877319336,4.4176836013793945,9.752641677856445,0.871198296546936,5.343142509460449,4.795945167541504,6.633310317993164,5.8704752922058105,7.518980026245117,7.813955783843994,7.610220909118652,1.9480574131011963,5.557421684265137,4.013162136077881,2.682620048522949,5.006655216217041
1992-06-01,106.24693298339844,4.5563273429870605,8.635393142700195,10.488604545593262,14.118441581726074,4.209432601928711,10.656435012817383,0.9931659698486328,4.960397243499756,4.359952926635742,6.599139213562012,5.773725509643555,7.692040920257568,7.561892986297607,7.271406650543213,1.9154809713363647,4.975987911224365,4.141117572784424,2.7205817699432373,5.172613143920898
1992-07-01,115.27935791015625,4.857746124267578,8.605517387390137,11.563258171081543,13.99222469329834,4.718008995056152,10.316189765930176,1.0410822629928589,5.459203720092773,4.579019546508789,7.156457901000977,5.507003307342529,7.929937362670898,8.082817077636719,7.821192741394043,2.0565178394317627,5.476290702819824,4.420294284820557,2.8308584690093994,5.308459758758545
1992-08-01,115.57959747314453,4.656795501708984,8.25883960723877,11.04195785522461,13.534955024719238,5.011415958404541,9.431561470031738,1.0105900764465332,5.473060607910156,4.702040672302246,6.599139213562012,5.334420204162598,7.810989856719971,7.576423645019531,7.847352027893066,2.026998281478882,5.0982666015625,4.57987642288208,2.89418888092041,5.371155261993408
1992-09-01,127.47357177734375,4.455845355987549,8.67776870727539,11.344476699829102,14.31230354309082,5.202264785766602,8.909560203552246,1.1456265449523926,5.248229026794434,4.428664684295654,6.395358562469482,5.583095550537109,8.193572044372559,6.968976974487305,7.925825595855713,1.9707036018371582,5.370174407958984,4.6034836769104,2.995516300201416,5.400684356689453
1992-10-01,133.03555297851562,4.8137407302856445,9.425849914550781,11.690215110778809,14.142745018005371,5.437126636505127,7.378658771514893,1.1761177778244019,5.5684099197387695,4.456634044647217,6.293232440948486,5.7718186378479,8.22354793548584,6.87109899520874,8.372994422912598,1.9937729835510254,5.750845432281494,4.497250556945801,3.0869901180267334,5.178738594055176
1992-11-01,137.8458251953125,4.743081569671631,10.114204406738281,12.8690767288208,15.340497016906738,5.730714321136475,7.53037166595459,1.2476726770401,5.610175609588623,4.360644340515137,6.382590293884277,6.164994716644287,8.153604507446289,7.0668559074401855,8.55672836303711,2.0596814155578613,5.9323811531066895,4.49883508682251,3.2644762992858887,5.030771255493164
1992-12-01,139.6707000732422,4.769577503204346,10.30899715423584,13.282102584838867,15.755108833312988,6.344515800476074,5.658448219299316,1.5181471109390259,5.65048360824585,4.609598636627197,6.259631633758545,6.146279811859131,8.106422424316406,6.792794704437256,8.714218139648438,1.9207360744476318,5.864034175872803,4.90564489364624,3.2454605102539062,5.231070041656494
