Date,AAPL,AMZN,AVGO,BRK-A,COST,GOOGL,HD,JNJ,JPM,LLY,MA,META,MSFT,NVDA,PG,TSLA,UNH,V,WMT,XOM
2023-01-01,127.57420349121094,86.08000183105469,56.14276123046875,481955.0,462.8137512207031,86.62405395507812,292.25836181640625,163.66622924804688,126.88663482666016,353.83056640625,360.1022033691406,129.0076141357422,219.17742919921875,14.843338012695312,140.6280975341797,113.05999755859375,460.2889099121094,212.44557189941406,47.07271194458008,99.03618621826172
2023-01-08,132.63308715820312,98.12000274658203,55.243038177490234,481021.0,465.0949401855469,91.36487579345703,304.849609375,157.4736785888672,132.52206420898438,352.5436706542969,368.3875427246094,135.91342163085938,233.1117401123047,16.881189346313477,137.85064697265625,122.4000015258789,459.885009765625,217.626220703125,46.59486389160156,101.38372039794922
2023-01-15,135.69398498535156,97.25,54.45875930786133,469645.0,460.1683349609375,97.21650695800781,289.9296875,153.21517944335938,125.17361450195312,337.3840026855469,369.13311767578125,138.2847900390625,234.07644653320312,17.82019805908203,130.6237030029297,133.4199981689453,457.2077331542969,218.8457794189453,45.07151794433594,101.56291198730469
2023-01-22,143.62677001953125,102.23999786376953,56.387020111083984,470000.0,482.3855895996094,98.5554428100586,291.4852294921875,152.75210571289062,130.02938842773438,333.5135803222656,366.9258728027344,150.55850219726562,241.81332397460938,20.34352684020996,129.2368927001953,177.89999389648438,456.578369140625,225.80209350585938,45.9566650390625,103.5879135131836
2023-01-29,152.06153869628906,103.38999938964844,57.01959228515625,466755.0,493.41754150390625,103.92108917236328,305.11651611328125,149.46519470214844,130.74290466308594,330.5693359375,366.8081970214844,185.07760620117188,251.74276733398438,21.0777587890625,131.11239624023438,189.97999572753906,443.3990478515625,224.52398681640625,45.446739196777344,100.28162384033203
2023-02-05,148.62660217285156,97.61000061035156,56.60264587402344,472250.0,480.056884765625,93.7947769165039,291.34710693359375,147.23150634765625,130.69654846191406,336.457763671875,359.8626708984375,172.7939910888672,256.3713073730469,21.242586135864258,127.11312866210938,196.88999938964844,464.2811584472656,221.66534423828125,46.09135437011719,106.7777099609375
2023-02-12,150.37155151367188,97.19999694824219,56.82590866088867,467373.0,487.248291015625,93.57658386230469,292.6449279785156,145.63343811035156,131.80853271484375,320.157470703125,354.2708740234375,171.53390502929688,251.4601593017578,21.36545181274414,128.72203063964844,208.30999755859375,468.81829833984375,218.54124450683594,46.96366882324219,99.70817565917969
2023-02-19,144.61492919921875,93.5,55.123775482177734,461705.0,469.13055419921875,88.39937591552734,273.0494079589844,142.63868713378906,130.59461975097656,314.5816345214844,346.4130554199219,169.0632781982422,243.45452880859375,23.26145362854004,128.03250122070312,196.8800048828125,454.96270751953125,214.6212921142578,45.69047546386719,99.99687194824219
2023-02-26,148.87326049804688,94.9000015258789,60.37234115600586,473256.0,456.3128356933594,92.88232421875,274.6968994140625,140.85537719726562,133.1244354248047,311.44207763671875,354.6338806152344,183.80755615234375,249.3840789794922,23.86481475830078,129.5862579345703,197.7899932861328,449.54254150390625,218.7465362548828,45.11322021484375,101.85688781738281
2023-03-05,146.37939453125,90.7300033569336,58.661617279052734,460462.0,452.3570861816406,89.88707733154297,263.5230712890625,138.65135192871094,123.84849548339844,308.10687255859375,340.5172119140625,178.11224365234375,242.83908081054688,22.9407901763916,126.12936401367188,173.44000244140625,432.4178771972656,211.28778076171875,43.926612854003906,97.31524658203125
2023-03-12,152.78659057617188,98.94999694824219,60.20155334472656,442765.0,467.63275146484375,100.78699493408203,267.3597717285156,139.3555450439453,116.5834732055664,321.95611572265625,343.0187683105469,194.0869140625,272.965576171875,25.70224952697754,131.40658569335938,180.1300048828125,442.6026916503906,212.50975036621094,44.70591735839844,90.14617156982422
2023-03-19,157.96160888671875,98.12999725341797,60.697696685791016,453066.0,475.5249938964844,104.57569122314453,262.38134765625,139.60244750976562,115.74946594238281,328.753662109375,344.9512939453125,204.40591430664062,274.0792541503906,26.755311965942383,134.8910369873047,190.41000366210938,448.7209167480469,216.0778045654297,45.6619987487793,93.47789764404297
2023-03-26,162.545166015625,103.29000091552734,61.650604248046875,465600.0,477.061279296875,102.87970733642578,273.5989074707031,141.75157165527344,120.75345611572266,335.8836669921875,356.5076599121094,210.28977966308594,281.63043212890625,27.752431869506836,136.70220947265625,207.4600067138672,445.5156555175781,220.39859008789062,47.48139190673828,99.0127182006836
2023-04-02,162.30862426757812,102.05999755859375,59.83436584472656,478005.0,466.60546875,107.53125762939453,267.5636291503906,151.0340118408203,118.12174224853516,360.2078552246094,354.6043701171875,214.4173583984375,284.8540954589844,27.013084411621094,139.9476318359375,185.05999755859375,483.4315490722656,220.91671752929688,48.560150146484375,103.8793716430664
2023-04-09,162.85076904296875,102.51000213623047,59.53645324707031,496000.0,471.7133483886719,107.97755432128906,270.8826599121094,151.66505432128906,129.56484985351562,366.5066223144531,365.929443359375,219.76541137695312,279.5204162597656,26.73432731628418,138.82598876953125,185.0,482.469970703125,228.7664337158203,47.813072204589844,104.78227996826172
2023-04-16,162.6634521484375,106.95999908447266,60.820316314697266,496405.0,486.1633605957031,104.54592895507812,278.1601867675781,148.7843017578125,131.2552947998047,376.7859191894531,368.6903991699219,211.23236083984375,279.149169921875,27.095014572143555,143.4872589111328,165.0800018310547,456.10235595703125,228.79574584960938,48.85962677001953,104.74617004394531
2023-04-23,167.25692749023438,105.44999694824219,60.205299377441406,502880.0,483.1581115722656,106.46011352539062,278.62371826171875,149.70794677734375,129.10728454589844,387.1728515625,373.3967590332031,238.44879150390625,300.1518249511719,27.72446060180664,144.67237854003906,164.30999755859375,463.8985595703125,227.50538635253906,48.614891052246094,106.84992980957031
2023-04-30,171.09140014648438,105.66000366210938,60.55318069458008,491840.0,479.1639099121094,104.7046127319336,268.5000305175781,148.775146484375,127.70634460449219,418.42169189453125,377.94598388671875,230.9674835205078,303.46343994140625,28.654632568359375,144.34857177734375,170.05999755859375,465.963134765625,226.5767059326172,48.87249755859375,98.12785339355469
2023-05-07,170.10565185546875,110.26000213623047,60.65215301513672,491182.0,484.9837341308594,116.54673767089844,269.2880859375,147.03753662109375,125.24073028564453,424.8964538574219,375.25384521484375,231.98947143554688,301.8222351074219,28.314931869506836,144.28384399414062,167.97999572753906,463.08782958984375,226.18569946289062,49.478370666503906,95.50942993164062
2023-05-14,172.89749145507812,116.25,65.562744140625,507161.0,477.7195129394531,121.75370025634766,269.66815185546875,145.327392578125,129.9851531982422,433.7974853515625,378.840087890625,243.72732543945312,310.97552490234375,31.236347198486328,141.70269775390625,180.13999938964844,451.3887939453125,228.5170135498047,48.45693588256836,95.94284057617188
2023-05-21,173.1639862060547,120.11000061035156,78.10159301757812,486650.0,488.05291748046875,123.58854675292969,271.4759826660156,141.1571502685547,127.89315795898438,417.5293273925781,367.8356018066406,259.99969482421875,325.8997497558594,38.91155242919922,134.51441955566406,193.1699981689453,453.93408203125,220.3874969482422,47.32883071899414,95.60050201416016
2023-05-28,178.61273193359375,124.25,78.03144836425781,503000.0,493.18109130859375,123.64805603027344,274.3591613769531,144.63633728027344,131.18994140625,433.7483825683594,367.2067565917969,270.48736572265625,328.3570861816406,39.292213439941406,135.55056762695312,213.97000122070312,470.95947265625,224.08985900878906,48.10459518432617,96.31999206542969
2023-06-04,178.62258911132812,123.43000030517578,77.32222747802734,510840.0,497.6934814453125,121.22805786132812,277.6510009765625,147.43743896484375,131.69424438476562,437.3864440917969,362.77545166015625,262.8869934082031,319.9278564453125,38.73571014404297,135.58755493164062,244.39999389648438,465.34088134765625,218.96730041503906,49.48483657836914,97.80449676513672
2023-06-11,182.53143310546875,125.48999786376953,83.42349243164062,514000.0,503.822265625,122.51739501953125,280.4801940917969,151.32586669921875,133.79559326171875,439.02398681640625,369.9578857421875,278.81201171875,335.1415710449219,42.65864944458008,138.3444366455078,260.5400085449219,432.2235107421875,224.20738220214844,50.27354049682617,95.74622344970703
2023-06-18,184.2686767578125,129.3300018310547,79.0068359375,510000.0,504.5823974609375,121.33714294433594,280.8817138671875,152.4776611328125,129.6769561767578,449.9380798339844,373.18060302734375,286.48187255859375,327.98504638671875,42.176029205322266,137.34535217285156,256.6000061035156,451.51898193359375,224.83425903320312,50.250911712646484,93.25990295410156
2023-06-25,191.46453857421875,130.36000061035156,83.80224609375,517810.0,517.9944458007812,118.71879577636719,290.0605163574219,152.51449584960938,135.8315887451172,459.8813781738281,386.43511962890625,284.7454833984375,333.3890686035156,42.26895523071289,140.3797607421875,261.7699890136719,454.96453857421875,232.60134887695312,50.80689239501953,97.677001953125
