Date,AIG,BA,BMY,DIS,GE,IBM,JNJ,KO,LLY,MMM,MO,MRK,PEP,PFE,PG,SLB,T,VZ,WMT,XOM
1990-01-01,88.0727767944336,10.639593124389648,3.3257763385772705,6.137479305267334,10.550690650939941,9.541528701782227,2.770671844482422,1.8051363229751587,5.994261741638184,5.669735908508301,0.4141850173473358,3.5565977096557617,3.8588614463806152,0.8399338126182556,3.2618167400360107,5.26704216003418,1.0775740146636963,4.011279582977295,1.0681183338165283,3.482637405395508
1990-02-01,91.74250030517578,11.470115661621094,3.3337931632995605,6.4609832763671875,10.465950965881348,10.049439430236816,2.8367977142333984,1.8477247953414917,5.73312520980835,5.814878940582275,0.4046162962913513,3.365846633911133,3.925974130630493,0.7234467267990112,3.276397466659546,5.280971527099609,1.1310853958129883,3.724135160446167,1.1025733947753906,3.482637405395508
1990-03-01,88.0727767944336,12.946499824523926,3.413928985595703,6.556865692138672,10.972846031188965,10.394975662231445,2.9845755100250244,1.9591120481491089,6.1764984130859375,5.9593048095703125,0.4333224594593048,3.4212257862091064,4.202805995941162,0.7498571276664734,3.4751617908477783,5.888782501220703,1.167238473892212,3.910600423812866,1.1840134859085083,3.470447540283203
1990-04-01,84.27084350585938,12.585622787475586,3.5982508659362793,6.519985675811768,10.930154800415039,10.676580429077148,3.0111641883850098,2.009533166885376,6.319864749908447,5.812839508056641,0.4634351134300232,3.629282236099243,4.465710163116455,0.7019283771514893,3.622629404067993,5.6223859786987305,1.1285030841827393,3.874342679977417,1.245373010635376,3.3954100608825684
1990-05-01,96.24179077148438,14.863667488098145,3.966297149658203,7.621240615844727,11.762717247009277,11.754034996032715,3.396697998046875,2.378495454788208,7.478704452514648,6.050843715667725,0.46481433510780334,4.099974632263184,4.9796881675720215,0.8147929906845093,4.2650957107543945,6.547763824462891,1.2253152132034302,4.373055934906006,1.4147686958312988,3.6017603874206543
1990-06-01,91.38233947753906,15.91001033782959,4.103904724121094,7.57693338394165,11.907438278198242,11.6380615234375,3.6229546070098877,2.338963270187378,7.99229621887207,6.400408744812012,0.5130888223648071,4.321310043334961,5.2324652671813965,0.8010765314102173,4.497386932373047,6.484911918640137,1.1308588981628418,4.163315773010254,1.565341830253601,3.6393392086029053
1990-07-01,89.6054458618164,15.70604419708252,4.2440056800842285,6.949212074279785,12.315818786621094,11.043774604797363,3.7766950130462646,2.402531623840332,8.004305839538574,6.677482604980469,0.5323997139930725,4.439615726470947,5.211181640625,0.9463009238243103,4.47802734375,7.3730645179748535,1.1413545608520508,4.142344951629639,1.5766081809997559,3.9434070587158203
1990-08-01,80.11079406738281,13.122353553771973,3.974675416946411,6.0549540519714355,10.660810470581055,10.090445518493652,3.5093190670013428,2.237067461013794,7.223105430603027,5.818553924560547,0.5018180012702942,4.066018581390381,5.084285259246826,0.8869615197181702,3.9946789741516113,7.21798849105835,1.0462309122085571,3.62872314453125,1.432138442993164,3.800875186920166
1990-09-01,74.59585571289062,11.373987197875977,3.770634651184082,5.360001564025879,9.371196746826172,10.655393600463867,3.3994052410125732,2.0914604663848877,6.910723686218262,5.749440670013428,0.5032081604003906,3.8184432983398438,4.669759273529053,0.8896012902259827,3.7806787490844727,6.897881507873535,1.118292212486267,4.010693550109863,1.3711111545562744,3.7665152549743652
1990-10-01,74.74443054199219,12.227888107299805,3.8440909385681152,5.3821821212768555,9.01683521270752,10.567748069763184,3.4598703384399414,2.387392520904541,6.51202917098999,5.889213562011719,0.5290868282318115,3.856062173843384,4.892166614532471,0.9163681268692017,4.078982353210449,6.3171563148498535,1.1636641025543213,4.4351043701171875,1.345954418182373,3.7665152549743652
1990-11-01,87.37523651123047,12.091264724731445,4.332737445831299,5.9014363288879395,9.493680953979492,11.381621360778809,3.748753070831299,2.4605445861816406,7.128197193145752,6.056945323944092,0.5459278225898743,4.3263115882873535,5.2234110832214355,1.0171362161636353,4.3281779289245605,6.4304680824279785,1.1967076063156128,4.671014785766602,1.5157703161239624,3.891427516937256
1990-12-01,91.3873291015625,12.469124794006348,4.415107727050781,6.012502193450928,9.94886302947998,11.446816444396973,3.8761353492736816,2.4847066402435303,7.122496128082275,6.45109224319458,0.5810132622718811,4.508144378662109,5.299848556518555,1.025367021560669,4.5240254402160645,6.5579423904418945,1.2157031297683716,4.6065850257873535,1.5220588445663452,4.032345294952393
