Date,AIG,BAC,BMY,C,CSCO,CVX,GE,HD,IBM,INTC,JNJ,KO,MRK,MSFT,PFE,PG,T,VZ,WMT,XOM
2001-01-01,1031.2919921875,12.793927192687988,23.26417350769043,282.1581115722656,23.570547103881836,15.804421424865723,123.85504150390625,28.845901489257812,46.47655487060547,18.23700523376465,25.065250396728516,14.017537117004395,31.366228103637695,14.969980239868164,15.367329597473145,18.961904525756836,6.7705912590026855,14.133136749267578,11.502785682678223,18.614471435546875
2001-01-08,964.5436401367188,13.077128410339355,24.39798927307129,279.201904296875,24.495655059814453,15.695337295532227,119.60105895996094,28.483510971069336,46.383853912353516,18.272554397583008,24.21693992614746,13.759358406066895,30.660314559936523,16.303184509277344,15.027341842651367,17.791616439819336,6.897540092468262,14.375978469848633,11.289519309997559,18.516647338867188
2001-01-15,987.2822875976562,13.110445976257324,23.989479064941406,285.7712097167969,25.983901977539062,15.380228996276855,123.0370101928711,23.772491455078125,55.005496978759766,19.090190887451172,24.10489845275879,13.561921119689941,31.03679656982422,18.588680267333984,15.004672050476074,17.696725845336914,6.773654937744141,14.445527076721191,10.836337089538574,17.76201057434082
2001-01-22,1029.8248291015625,14.176609992980957,23.26321029663086,290.04156494140625,24.69677734375,16.0225830078125,116.81964111328125,25.946807861328125,56.45790100097656,20.405540466308594,23.544689178466797,14.078288078308105,30.966205596923828,19.50287437438965,16.069961547851562,17.608436584472656,6.364682674407959,13.532491683959961,11.43614387512207,18.111379623413086
2001-01-29,1013.8639526367188,14.286556243896484,23.454757690429688,291.4736328125,22.84651756286621,15.982815742492676,121.15213012695312,27.187606811523438,54.52095413208008,20.298887252807617,24.35459327697754,14.030288696289062,31.613771438598633,18.531543731689453,16.283021926879883,18.75520896911621,6.788995742797852,13.56510066986084,11.678190231323242,18.55633544921875
2001-02-05,1017.267578125,13.193746566772461,23.334918975830078,284.7755432128906,18.14046287536621,16.65572738647461,119.5290756225586,25.761259078979492,55.37635040283203,19.054651260375977,24.3238525390625,14.613468170166016,31.14316177368164,18.01731300354004,16.333791732788086,19.067956924438477,6.348659515380859,13.692924499511719,10.748367309570312,19.19806480407715
2001-02-12,1016.5635375976562,13.700170516967773,22.873743057250977,284.51226806640625,18.180688858032227,16.783710479736328,123.0370101928711,24.93212890625,56.92441177368164,19.563297271728516,24.208602905273438,14.423938751220703,29.098817825317383,17.464977264404297,16.413572311401367,19.029830932617188,6.505436420440674,13.700752258300781,11.166361808776855,18.885160446166992
2001-02-19,948.8470458984375,13.097783088684082,22.492454528808594,253.95350646972656,17.376230239868164,16.503154754638672,120.8903579711914,23.198486328125,51.47948455810547,17.037860870361328,24.536558151245117,12.635523796081543,29.019746780395508,17.29356575012207,16.293806076049805,19.078140258789062,6.778085708618164,12.813802719116211,10.72278118133545,18.768281936645508
2001-02-26,965.2777709960938,13.07380199432373,23.313138961791992,252.89976501464844,14.279074668884277,17.28278923034668,116.67569732666016,24.09140396118164,50.63798904418945,16.682161331176758,25.477008819580078,12.769177436828613,30.17558479309082,17.274517059326172,15.853921890258789,17.710147857666016,6.348659515380859,12.915545463562012,10.432746887207031,18.70309829711914
2001-03-05,959.4771728515625,14.147415161132812,22.95000457763672,258.8533630371094,13.273507118225098,18.128849029541016,114.68616485595703,25.813453674316406,49.14806365966797,16.753299713134766,24.84748077392578,12.51402759552002,28.49643898010254,17.274517059326172,15.432218551635742,17.58046531677246,6.1346306800842285,12.453803062438965,10.8294095993042,19.32796287536621
2001-03-12,915.8004760742188,13.85098934173584,20.38991928100586,239.72775268554688,12.831061363220215,17.097158432006836,106.6659164428711,24.52674102783203,44.59905242919922,15.86406421661377,23.637222290039062,11.821499824523926,27.018735885620117,16.62696075439453,13.58543872833252,16.451496124267578,5.744743347167969,12.346853256225586,10.008352279663086,18.363698959350586
2001-03-19,885.861083984375,14.22286605834961,20.535179138183594,225.76564025878906,12.026603698730469,16.940839767456055,105.06330871582031,23.02356719970703,46.286964416503906,16.397600173950195,22.665931701660156,11.095943450927734,26.084701538085938,17.236427307128906,13.64360523223877,15.307259559631348,5.706571102142334,12.247716903686523,10.144838333129883,17.28479766845703
2001-03-26,945.1527099609375,14.75372314453125,21.570093154907227,236.98800659179688,10.176360130310059,17.15577507019043,109.97620391845703,25.01426124572754,47.60860824584961,14.97481632232666,22.47578239440918,11.013032913208008,28.701509475708008,16.665054321289062,14.886911392211914,15.917520523071289,6.084190368652344,12.860760688781738,10.785463333129883,18.20636558532715
2001-04-02,898.776123046875,13.363238334655762,20.880151748657227,225.23878479003906,8.768561363220215,17.433242797851562,108.1634292602539,25.4089298248291,48.48477554321289,13.445320129394531,23.226083755493164,10.974016189575195,28.89813232421875,17.122156143188477,14.934174537658691,15.683585166931152,5.9028778076171875,12.899888038635254,10.943506240844727,18.45359992980957
2001-04-09,913.4520874023438,14.268671989440918,21.155635833740234,249.21157836914062,11.571280479431152,17.9373722076416,117.43763732910156,24.1727237701416,47.61852264404297,16.00349235534668,23.36998176574707,10.869157791137695,30.06282615661621,18.94826889038086,14.796026229858398,14.951273918151855,5.657015800476074,13.692468643188477,10.614604949951172,18.431121826171875
2001-04-16,927.5415649414062,14.823789596557617,20.54619598388672,260.38134765625,12.324251174926758,18.220687866210938,126.37020874023438,26.819242477416992,56.84027099609375,18.456378936767578,23.66805076599121,11.461746215820312,27.835540771484375,21.026538848876953,14.817834854125977,14.7478609085083,5.494915008544922,13.95012378692627,11.043892860412598,19.143640518188477
2001-04-23,947.5013427734375,15.338479042053223,21.075359344482422,268.231689453125,10.039600372314453,19.04916763305664,131.23062133789062,27.916154861450195,57.51840591430664,17.175872802734375,24.5082950592041,11.461746215820312,28.60696792602539,20.45363998413086,15.675787925720215,15.306502342224121,5.755923748016357,14.644207954406738,11.283096313476562,20.018001556396484
2001-04-30,990.3556518554688,15.192977905273438,20.371017456054688,267.54669189453125,12.639596939086914,18.24022674560547,131.17803955078125,28.780929565429688,57.35011672973633,17.574254989624023,25.119850158691406,11.420292854309082,28.87922477722168,21.55982780456543,15.799399375915527,16.442405700683594,5.790268421173096,14.670495986938477,11.323671340942383,19.67860984802246
2001-05-07,963.9389038085938,14.422273635864258,20.425762176513672,260.2583923339844,12.259896278381348,18.371150970458984,128.760986328125,28.949220657348633,55.345401763916016,15.91101360321045,24.991357803344727,11.04473876953125,28.716636657714844,21.148439407348633,15.632166862487793,16.757089614868164,5.804006576538086,14.010599136352539,11.554329872131348,19.698823928833008
2001-05-14,981.7852172851562,15.360040664672852,20.436708450317383,268.7118225097656,12.999996185302734,19.064800262451172,139.2174530029297,30.585891723632812,58.202518463134766,16.377979278564453,25.95237922668457,11.730002403259277,29.268735885620117,20.74923324584961,16.30471420288086,17.263639450073242,6.115839958190918,14.23931884765625,11.114365577697754,20.37415885925293
2001-05-21,966.404296875,15.820840835571289,19.779817581176758,273.9950866699219,14.190587997436523,18.528640747070312,131.23062133789062,30.342130661010742,58.38096618652344,16.57159423828125,25.078460693359375,11.747072219848633,27.4536075592041,21.608579635620117,15.25679874420166,16.24541473388672,5.817740440368652,14.189372062683105,10.934966087341309,19.899816513061523
2001-05-28,940.339111328125,15.656466484069824,20.527936935424805,273.6781005859375,12.131182670593262,18.961471557617188,128.7347412109375,28.58937644958496,55.94756317138672,16.366596221923828,25.271873474121094,11.65928840637207,28.058650970458984,21.43488311767578,15.60303783416748,16.247982025146484,5.7765302658081055,14.391816139221191,11.046024322509766,20.09181022644043
2001-06-04,948.632568359375,16.057950973510742,20.60457992553711,269.1872863769531,13.186627388000488,18.9732723236084,126.47528839111328,29.483163833618164,57.538429260253906,17.465669631958008,26.30595588684082,11.217888832092285,28.197036743164062,22.30337142944336,15.858169555664062,16.44496726989746,5.692733287811279,14.065800666809082,10.896527290344238,20.191200256347656
2001-06-11,961.4356689453125,15.783215522766113,20.254236221313477,260.46978759765625,10.715344429016113,19.0224609375,128.23562622070312,28.38045310974121,56.2994384765625,15.76295280456543,26.839765548706055,10.79355239868164,28.01848602294922,20.727907180786133,15.537435531616211,16.015174865722656,5.537501811981201,13.789745330810547,10.283570289611816,20.08051109313965
